member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
14	bitmap	h_std_fa_1_2_0	0			bitmaps/00014_h_std_fa_1_2_0.png
14	bitmap	h_std_fa_1_2_0	0	751	BITD	raw_chunks/00014_h_std_fa_1_2_0_751_BITD.bin
47	bitmap	h_std_fa_1_3_0	0			bitmaps/00047_h_std_fa_1_3_0.png
47	bitmap	h_std_fa_1_3_0	0	753	BITD	raw_chunks/00047_h_std_fa_1_3_0_753_BITD.bin
54	bitmap	h_lay_fa_6_2_0	0			bitmaps/00054_h_lay_fa_6_2_0.png
54	bitmap	h_lay_fa_6_2_0	0	867	BITD	raw_chunks/00054_h_lay_fa_6_2_0_867_BITD.bin
57	bitmap	h_std_fa_1_1_0	0			bitmaps/00057_h_std_fa_1_1_0.png
57	bitmap	h_std_fa_1_1_0	0	749	BITD	raw_chunks/00057_h_std_fa_1_1_0_749_BITD.bin
61	bitmap	h_spk_fa_1_3_0	0			bitmaps/00061_h_spk_fa_1_3_0.png
61	bitmap	h_spk_fa_1_3_0	0	759	BITD	raw_chunks/00061_h_spk_fa_1_3_0_759_BITD.bin
63	bitmap	h_spk_fa_1_1_0	0			bitmaps/00063_h_spk_fa_1_1_0.png
63	bitmap	h_spk_fa_1_1_0	0	755	BITD	raw_chunks/00063_h_spk_fa_1_1_0_755_BITD.bin
67	bitmap	h_std_fa_3_7_0	0			bitmaps/00067_h_std_fa_3_7_0.png
67	bitmap	h_std_fa_3_7_0	0	793	BITD	raw_chunks/00067_h_std_fa_3_7_0_793_BITD.bin
72	bitmap	h_lsp_fa_2_2_0	0			bitmaps/00072_h_lsp_fa_2_2_0.png
72	bitmap	h_lsp_fa_2_2_0	0	783	BITD	raw_chunks/00072_h_lsp_fa_2_2_0_783_BITD.bin
83	bitmap	h_lay_fa_3_2_0	0			bitmaps/00083_h_lay_fa_3_2_0.png
83	bitmap	h_lay_fa_3_2_0	0	805	BITD	raw_chunks/00083_h_lay_fa_3_2_0_805_BITD.bin
85	bitmap	h_spk_fa_12_1_0	0			bitmaps/00085_h_spk_fa_12_1_0.png
85	bitmap	h_spk_fa_12_1_0	0	1005	BITD	raw_chunks/00085_h_spk_fa_12_1_0_1005_BITD.bin
161	bitmap	h_spk_fa_2_1_0	0			bitmaps/00161_h_spk_fa_2_1_0.png
161	bitmap	h_spk_fa_2_1_0	0	775	BITD	raw_chunks/00161_h_spk_fa_2_1_0_775_BITD.bin
164	bitmap	h_spk_fa_11_2_0	0			bitmaps/00164_h_spk_fa_11_2_0.png
164	bitmap	h_spk_fa_11_2_0	0	981	BITD	raw_chunks/00164_h_spk_fa_11_2_0_981_BITD.bin
179	bitmap	h_std_fa_2_0_0	0			bitmaps/00179_h_std_fa_2_0_0.png
179	bitmap	h_std_fa_2_0_0	0	765	BITD	raw_chunks/00179_h_std_fa_2_0_0_765_BITD.bin
213	bitmap	h_spk_fa_12_0_0	0			bitmaps/00213_h_spk_fa_12_0_0.png
213	bitmap	h_spk_fa_12_0_0	0	1003	BITD	raw_chunks/00213_h_spk_fa_12_0_0_1003_BITD.bin
216	bitmap	h_lay_fa_11_2_0	0			bitmaps/00216_h_lay_fa_11_2_0.png
216	bitmap	h_lay_fa_11_2_0	0	987	BITD	raw_chunks/00216_h_lay_fa_11_2_0_987_BITD.bin
222	bitmap	h_std_fa_3_0_0	0			bitmaps/00222_h_std_fa_3_0_0.png
222	bitmap	h_std_fa_3_0_0	0	785	BITD	raw_chunks/00222_h_std_fa_3_0_0_785_BITD.bin
226	bitmap	h_std_fa_2_3_0	0			bitmaps/00226_h_std_fa_2_3_0.png
226	bitmap	h_std_fa_2_3_0	0	771	BITD	raw_chunks/00226_h_std_fa_2_3_0_771_BITD.bin
227	bitmap	h_lay_fa_1_2_0	0			bitmaps/00227_h_lay_fa_1_2_0.png
227	bitmap	h_lay_fa_1_2_0	0	761	BITD	raw_chunks/00227_h_lay_fa_1_2_0_761_BITD.bin
228	bitmap	h_std_fa_2_1_0	0			bitmaps/00228_h_std_fa_2_1_0.png
228	bitmap	h_std_fa_2_1_0	0	767	BITD	raw_chunks/00228_h_std_fa_2_1_0_767_BITD.bin
229	bitmap	h_std_fa_2_2_0	0			bitmaps/00229_h_std_fa_2_2_0.png
229	bitmap	h_std_fa_2_2_0	0	769	BITD	raw_chunks/00229_h_std_fa_2_2_0_769_BITD.bin
231	bitmap	h_spk_fa_2_0_0	0			bitmaps/00231_h_spk_fa_2_0_0.png
231	bitmap	h_spk_fa_2_0_0	0	773	BITD	raw_chunks/00231_h_spk_fa_2_0_0_773_BITD.bin
232	bitmap	h_spk_fa_2_2_0	0			bitmaps/00232_h_spk_fa_2_2_0.png
232	bitmap	h_spk_fa_2_2_0	0	777	BITD	raw_chunks/00232_h_spk_fa_2_2_0_777_BITD.bin
233	bitmap	h_spk_fa_2_3_0	0			bitmaps/00233_h_spk_fa_2_3_0.png
233	bitmap	h_spk_fa_2_3_0	0	779	BITD	raw_chunks/00233_h_spk_fa_2_3_0_779_BITD.bin
234	bitmap	h_lay_fa_2_2_0	0			bitmaps/00234_h_lay_fa_2_2_0.png
234	bitmap	h_lay_fa_2_2_0	0	781	BITD	raw_chunks/00234_h_lay_fa_2_2_0_781_BITD.bin
254	bitmap	h_std_fa_10_0_0	0			bitmaps/00254_h_std_fa_10_0_0.png
254	bitmap	h_std_fa_10_0_0	0	943	BITD	raw_chunks/00254_h_std_fa_10_0_0_943_BITD.bin
259	bitmap	h_spk_fa_12_3_0	0			bitmaps/00259_h_spk_fa_12_3_0.png
259	bitmap	h_spk_fa_12_3_0	0	1009	BITD	raw_chunks/00259_h_spk_fa_12_3_0_1009_BITD.bin
265	bitmap	h_std_fa_12_2_0	0			bitmaps/00265_h_std_fa_12_2_0.png
