index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	254	254	#FFFEFE
2	254	246	40	#FEF628
3	250	227	176	#FAE3B0
4	47	36	19	#2F2413
5	238	191	120	#EEBF78
6	85	54	20	#553614
7	85	49	12	#55310C
8	137	68	10	#89440A
9	199	123	60	#C77B3C
10	254	114	40	#FE7228
11	255	0	0	#FF0000
12	246	105	105	#F66969
13	246	106	106	#F66A6A
14	246	107	107	#F66B6B
15	246	108	108	#F66C6C
16	246	109	109	#F66D6D
17	246	110	110	#F66E6E
18	246	113	113	#F67171
19	246	114	114	#F67272
20	246	115	115	#F67373
21	247	119	119	#F77777
22	247	120	120	#F77878
23	247	121	121	#F77979
24	247	122	122	#F77A7A
25	247	123	123	#F77B7B
26	247	126	126	#F77E7E
27	247	127	127	#F77F7F
28	247	128	128	#F78080
29	247	129	129	#F78181
30	247	131	131	#F78383
31	247	132	132	#F78484
32	247	133	133	#F78585
33	248	134	134	#F88686
34	248	135	135	#F88787
35	248	137	137	#F88989
36	248	138	138	#F88A8A
37	248	141	141	#F88D8D
38	248	142	142	#F88E8E
39	248	146	146	#F89292
40	248	149	149	#F89595
41	249	150	150	#F99696
42	249	155	155	#F99B9B
43	249	159	159	#F99F9F
44	249	161	161	#F9A1A1
45	249	163	163	#F9A3A3
46	249	166	166	#F9A6A6
47	250	167	167	#FAA7A7
48	250	169	169	#FAA9A9
49	250	171	171	#FAABAB
50	250	175	175	#FAAFAF
51	250	180	180	#FAB4B4
52	250	182	182	#FAB6B6
53	251	184	184	#FBB8B8
54	251	186	186	#FBBABA
55	251	188	188	#FBBCBC
56	251	191	191	#FBBFBF
57	251	192	192	#FBC0C0
58	251	193	193	#FBC1C1
59	251	194	194	#FBC2C2
60	251	196	196	#FBC4C4
61	251	197	197	#FBC5C5
62	252	200	200	#FCC8C8
63	252	201	201	#FCC9C9
64	252	202	202	#FCCACA
65	252	203	203	#FCCBCB
66	252	204	204	#FCCCCC
67	252	205	205	#FCCDCD
68	252	206	206	#FCCECE
69	252	208	208	#FCD0D0
70	252	209	209	#FCD1D1
71	252	211	211	#FCD3D3
72	252	212	212	#FCD4D4
73	253	215	215	#FDD7D7
74	252	214	214	#FCD6D6
75	253	217	217	#FDD9D9
76	253	218	218	#FDDADA
77	253	219	219	#FDDBDB
78	253	220	220	#FDDCDC
79	253	223	223	#FDDFDF
80	253	226	226	#FDE2E2
81	253	227	227	#FDE3E3
82	253	228	228	#FDE4E4
83	253	229	229	#FDE5E5
84	254	232	232	#FEE8E8
85	254	234	234	#FEEAEA
