member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
5	bitmap	h_srp_ey_1_1_0	0			bitmaps/00005_h_srp_ey_1_1_0.png
5	bitmap	h_srp_ey_1_1_0	0	8121	BITD	raw_chunks/00005_h_srp_ey_1_1_0_8121_BITD.bin
163	bitmap	h_agr_ey_1_2_0	0			bitmaps/00163_h_agr_ey_1_2_0.png
163	bitmap	h_agr_ey_1_2_0	0	8133	BITD	raw_chunks/00163_h_agr_ey_1_2_0_8133_BITD.bin
164	bitmap	h_eyb_ey_1_2_0	0			bitmaps/00164_h_eyb_ey_1_2_0.png
164	bitmap	h_eyb_ey_1_2_0	0	8139	BITD	raw_chunks/00164_h_eyb_ey_1_2_0_8139_BITD.bin
165	bitmap	h_sml_ey_1_3_0	0			bitmaps/00165_h_sml_ey_1_3_0.png
165	bitmap	h_sml_ey_1_3_0	0	8143	BITD	raw_chunks/00165_h_sml_ey_1_3_0_8143_BITD.bin
166	bitmap	h_sad_ey_1_3_0	0			bitmaps/00166_h_sad_ey_1_3_0.png
166	bitmap	h_sad_ey_1_3_0	0	8149	BITD	raw_chunks/00166_h_sad_ey_1_3_0_8149_BITD.bin
167	bitmap	h_lay_ey_1_2_0	0			bitmaps/00167_h_lay_ey_1_2_0.png
167	bitmap	h_lay_ey_1_2_0	0	8153	BITD	raw_chunks/00167_h_lay_ey_1_2_0_8153_BITD.bin
168	bitmap	h_lsr_ey_1_2_0	0			bitmaps/00168_h_lsr_ey_1_2_0.png
168	bitmap	h_lsr_ey_1_2_0	0	8159	BITD	raw_chunks/00168_h_lsr_ey_1_2_0_8159_BITD.bin
169	bitmap	h_sad_ey_3_2_0	0			bitmaps/00169_h_sad_ey_3_2_0.png
169	bitmap	h_sad_ey_3_2_0	0	8185	BITD	raw_chunks/00169_h_sad_ey_3_2_0_8185_BITD.bin
188	bitmap	h_sad_ey_2_1_0	0			bitmaps/00188_h_sad_ey_2_1_0.png
188	bitmap	h_sad_ey_2_1_0	0	8317	BITD	raw_chunks/00188_h_sad_ey_2_1_0_8317_BITD.bin
189	bitmap	h_std_ey_2_1_0	0			bitmaps/00189_h_std_ey_2_1_0.png
189	bitmap	h_std_ey_2_1_0	0	8309	BITD	raw_chunks/00189_h_std_ey_2_1_0_8309_BITD.bin
190	bitmap	h_agr_ey_2_2_0	0			bitmaps/00190_h_agr_ey_2_2_0.png
190	bitmap	h_agr_ey_2_2_0	0	8325	BITD	raw_chunks/00190_h_agr_ey_2_2_0_8325_BITD.bin
191	bitmap	h_eyb_ey_2_2_0	0			bitmaps/00191_h_eyb_ey_2_2_0.png
191	bitmap	h_eyb_ey_2_2_0	0	8331	BITD	raw_chunks/00191_h_eyb_ey_2_2_0_8331_BITD.bin
192	bitmap	h_sml_ey_2_3_0	0			bitmaps/00192_h_sml_ey_2_3_0.png
192	bitmap	h_sml_ey_2_3_0	0	8335	BITD	raw_chunks/00192_h_sml_ey_2_3_0_8335_BITD.bin
193	bitmap	h_sad_ey_2_3_0	0			bitmaps/00193_h_sad_ey_2_3_0.png
193	bitmap	h_sad_ey_2_3_0	0	8341	BITD	raw_chunks/00193_h_sad_ey_2_3_0_8341_BITD.bin
194	bitmap	h_lay_ey_2_2_0	0			bitmaps/00194_h_lay_ey_2_2_0.png
194	bitmap	h_lay_ey_2_2_0	0	8345	BITD	raw_chunks/00194_h_lay_ey_2_2_0_8345_BITD.bin
195	bitmap	h_lsr_ey_2_2_0	0			bitmaps/00195_h_lsr_ey_2_2_0.png
195	bitmap	h_lsr_ey_2_2_0	0	8351	BITD	raw_chunks/00195_h_lsr_ey_2_2_0_8351_BITD.bin
196	bitmap	h_std_ey_3_1_0	0			bitmaps/00196_h_std_ey_3_1_0.png
196	bitmap	h_std_ey_3_1_0	0	8165	BITD	raw_chunks/00196_h_std_ey_3_1_0_8165_BITD.bin
