index	r	g	b	hex
0	255	255	255	#FFFFFF
1	216	206	198	#D8CEC6
2	0	0	1	#000001
3	0	1	3	#000103
4	0	2	5	#000205
5	0	7	16	#000710
6	0	6	14	#00060E
7	0	5	12	#00050C
8	0	3	7	#000307
9	0	47	102	#002F66
10	0	41	89	#002959
11	0	35	76	#00234C
12	0	34	74	#00224A
13	0	33	72	#002148
14	0	32	70	#002046
15	0	29	63	#001D3F
16	0	28	61	#001C3D
17	0	27	59	#001B3B
18	0	22	48	#001630
19	0	21	46	#00152E
20	0	20	44	#00142C
21	0	19	42	#00132A
22	0	18	40	#001228
23	0	17	37	#001125
24	0	16	35	#001023
25	0	15	33	#000F21
26	0	14	31	#000E1F
27	0	13	29	#000D1D
28	0	12	27	#000C1B
29	0	11	24	#000B18
30	0	10	22	#000A16
31	0	9	20	#000914
32	0	8	18	#000812
33	0	5	11	#00050B
34	0	4	9	#000409
35	166	179	195	#A6B3C3
36	132	142	154	#848E9A
37	0	49	105	#003169
38	0	48	104	#003068
39	0	49	104	#003168
40	0	48	103	#003067
41	0	48	102	#003066
42	0	47	101	#002F65
43	0	47	100	#002F64
44	0	46	99	#002E63
45	0	46	98	#002E62
46	0	45	97	#002D61
47	0	45	96	#002D60
48	0	44	95	#002C5F
49	0	44	94	#002C5E
50	0	43	93	#002B5D
51	0	44	93	#002C5D
52	0	43	92	#002B5C
53	0	42	91	#002A5B
54	0	43	91	#002B5B
55	0	42	90	#002A5A
56	0	42	89	#002A59
57	0	41	88	#002958
58	0	41	87	#002957
59	0	40	86	#002856
60	0	40	85	#002855
61	0	39	84	#002754
62	0	39	83	#002753
63	0	38	82	#002652
64	0	38	81	#002651
65	0	37	80	#002550
66	0	37	79	#00254F
67	0	36	78	#00244E
68	0	37	78	#00254E
69	0	36	77	#00244D
70	0	36	76	#00244C
71	0	35	75	#00234B
72	0	35	74	#00234A
73	0	34	73	#002249
74	0	34	72	#002248
75	0	33	71	#002147
76	0	33	70	#002146
77	0	32	69	#002045
78	0	32	68	#002044
79	0	31	67	#001F43
80	0	31	66	#001F42
81	0	30	65	#001E41
82	0	30	64	#001E40
83	0	30	63	#001E3F
84	0	29	62	#001D3E
85	0	29	61	#001D3D
86	0	28	60	#001C3C
87	0	27	58	#001B3A
88	0	27	57	#001B39
89	0	26	56	#001A38
90	0	26	55	#001A37
91	0	25	54	#001936
92	0	25	53	#001935
93	0	24	52	#001834
94	0	24	51	#001833
95	0	23	49	#001731
96	0	22	47	#00162F
97	0	21	45	#00152D
98	0	21	44	#00152C
99	0	20	43	#00142B
100	0	20	42	#00142A
101	0	19	41	#001329
102	0	19	40	#001328
103	0	18	39	#001227
104	0	18	38	#001226
105	0	17	36	#001124
106	0	16	34	#001022
107	0	15	32	#000F20
108	0	15	31	#000F1F
109	0	14	30	#000E1E
110	0	14	29	#000E1D
111	0	13	28	#000D1C
112	0	13	27	#000D1B
113	0	12	26	#000C1A
114	0	12	25	#000C19
115	0	11	23	#000B17
116	0	10	21	#000A15
117	0	9	19	#000913
118	0	8	17	#000811
119	0	7	15	#00070F
120	0	6	13	#00060D
121	79	110	145	#4F6E91
122	116	156	202	#749CCA
123	105	136	171	#6988AB
124	147	178	214	#93B2D6
125	138	162	189	#8AA2BD
126	191	219	250	#BFDBFA
127	205	227	251	#CDE3FB
128	0	17	35	#001123
129	0	16	33	#001021
130	0	7	14	#00070E
131	0	6	12	#00060C
132	0	5	10	#00050A
133	0	4	8	#000408
134	0	3	6	#000306
135	0	2	4	#000204
136	0	1	2	#000102
137	203	207	211	#CBCFD3
138	0	2	3	#000203
139	43	162	217	#2BA2D9
140	217	245	247	#D9F5F7
141	0	1	1	#000101
142	167	160	153	#A7A099
143	238	230	223	#EEE6DF
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
