member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
21	bitmap	h_spk_ha_15_2_0	0			bitmaps/00021_h_spk_ha_15_2_0.png
21	bitmap	h_spk_ha_15_2_0	0	2011	BITD	raw_chunks/00021_h_spk_ha_15_2_0_2011_BITD.bin
22	bitmap	h_std_ha_15_2_0	0			bitmaps/00022_h_std_ha_15_2_0.png
22	bitmap	h_std_ha_15_2_0	0	2001	BITD	raw_chunks/00022_h_std_ha_15_2_0_2001_BITD.bin
26	bitmap	h_std_ha_14_7_0	0			bitmaps/00026_h_std_ha_14_7_0.png
26	bitmap	h_std_ha_14_7_0	0	1981	BITD	raw_chunks/00026_h_std_ha_14_7_0_1981_BITD.bin
28	bitmap	h_std_ha_15_7_0	0			bitmaps/00028_h_std_ha_15_7_0.png
28	bitmap	h_std_ha_15_7_0	0	2005	BITD	raw_chunks/00028_h_std_ha_15_7_0_2005_BITD.bin
34	bitmap	h_std_ha_24_2_0	0			bitmaps/00034_h_std_ha_24_2_0.png
34	bitmap	h_std_ha_24_2_0	0	2207	BITD	raw_chunks/00034_h_std_ha_24_2_0_2207_BITD.bin
40	bitmap	h_spk_ha_15_7_0	0			bitmaps/00040_h_spk_ha_15_7_0.png
40	bitmap	h_spk_ha_15_7_0	0	2015	BITD	raw_chunks/00040_h_spk_ha_15_7_0_2015_BITD.bin
43	bitmap	h_spk_ha_15_3_0	0			bitmaps/00043_h_spk_ha_15_3_0.png
43	bitmap	h_spk_ha_15_3_0	0	2013	BITD	raw_chunks/00043_h_spk_ha_15_3_0_2013_BITD.bin
44	bitmap	h_spk_ha_15_0_0	0			bitmaps/00044_h_spk_ha_15_0_0.png
44	bitmap	h_spk_ha_15_0_0	0	2007	BITD	raw_chunks/00044_h_spk_ha_15_0_0_2007_BITD.bin
46	bitmap	h_spk_ha_15_1_0	0			bitmaps/00046_h_spk_ha_15_1_0.png
46	bitmap	h_spk_ha_15_1_0	0	2009	BITD	raw_chunks/00046_h_spk_ha_15_1_0_2009_BITD.bin
47	bitmap	h_spk_ha_14_3_0	0			bitmaps/00047_h_spk_ha_14_3_0.png
47	bitmap	h_spk_ha_14_3_0	0	1989	BITD	raw_chunks/00047_h_spk_ha_14_3_0_1989_BITD.bin
58	bitmap	h_spk_ha_14_7_0	0			bitmaps/00058_h_spk_ha_14_7_0.png
58	bitmap	h_spk_ha_14_7_0	0	1991	BITD	raw_chunks/00058_h_spk_ha_14_7_0_1991_BITD.bin
62	bitmap	h_spk_ha_14_1_0	0			bitmaps/00062_h_spk_ha_14_1_0.png
62	bitmap	h_spk_ha_14_1_0	0	1985	BITD	raw_chunks/00062_h_spk_ha_14_1_0_1985_BITD.bin
64	bitmap	h_spk_ha_14_2_0	0			bitmaps/00064_h_spk_ha_14_2_0.png
64	bitmap	h_spk_ha_14_2_0	0	1987	BITD	raw_chunks/00064_h_spk_ha_14_2_0_1987_BITD.bin
65	bitmap	h_spk_ha_14_0_0	0			bitmaps/00065_h_spk_ha_14_0_0.png
65	bitmap	h_spk_ha_14_0_0	0	1983	BITD	raw_chunks/00065_h_spk_ha_14_0_0_1983_BITD.bin
76	bitmap	h_spk_ha_24_7_0	0			bitmaps/00076_h_spk_ha_24_7_0.png
76	bitmap	h_spk_ha_24_7_0	0	2221	BITD	raw_chunks/00076_h_spk_ha_24_7_0_2221_BITD.bin
78	bitmap	h_spk_ha_24_2_0	0			bitmaps/00078_h_spk_ha_24_2_0.png
78	bitmap	h_spk_ha_24_2_0	0	2217	BITD	raw_chunks/00078_h_spk_ha_24_2_0_2217_BITD.bin
80	bitmap	h_spk_ha_24_1_0	0			bitmaps/00080_h_spk_ha_24_1_0.png
80	bitmap	h_spk_ha_24_1_0	0	2215	BITD	raw_chunks/00080_h_spk_ha_24_1_0_2215_BITD.bin
81	bitmap	h_spk_ha_24_0_0	0			bitmaps/00081_h_spk_ha_24_0_0.png
81	bitmap	h_spk_ha_24_0_0	0	2213	BITD	raw_chunks/00081_h_spk_ha_24_0_0_2213_BITD.bin
92	bitmap	h_std_ha_23_2_0	0			bitmaps/00092_h_std_ha_23_2_0.png
92	bitmap	h_std_ha_23_2_0	0	2185	BITD	raw_chunks/00092_h_std_ha_23_2_0_2185_BITD.bin
93	bitmap	h_spk_ha_25_3_0	0			bitmaps/00093_h_spk_ha_25_3_0.png
93	bitmap	h_spk_ha_25_3_0	0	2241	BITD	raw_chunks/00093_h_spk_ha_25_3_0_2241_BITD.bin
100	bitmap	h_spk_ha_18_2_0	0			bitmaps/00100_h_spk_ha_18_2_0.png
100	bitmap	h_spk_ha_18_2_0	0	2081	BITD	raw_chunks/00100_h_spk_ha_18_2_0_2081_BITD.bin
104	bitmap	h_std_ha_18_2_0	0			bitmaps/00104_h_std_ha_18_2_0.png
104	bitmap	h_std_ha_18_2_0	0	2071	BITD	raw_chunks/00104_h_std_ha_18_2_0_2071_BITD.bin
108	bitmap	h_spk_ha_19_0_0	0			bitmaps/00108_h_spk_ha_19_0_0.png
108	bitmap	h_spk_ha_19_0_0	0	2099	BITD	raw_chunks/00108_h_spk_ha_19_0_0_2099_BITD.bin
115	bitmap	h_spk_ha_25_0_0	0			bitmaps/00115_h_spk_ha_25_0_0.png
115	bitmap	h_spk_ha_25_0_0	0	2235	BITD	raw_chunks/00115_h_spk_ha_25_0_0_2235_BITD.bin
132	bitmap	h_lsp_ha_22_2_0	0			bitmaps/00132_h_lsp_ha_22_2_0.png
132	bitmap	h_lsp_ha_22_2_0	0	2179	BITD	raw_chunks/00132_h_lsp_ha_22_2_0_2179_BITD.bin
133	bitmap	h_lay_ha_22_2_0	0			bitmaps/00133_h_lay_ha_22_2_0.png
