index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	204	204	#FFCCCC
2	204	153	153	#CC9999
3	51	51	0	#333300
4	1	0	0	#010000
5	9	6	6	#090606
6	3	2	2	#030202
7	10	7	7	#0A0707
8	38	27	27	#261B1B
9	7	5	5	#070505
10	62	45	45	#3E2D2D
11	51	37	37	#332525
12	40	29	29	#281D1D
13	29	21	21	#1D1515
14	55	40	40	#372828
15	48	35	35	#302323
16	11	8	8	#0B0808
17	105	77	77	#694D4D
18	78	57	57	#4E3939
19	64	47	47	#402F2F
20	56	41	41	#382929
21	45	33	33	#2D2121
22	41	30	30	#291E1E
23	30	22	22	#1E1616
24	26	19	19	#1A1313
25	129	95	95	#815F5F
26	117	86	86	#755656
27	80	59	59	#503B3B
28	57	42	42	#392A2A
29	53	39	39	#352727
30	42	31	31	#2A1F1F
31	34	25	25	#221919
32	19	14	14	#130E0E
33	204	151	151	#CC9797
34	190	141	141	#BE8D8D
35	182	135	135	#B68787
36	166	123	123	#A67B7B
37	162	120	120	#A27878
38	153	113	113	#997171
39	150	111	111	#966F6F
40	146	108	108	#926C6C
41	135	100	100	#876464
42	120	89	89	#785959
43	115	85	85	#735555
44	112	83	83	#705353
45	88	65	65	#584141
46	58	43	43	#3A2B2B
47	46	34	34	#2E2222
48	31	23	23	#1F1717
49	23	17	17	#171111
50	204	152	152	#CC9898
51	200	149	149	#C89595
52	198	147	147	#C69393
53	192	143	143	#C08F8F
54	185	138	138	#B98A8A
55	181	135	135	#B58787
56	173	129	129	#AD8181
57	168	125	125	#A87D7D
58	165	123	123	#A57B7B
59	161	120	120	#A17878
60	160	119	119	#A07777
61	144	107	107	#906B6B
62	140	104	104	#8C6868
63	137	102	102	#896666
64	136	101	101	#886565
65	132	98	98	#846262
66	122	91	91	#7A5B5B
67	121	90	90	#795A5A
68	118	88	88	#765858
69	109	81	81	#6D5151
70	106	79	79	#6A4F4F
71	98	73	73	#624949
72	82	61	61	#523D3D
73	74	55	55	#4A3737
74	66	49	49	#423131
75	63	47	47	#3F2F2F
76	59	44	44	#3B2C2C
77	43	32	32	#2B2020
78	39	29	29	#271D1D
79	35	26	26	#231A1A
80	203	152	152	#CB9898
81	202	151	151	#CA9797
82	197	147	147	#C59393
83	194	145	145	#C29191
84	187	140	140	#BB8C8C
85	186	139	139	#BA8B8B
86	178	133	133	#B28585
87	176	132	132	#B08484
88	175	131	131	#AF8383
89	170	127	127	#AA7F7F
90	156	117	117	#9C7575
91	155	116	116	#9B7474
92	154	115	115	#9A7373
93	151	113	113	#977171
94	148	111	111	#946F6F
95	147	110	110	#936E6E
96	144	108	108	#906C6C
97	138	103	103	#8A6767
98	131	98	98	#836262
99	130	97	97	#826161
100	127	95	95	#7F5F5F
101	124	93	93	#7C5D5D
102	107	80	80	#6B5050
103	103	77	77	#674D4D
104	100	75	75	#644B4B
105	92	69	69	#5C4545
106	88	66	66	#584242
107	87	65	65	#574141
108	84	63	63	#543F3F
109	72	54	54	#483636
110	68	51	51	#443333
111	67	50	50	#433232
112	60	45	45	#3C2D2D
113	32	24	24	#201818
114	24	18	18	#181212
115	20	15	15	#140F0F
116	16	12	12	#100C0C
