index	r	g	b	hex
0	255	255	255	#FFFFFF
1	1	1	1	#010101
2	239	239	239	#EFEFEF
3	232	106	60	#E86A3C
4	215	222	240	#D7DEF0
5	214	221	239	#D6DDEF
6	119	119	119	#777777
7	70	150	225	#4696E1
8	234	235	239	#EAEBEF
9	215	221	239	#D7DDEF
10	228	231	239	#E4E7EF
11	186	203	245	#BACBF5
12	196	209	241	#C4D1F1
13	215	222	239	#D7DEEF
14	236	237	239	#ECEDEF
15	124	152	181	#7C98B5
16	188	193	198	#BCC1C6
17	99	101	103	#636567
18	234	235	236	#EAEBEC
19	9	96	157	#09609D
20	46	73	88	#2E4958
21	46	72	87	#2E4857
22	47	73	88	#2F4958
23	48	74	89	#304A59
24	119	175	207	#77AFCF
25	45	73	87	#2D4957
26	45	72	86	#2D4856
27	47	75	89	#2F4B59
28	46	73	87	#2E4957
29	47	74	88	#2F4A58
30	153	181	195	#99B5C3
31	45	74	87	#2D4A57
32	45	73	86	#2D4956
33	46	74	87	#2E4A57
34	47	75	88	#2F4B58
35	47	74	87	#2F4A57
36	95	133	150	#5F8596
37	45	74	86	#2D4A56
38	46	75	87	#2E4B57
39	103	148	167	#6794A7
40	96	134	150	#608696
41	140	176	191	#8CB0BF
42	173	207	201	#ADCFC9
43	175	209	203	#AFD1CB
44	174	208	202	#AED0CA
45	173	209	202	#ADD1CA
46	172	208	201	#ACD0C9
47	173	208	201	#ADD0C9
48	175	210	203	#AFD2CB
49	174	209	202	#AED1CA
50	172	209	201	#ACD1C9
51	173	209	201	#ADD1C9
52	102	204	51	#66CC33
53	153	255	102	#99FF66
54	206	216	201	#CED8C9
55	73	154	32	#499A20
56	51	102	0	#336600
57	74	116	10	#4A740A
58	102	153	0	#669900
59	114	154	17	#729A11
60	142	189	30	#8EBD1E
61	153	204	0	#99CC00
62	204	255	51	#CCFF33
63	242	243	239	#F2F3EF
64	193	227	52	#C1E334
65	255	255	153	#FFFF99
66	255	255	204	#FFFFCC
67	255	251	153	#FFFB99
68	255	252	193	#FFFCC1
69	253	211	99	#FDD363
70	253	212	99	#FDD463
71	252	211	99	#FCD363
72	252	212	99	#FCD463
73	251	210	99	#FBD263
74	252	209	99	#FCD163
75	252	210	99	#FCD263
76	253	210	100	#FDD264
77	253	211	100	#FDD364
78	254	167	0	#FEA700
79	251	165	0	#FBA500
80	251	167	0	#FBA700
81	250	165	0	#FAA500
82	250	166	0	#FAA600
83	250	167	0	#FAA700
84	249	165	0	#F9A500
85	249	166	0	#F9A600
86	249	167	0	#F9A700
87	248	164	0	#F8A400
88	248	165	0	#F8A500
89	248	166	0	#F8A600
90	235	156	0	#EB9C00
91	204	153	51	#CC9933
92	255	204	102	#FFCC66
93	255	201	101	#FFC965
94	255	153	0	#FF9900
95	188	107	0	#BC6B00
