index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	229	48	56	#E53038
3	152	32	37	#982025
4	76	16	18	#4C1012
5	236	55	63	#EC373F
6	239	58	66	#EF3A42
7	242	61	69	#F23D45
8	162	42	47	#A22A2F
9	165	45	50	#A52D32
10	251	70	78	#FB464E
11	255	74	82	#FF4A52
12	86	26	28	#561A1C
13	174	54	59	#AE363B
14	178	58	63	#B23A3F
15	89	29	31	#591D1F
16	181	61	66	#B53D42
17	98	38	40	#622628
18	78	59	66	#4E3B42
19	79	60	67	#4F3C43
20	81	62	69	#513E45
21	80	61	68	#503D44
22	91	72	79	#5B484F
23	59	48	52	#3B3034
24	139	114	123	#8B727B
25	148	123	132	#947B84
26	152	127	136	#987F88
27	156	106	127	#9C6A7F
28	245	220	231	#F5DCE7
29	228	96	157	#E4609D
30	235	103	164	#EB67A4
31	238	106	167	#EE6AA7
32	241	109	170	#F16DAA
33	250	118	179	#FA76B3
34	246	193	218	#F6C1DA
35	218	68	157	#DA449D
36	105	35	77	#69234D
37	215	51	152	#D73398
38	218	154	195	#DA9AC3
39	217	153	194	#D999C2
40	216	152	193	#D898C1
41	220	156	197	#DC9CC5
42	219	155	196	#DB9BC4
43	137	101	124	#89657C
44	248	188	227	#F8BCE3
45	152	118	140	#98768C
46	147	133	142	#93858E
47	178	164	173	#B2A4AD
48	182	168	177	#B6A8B1
49	195	147	179	#C393B3
50	253	223	244	#FDDFF4
51	252	222	243	#FCDEF3
52	251	221	242	#FBDDF2
53	250	220	241	#FADCF1
54	249	219	240	#F9DBF0
55	248	218	239	#F8DAEF
56	208	183	200	#D0B7C8
57	153	137	148	#998994
58	152	136	147	#988893
59	89	17	69	#591145
60	90	18	70	#5A1246
61	119	32	95	#77205F
62	142	55	118	#8E3776
63	222	161	204	#DEA1CC
64	190	165	183	#BEA5B7
65	198	174	191	#C6AEBF
66	143	126	138	#8F7E8A
67	155	138	150	#9B8A96
68	154	137	149	#9A8995
69	153	136	148	#998894
70	152	135	147	#988793
71	124	110	120	#7C6E78
72	206	27	159	#CE1B9F
73	207	28	160	#CF1CA0
74	208	29	161	#D01DA1
75	209	30	162	#D11EA2
76	131	30	104	#831E68
77	130	30	104	#821E68
78	64	23	53	#401735
79	249	185	233	#F9B9E9
80	152	116	143	#98748F
81	156	120	147	#9C7893
82	232	202	224	#E8CAE0
83	231	201	223	#E7C9DF
84	230	200	222	#E6C8DE
85	229	199	221	#E5C7DD
86	228	198	220	#E4C6DC
87	227	197	219	#E3C5DB
88	181	157	175	#B59DAF
89	255	192	240	#FFC0F0
90	140	123	136	#8C7B88
91	142	125	138	#8E7D8A
92	114	101	111	#72656F
93	156	122	149	#9C7A95
94	255	195	243	#FFC3F3
95	255	198	246	#FFC6F6
96	138	59	126	#8A3B7E
97	255	199	247	#FFC7F7
98	71	62	70	#473E46
99	80	71	79	#50474F
100	84	75	83	#544B53
101	87	78	86	#574E56
102	94	85	93	#5E555D
103	255	202	250	#FFCAFA
104	255	205	253	#FFCDFD
105	255	207	255	#FFCFFF
106	255	208	255	#FFD0FF
107	255	211	255	#FFD3FF
108	255	214	255	#FFD6FF
109	255	217	255	#FFD9FF
110	255	218	255	#FFDAFF
111	255	220	255	#FFDCFF
112	255	221	255	#FFDDFF
113	255	223	255	#FFDFFF
114	255	224	255	#FFE0FF
115	255	227	255	#FFE3FF
116	255	229	255	#FFE5FF
117	255	230	255	#FFE6FF
118	255	233	255	#FFE9FF
119	255	236	255	#FFECFF
120	255	237	255	#FFEDFF
121	163	152	163	#A398A3
122	146	142	146	#928E92
123	241	240	241	#F1F0F1
124	156	155	156	#9C9B9C
125	101	91	102	#655B66
126	155	137	158	#9B899E
127	154	136	157	#9A889D
128	153	135	156	#99879C
129	152	134	155	#98869B
130	157	139	160	#9D8BA0
131	156	138	159	#9C8A9F
132	237	231	238	#EDE7EE
133	102	95	105	#665F69
134	153	143	158	#998F9E
135	254	253	255	#FEFDFF
136	209	208	210	#D1D0D2
137	199	198	200	#C7C6C8
138	252	251	254	#FCFBFE
139	251	250	253	#FBFAFD
140	250	249	252	#FAF9FC
141	249	248	251	#F9F8FB
142	124	124	125	#7C7C7D
143	155	155	156	#9B9B9C
144	152	152	153	#989899
145	142	158	159	#8E9E9F
146	55	82	82	#375252
147	44	65	65	#2C4141
148	37	49	49	#253131
149	32	42	42	#202A2A
150	23	28	23	#171C17
151	89	96	86	#596056
152	96	103	93	#60675D
153	141	150	82	#8D9652
154	140	149	81	#8C9551
155	91	96	58	#5B603A
156	46	47	37	#2E2F25
157	53	54	44	#35362C
158	255	255	71	#FFFF47
159	255	255	75	#FFFF4B
160	255	255	87	#FFFF57
161	216	216	142	#D8D88E
162	134	134	92	#86865C
163	134	134	93	#86865D
164	8	8	6	#080806
165	255	255	231	#FFFFE7
166	12	12	11	#0C0C0B
167	255	255	243	#FFFFF3
168	161	155	79	#A19B4F
169	165	159	83	#A59F53
170	177	171	95	#B1AB5F
171	223	202	100	#DFCA64
172	255	209	89	#FFD159
173	255	232	181	#FFE8B5
174	255	193	73	#FFC149
175	255	197	77	#FFC54D
176	53	46	32	#352E20
177	98	85	60	#62553C
178	84	72	51	#544833
179	97	85	64	#615540
180	110	98	77	#6E624D
181	113	101	80	#716550
182	156	104	36	#9C6824
183	163	152	137	#A39889
184	156	103	36	#9C6724
185	255	213	162	#FFD5A2
186	255	210	159	#FFD29F
187	204	162	121	#CCA279
188	255	203	152	#FFCB98
189	245	195	146	#F5C392
190	211	169	128	#D3A980
191	214	172	131	#D6AC83
192	140	122	104	#8C7A68
193	143	125	107	#8F7D6B
194	146	128	110	#92806E
195	159	141	123	#9F8D7B
196	153	121	91	#99795B
197	178	163	150	#B2A396
198	199	137	118	#C78976
199	244	222	216	#F4DED8
200	254	232	226	#FEE8E2
201	251	229	223	#FBE5DF
202	246	213	211	#F6D5D3
203	249	216	214	#F9D8D6
204	255	228	226	#FFE4E2
205	249	246	246	#F9F6F6
206	237	237	237	#EDEDED
207	173	173	173	#ADADAD
208	148	148	148	#949494
209	126	126	126	#7E7E7E
210	38	38	38	#262626
211	29	29	29	#1D1D1D
212	26	26	26	#1A1A1A
213	22	22	22	#161616
214	14	14	14	#0E0E0E
215	13	13	13	#0D0D0D
216	10	10	10	#0A0A0A
217	9	9	9	#090909
218	7	7	7	#070707
219	4	4	4	#040404
220	3	3	3	#030303
221	2	2	2	#020202
222	1	1	1	#010101
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
