member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
20	bitmap	paaluUI_bg	0			bitmaps/00020_paaluUI_bg.png
20	bitmap	paaluUI_bg	0	381	BITD	raw_chunks/00020_paaluUI_bg_381_BITD.bin
42	bitmap	md_pool_tickets	0			bitmaps/00042_md_pool_tickets.png
42	bitmap	md_pool_tickets	0	401	BITD	raw_chunks/00042_md_pool_tickets_401_BITD.bin
43	bitmap	md_highscore	0			bitmaps/00043_md_highscore.png
43	bitmap	md_highscore	0	403	BITD	raw_chunks/00043_md_highscore_403_BITD.bin
45	bitmap	paalu hit 4 2	0			bitmaps/00045_paalu_hit_4_2.png
45	bitmap	paalu hit 4 2	0	407	BITD	raw_chunks/00045_paalu_hit_4_2_407_BITD.bin
47	bitmap	paalu hit 4 4	0			bitmaps/00047_paalu_hit_4_4.png
47	bitmap	paalu hit 4 4	0	411	BITD	raw_chunks/00047_paalu_hit_4_4_411_BITD.bin
50	bitmap	paalu hit 0 3	0			bitmaps/00050_paalu_hit_0_3.png
50	bitmap	paalu hit 0 3	0	417	BITD	raw_chunks/00050_paalu_hit_0_3_417_BITD.bin
58	bitmap	startcount 1 1	0			bitmaps/00058_startcount_1_1.png
58	bitmap	startcount 1 1	0	429	BITD	raw_chunks/00058_startcount_1_1_429_BITD.bin
59	bitmap	startcount 1 2	0			bitmaps/00059_startcount_1_2.png
59	bitmap	startcount 1 2	0	432	ALFA	raw_chunks/00059_startcount_1_2_432_ALFA.bin
59	bitmap	startcount 1 2	0	431	BITD	raw_chunks/00059_startcount_1_2_431_BITD.bin
60	bitmap	startcount 1 3	0			bitmaps/00060_startcount_1_3.png
60	bitmap	startcount 1 3	0	434	BITD	raw_chunks/00060_startcount_1_3_434_BITD.bin
61	bitmap	startcount 2 1	0			bitmaps/00061_startcount_2_1.png
61	bitmap	startcount 2 1	0	436	BITD	raw_chunks/00061_startcount_2_1_436_BITD.bin
62	bitmap	startcount 2 2	0			bitmaps/00062_startcount_2_2.png
62	bitmap	startcount 2 2	0	439	ALFA	raw_chunks/00062_startcount_2_2_439_ALFA.bin
62	bitmap	startcount 2 2	0	438	BITD	raw_chunks/00062_startcount_2_2_438_BITD.bin
63	bitmap	startcount 2 3	0			bitmaps/00063_startcount_2_3.png
63	bitmap	startcount 2 3	0	441	BITD	raw_chunks/00063_startcount_2_3_441_BITD.bin
64	bitmap	startcount 3 1	0			bitmaps/00064_startcount_3_1.png
64	bitmap	startcount 3 1	0	443	BITD	raw_chunks/00064_startcount_3_1_443_BITD.bin
65	bitmap	startcount 3 2	0			bitmaps/00065_startcount_3_2.png
65	bitmap	startcount 3 2	0	446	ALFA	raw_chunks/00065_startcount_3_2_446_ALFA.bin
65	bitmap	startcount 3 2	0	445	BITD	raw_chunks/00065_startcount_3_2_445_BITD.bin
66	bitmap	startcount 3 3	0			bitmaps/00066_startcount_3_3.png
66	bitmap	startcount 3 3	0	448	BITD	raw_chunks/00066_startcount_3_3_448_BITD.bin
101	bitmap	paalu3_a_0_2_0	0			bitmaps/00101_paalu3_a_0_2_0.png
101	bitmap	paalu3_a_0_2_0	0	423	BITD	raw_chunks/00101_paalu3_a_0_2_0_423_BITD.bin
110	bitmap	paaluUI_butt_SPACE_1	0			bitmaps/00110_paaluUI_butt_SPACE_1.png
110	bitmap	paaluUI_butt_SPACE_1	0	391	BITD	raw_chunks/00110_paaluUI_butt_SPACE_1_391_BITD.bin
130	bitmap	paaluUI_mittari	0			bitmaps/00130_paaluUI_mittari.png
130	bitmap	paaluUI_mittari	0	397	BITD	raw_chunks/00130_paaluUI_mittari_397_BITD.bin
148	bitmap	paalu hit 0 1	0			bitmaps/00148_paalu_hit_0_1.png
148	bitmap	paalu hit 0 1	0	413	BITD	raw_chunks/00148_paalu_hit_0_1_413_BITD.bin
203	bitmap	paalu5_a_0_2_0	0			bitmaps/00203_paalu5_a_0_2_0.png
203	bitmap	paalu5_a_0_2_0	0	425	BITD	raw_chunks/00203_paalu5_a_0_2_0_425_BITD.bin
204	bitmap	paalu1_a_0_2_0	0			bitmaps/00204_paalu1_a_0_2_0.png
204	bitmap	paalu1_a_0_2_0	0	421	BITD	raw_chunks/00204_paalu1_a_0_2_0_421_BITD.bin
222	bitmap	paaluUI_butt_SPACE_2	0			bitmaps/00222_paaluUI_butt_SPACE_2.png
222	bitmap	paaluUI_butt_SPACE_2	0	393	BITD	raw_chunks/00222_paaluUI_butt_SPACE_2_393_BITD.bin
223	bitmap	paaluUI_viisari1	0			bitmaps/00223_paaluUI_viisari1.png
223	bitmap	paaluUI_viisari1	0	395	BITD	raw_chunks/00223_paaluUI_viisari1_395_BITD.bin
225	text	paaluUI.window	0	454	STXT	text/00225_paaluUI.window_stxt_0.txt
225	text	paaluUI.window	0	454	STXT	raw_chunks/00225_paaluUI.window_454_STXT.bin
226	bitmap	paaluUI_viisari2	0			bitmaps/00226_paaluUI_viisari2.png
