member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
189	bitmap	room_hand_next	0			bitmaps/00189_room_hand_next.png
189	bitmap	room_hand_next	0	499	BITD	raw_chunks/00189_room_hand_next_499_BITD.bin
198	bitmap	catalog_bath_headline1	0			bitmaps/00198_catalog_bath_headline1.png
198	bitmap	catalog_bath_headline1	0	534	BITD	raw_chunks/00198_catalog_bath_headline1_534_BITD.bin
203	bitmap	catalog_pet_headline1	0			bitmaps/00203_catalog_pet_headline1.png
203	bitmap	catalog_pet_headline1	0	570	BITD	raw_chunks/00203_catalog_pet_headline1_570_BITD.bin
216	bitmap	catalog_pet_headline2	0			bitmaps/00216_catalog_pet_headline2.png
216	bitmap	catalog_pet_headline2	0	572	BITD	raw_chunks/00216_catalog_pet_headline2_572_BITD.bin
245	bitmap	pelle_kyltti2	0			bitmaps/00245_pelle_kyltti2.png
245	bitmap	pelle_kyltti2	0	497	BITD	raw_chunks/00245_pelle_kyltti2_497_BITD.bin
249	bitmap	catalog_sports_headline1	0			bitmaps/00249_catalog_sports_headline1.png
249	bitmap	catalog_sports_headline1	0	548	BITD	raw_chunks/00249_catalog_sports_headline1_548_BITD.bin
250	bitmap	catalog_flags_headline1	0			bitmaps/00250_catalog_flags_headline1.png
250	bitmap	catalog_flags_headline1	0	544	BITD	raw_chunks/00250_catalog_flags_headline1_544_BITD.bin
264	bitmap	mes_2_down	0			bitmaps/00264_mes_2_down.png
264	bitmap	mes_2_down	0	483	BITD	raw_chunks/00264_mes_2_down_483_BITD.bin
292	bitmap	mes_3_up	0			bitmaps/00292_mes_3_up.png
292	bitmap	mes_3_up	0	491	BITD	raw_chunks/00292_mes_3_up_491_BITD.bin
294	text	swimfigure_ids_Male	0	475	STXT	text/00294_swimfigure_ids_Male_stxt_0.txt
294	text	swimfigure_ids_Male	0	475	STXT	raw_chunks/00294_swimfigure_ids_Male_475_STXT.bin
303	bitmap	mes_1_down	0			bitmaps/00303_mes_1_down.png
303	bitmap	mes_1_down	0	481	BITD	raw_chunks/00303_mes_1_down_481_BITD.bin
305	bitmap	mes_1_up	0			bitmaps/00305_mes_1_up.png
305	bitmap	mes_1_up	0	495	BITD	raw_chunks/00305_mes_1_up_495_BITD.bin
336	bitmap	catalog_spaces_headline1	0			bitmaps/00336_catalog_spaces_headline1.png
336	bitmap	catalog_spaces_headline1	0	520	BITD	raw_chunks/00336_catalog_spaces_headline1_520_BITD.bin
337	bitmap	catalog_trophies_headline1	0			bitmaps/00337_catalog_trophies_headline1.png
337	bitmap	catalog_trophies_headline1	0	564	BITD	raw_chunks/00337_catalog_trophies_headline1_564_BITD.bin
339	bitmap	catalog_mode_headline1	0			bitmaps/00339_catalog_mode_headline1.png
339	bitmap	catalog_mode_headline1	0	560	BITD	raw_chunks/00339_catalog_mode_headline1_560_BITD.bin
340	bitmap	catalog_iced_headline1	0			bitmaps/00340_catalog_iced_headline1.png
340	bitmap	catalog_iced_headline1	0	558	BITD	raw_chunks/00340_catalog_iced_headline1_558_BITD.bin
341	bitmap	catalog_rares_headline1	0			bitmaps/00341_catalog_rares_headline1.png
341	bitmap	catalog_rares_headline1	0	556	BITD	raw_chunks/00341_catalog_rares_headline1_556_BITD.bin
342	bitmap	catalog_club_headline1	0			bitmaps/00342_catalog_club_headline1.png
342	bitmap	catalog_club_headline1	0	554	BITD	raw_chunks/00342_catalog_club_headline1_554_BITD.bin
343	bitmap	catalog_lodge_headline1	0			bitmaps/00343_catalog_lodge_headline1.png
343	bitmap	catalog_lodge_headline1	0	552	BITD	raw_chunks/00343_catalog_lodge_headline1_552_BITD.bin
346	bitmap	catalog_pura_headline1	0			bitmaps/00346_catalog_pura_headline1.png
346	bitmap	catalog_pura_headline1	0	546	BITD	raw_chunks/00346_catalog_pura_headline1_546_BITD.bin
348	bitmap	catalog_plasto_headline1	0			bitmaps/00348_catalog_plasto_headline1.png
348	bitmap	catalog_plasto_headline1	0	542	BITD	raw_chunks/00348_catalog_plasto_headline1_542_BITD.bin
349	bitmap	catalog_candy_headline1	0			bitmaps/00349_catalog_candy_headline1.png
349	bitmap	catalog_candy_headline1	0	540	BITD	raw_chunks/00349_catalog_candy_headline1_540_BITD.bin
350	bitmap	catalog_area_headline1	0			bitmaps/00350_catalog_area_headline1.png
350	bitmap	catalog_area_headline1	0	538	BITD	raw_chunks/00350_catalog_area_headline1_538_BITD.bin
351	bitmap	catalog_plants_headline1	0			bitmaps/00351_catalog_plants_headline1.png
351	bitmap	catalog_plants_headline1	0	536	BITD	raw_chunks/00351_catalog_plants_headline1_536_BITD.bin
353	bitmap	catalog_deals_headline1	0			bitmaps/00353_catalog_deals_headline1.png
353	bitmap	catalog_deals_headline1	0	532	BITD	raw_chunks/00353_catalog_deals_headline1_532_BITD.bin
354	bitmap	catalog_rugs_headline1	0			bitmaps/00354_catalog_rugs_headline1.png
354	bitmap	catalog_rugs_headline1	0	530	BITD	raw_chunks/00354_catalog_rugs_headline1_530_BITD.bin
355	bitmap	catalog_extra_headline1	0			bitmaps/00355_catalog_extra_headline1.png
355	bitmap	catalog_extra_headline1	0	528	BITD	raw_chunks/00355_catalog_extra_headline1_528_BITD.bin
356	bitmap	catalog_gifts_headline1	0			bitmaps/00356_catalog_gifts_headline1.png
356	bitmap	catalog_gifts_headline1	0	526	BITD	raw_chunks/00356_catalog_gifts_headline1_526_BITD.bin
357	bitmap	catalog_camera_headline1	0			bitmaps/00357_catalog_camera_headline1.png
357	bitmap	catalog_camera_headline1	0	524	BITD	raw_chunks/00357_catalog_camera_headline1_524_BITD.bin
361	bitmap	catalog_love_headline1	0			bitmaps/00361_catalog_love_headline1.png
361	bitmap	catalog_love_headline1	0	516	BITD	raw_chunks/00361_catalog_love_headline1_516_BITD.bin
364	bitmap	catal_fp_header	0			bitmaps/00364_catal_fp_header.png
364	bitmap	catal_fp_header	0	512	BITD	raw_chunks/00364_catal_fp_header_512_BITD.bin
369	bitmap	catalog_doors_headline1	0			bitmaps/00369_catalog_doors_headline1.png
