index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	252	72	80	#FC4850
3	128	0	10	#80000A
4	219	40	61	#DB283D
5	191	4	39	#BF0427
6	15	16	15	#0F100F
7	16	16	15	#10100F
8	255	255	240	#FFFFF0
9	179	155	30	#B39B1E
10	241	218	102	#F1DA66
11	255	237	150	#FFED96
12	249	238	187	#F9EEBB
13	255	229	122	#FFE57A
14	255	226	135	#FFE287
15	102	97	86	#666156
16	240	234	221	#F0EADD
17	203	137	0	#CB8900
18	165	109	0	#A56D00
19	74	69	59	#4A453B
20	134	126	110	#867E6E
21	114	108	96	#726C60
22	216	210	198	#D8D2C6
23	250	175	43	#FAAF2B
24	255	198	92	#FFC65C
25	149	140	123	#958C7B
26	180	109	0	#B46D00
27	195	184	167	#C3B8A7
28	175	165	150	#AFA596
29	84	71	54	#544736
30	252	165	61	#FCA53D
31	255	167	62	#FFA73E
32	215	175	125	#D7AF7D
33	172	140	100	#AC8C64
34	129	105	75	#81694B
35	206	168	120	#CEA878
36	178	150	115	#B29673
37	133	112	86	#857056
38	124	65	0	#7C4100
39	135	99	58	#87633A
40	241	136	31	#F1881F
41	145	98	55	#916237
42	139	94	53	#8B5E35
43	116	78	44	#744E2C
44	87	59	33	#573B21
45	55	37	21	#372515
46	228	106	0	#E46A00
47	187	87	0	#BB5700
48	91	42	0	#5B2A00
49	255	193	139	#FFC18B
50	247	123	30	#F77B1E
51	240	82	0	#F05200
52	133	64	29	#85401D
53	120	93	82	#785D52
54	96	74	66	#604A42
55	64	49	44	#40312C
56	5	1	0	#050100
57	220	21	15	#DC150F
58	219	23	17	#DB1711
59	221	91	86	#DD5B56
60	233	0	0	#E90000
61	219	0	0	#DB0000
62	214	0	0	#D60000
63	200	0	0	#C80000
64	193	0	0	#C10000
65	187	0	0	#BB0000
66	186	0	0	#BA0000
67	170	0	0	#AA0000
68	169	0	0	#A90000
69	165	0	0	#A50000
70	162	0	0	#A20000
71	155	0	0	#9B0000
72	152	0	0	#980000
73	148	0	0	#940000
74	133	0	0	#850000
75	117	0	0	#750000
76	5	0	0	#050000
77	4	0	0	#040000
78	228	6	6	#E40606
79	162	4	4	#A20404
80	153	4	4	#990404
81	215	6	6	#D70606
82	131	4	4	#830404
83	184	6	6	#B80606
84	105	4	4	#690404
85	75	3	3	#4B0303
86	191	21	21	#BF1515
87	203	27	27	#CB1B1B
88	220	35	35	#DC2323
89	235	44	44	#EB2C2C
90	228	44	44	#E42C2C
91	226	45	45	#E22D2D
92	212	44	44	#D42C2C
93	239	64	64	#EF4040
94	241	66	66	#F14242
95	245	245	245	#F5F5F5
96	237	237	237	#EDEDED
97	216	216	216	#D8D8D8
98	194	194	194	#C2C2C2
99	189	189	189	#BDBDBD
100	173	173	173	#ADADAD
101	159	159	159	#9F9F9F
102	139	139	139	#8B8B8B
103	126	126	126	#7E7E7E
104	103	103	103	#676767
105	88	88	88	#585858
106	79	79	79	#4F4F4F
107	74	74	74	#4A4A4A
108	73	73	73	#494949
109	67	67	67	#434343
110	63	63	63	#3F3F3F
111	60	60	60	#3C3C3C
112	55	55	55	#373737
113	54	54	54	#363636
114	47	47	47	#2F2F2F
115	31	31	31	#1F1F1F
116	29	29	29	#1D1D1D
117	25	25	25	#191919
118	6	6	6	#060606
119	2	2	2	#020202
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
