member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
94	bitmap	catalog_pet_headline2	0			bitmaps/00094_catalog_pet_headline2.png
94	bitmap	catalog_pet_headline2	0	538	BITD	raw_chunks/00094_catalog_pet_headline2_538_BITD.bin
196	text	swimfigure_ids_Female	0	439	STXT	text/00196_swimfigure_ids_Female_stxt_0.txt
196	text	swimfigure_ids_Female	0	439	STXT	raw_chunks/00196_swimfigure_ids_Female_439_STXT.bin
199	bitmap	ad_warning_R	0			bitmaps/00199_ad_warning_R.png
199	bitmap	ad_warning_R	0	472	BITD	raw_chunks/00199_ad_warning_R_472_BITD.bin
213	text	swimfigure_ids_Male	0	437	STXT	text/00213_swimfigure_ids_Male_stxt_0.txt
213	text	swimfigure_ids_Male	0	437	STXT	raw_chunks/00213_swimfigure_ids_Male_437_STXT.bin
281	bitmap	mes_1_down	0			bitmaps/00281_mes_1_down.png
281	bitmap	mes_1_down	0	443	BITD	raw_chunks/00281_mes_1_down_443_BITD.bin
286	bitmap	mes_2_down	0			bitmaps/00286_mes_2_down.png
286	bitmap	mes_2_down	0	445	BITD	raw_chunks/00286_mes_2_down_445_BITD.bin
308	bitmap	pelle_kyltti2	0			bitmaps/00308_pelle_kyltti2.png
308	bitmap	pelle_kyltti2	0	461	BITD	raw_chunks/00308_pelle_kyltti2_461_BITD.bin
309	bitmap	mes_3_up	0			bitmaps/00309_mes_3_up.png
309	bitmap	mes_3_up	0	455	BITD	raw_chunks/00309_mes_3_up_455_BITD.bin
310	bitmap	create_room_icon	0			bitmaps/00310_create_room_icon.png
310	bitmap	create_room_icon	0	451	BITD	raw_chunks/00310_create_room_icon_451_BITD.bin
314	text	Poster Index List	0	474	STXT	text/00314_Poster_Index_List_stxt_0.txt
314	text	Poster Index List	0	474	STXT	raw_chunks/00314_Poster_Index_List_474_STXT.bin
318	bitmap	pelle_kyltti1	0			bitmaps/00318_pelle_kyltti1.png
318	bitmap	pelle_kyltti1	0	467	BITD	raw_chunks/00318_pelle_kyltti1_467_BITD.bin
321	bitmap	catalog_asian_headline1	0			bitmaps/00321_catalog_asian_headline1.png
321	bitmap	catalog_asian_headline1	0	542	BITD	raw_chunks/00321_catalog_asian_headline1_542_BITD.bin
331	bitmap	catalog_limited_headline1	0			bitmaps/00331_catalog_limited_headline1.png
331	bitmap	catalog_limited_headline1	0	565	BITD	raw_chunks/00331_catalog_limited_headline1_565_BITD.bin
337	bitmap	catalog_trophies_headline1	0			bitmaps/00337_catalog_trophies_headline1.png
337	bitmap	catalog_trophies_headline1	0	530	BITD	raw_chunks/00337_catalog_trophies_headline1_530_BITD.bin
338	bitmap	catalog_gallery_headline1	0			bitmaps/00338_catalog_gallery_headline1.png
338	bitmap	catalog_gallery_headline1	0	528	BITD	raw_chunks/00338_catalog_gallery_headline1_528_BITD.bin
339	bitmap	catalog_mode_headline1	0			bitmaps/00339_catalog_mode_headline1.png
339	bitmap	catalog_mode_headline1	0	526	BITD	raw_chunks/00339_catalog_mode_headline1_526_BITD.bin
340	bitmap	catalog_iced_headline1	0			bitmaps/00340_catalog_iced_headline1.png
340	bitmap	catalog_iced_headline1	0	524	BITD	raw_chunks/00340_catalog_iced_headline1_524_BITD.bin
341	bitmap	catalog_rares_headline1	0			bitmaps/00341_catalog_rares_headline1.png
341	bitmap	catalog_rares_headline1	0	522	BITD	raw_chunks/00341_catalog_rares_headline1_522_BITD.bin
342	bitmap	catalog_club_headline1	0			bitmaps/00342_catalog_club_headline1.png
342	bitmap	catalog_club_headline1	0	520	BITD	raw_chunks/00342_catalog_club_headline1_520_BITD.bin
343	bitmap	catalog_lodge_headline1	0			bitmaps/00343_catalog_lodge_headline1.png
343	bitmap	catalog_lodge_headline1	0	518	BITD	raw_chunks/00343_catalog_lodge_headline1_518_BITD.bin
344	bitmap	catalog_doors_headline1	0			bitmaps/00344_catalog_doors_headline1.png
344	bitmap	catalog_doors_headline1	0	516	BITD	raw_chunks/00344_catalog_doors_headline1_516_BITD.bin
345	bitmap	catalog_sports_headline1	0			bitmaps/00345_catalog_sports_headline1.png
345	bitmap	catalog_sports_headline1	0	514	BITD	raw_chunks/00345_catalog_sports_headline1_514_BITD.bin
346	bitmap	catalog_pura_headline1	0			bitmaps/00346_catalog_pura_headline1.png
346	bitmap	catalog_pura_headline1	0	512	BITD	raw_chunks/00346_catalog_pura_headline1_512_BITD.bin
348	bitmap	catalog_plasto_headline1	0			bitmaps/00348_catalog_plasto_headline1.png
348	bitmap	catalog_plasto_headline1	0	508	BITD	raw_chunks/00348_catalog_plasto_headline1_508_BITD.bin
349	bitmap	catalog_candy_headline1	0			bitmaps/00349_catalog_candy_headline1.png
349	bitmap	catalog_candy_headline1	0	506	BITD	raw_chunks/00349_catalog_candy_headline1_506_BITD.bin
350	bitmap	catalog_area_headline1	0			bitmaps/00350_catalog_area_headline1.png
350	bitmap	catalog_area_headline1	0	504	BITD	raw_chunks/00350_catalog_area_headline1_504_BITD.bin
351	bitmap	catalog_plants_headline1	0			bitmaps/00351_catalog_plants_headline1.png
351	bitmap	catalog_plants_headline1	0	502	BITD	raw_chunks/00351_catalog_plants_headline1_502_BITD.bin
