index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	44	0	3	#2C0003
3	135	49	61	#87313D
4	96	36	47	#60242F
5	69	26	34	#451A22
6	189	186	188	#BDBABC
7	86	85	86	#565556
8	228	227	233	#E4E3E9
9	151	151	253	#9797FD
10	165	165	212	#A5A5D4
11	117	117	136	#757588
12	237	237	255	#EDEDFF
13	160	160	164	#A0A0A4
14	234	234	235	#EAEAEB
15	221	221	222	#DDDDDE
16	215	215	216	#D7D7D8
17	139	140	151	#8B8C97
18	169	170	182	#A9AAB6
19	195	196	205	#C3C4CD
20	132	133	138	#84858A
21	5	7	12	#05070C
22	204	205	207	#CCCDCF
23	105	118	137	#697689
24	106	120	139	#6A788B
25	150	169	195	#96A9C3
26	161	181	209	#A1B5D1
27	113	127	146	#717F92
28	149	163	180	#95A3B4
29	44	53	63	#2C353F
30	133	154	177	#859AB1
31	152	153	154	#98999A
32	100	127	152	#647F98
33	117	142	164	#758EA4
34	69	91	108	#455B6C
35	87	114	135	#577287
36	57	72	83	#394853
37	112	136	154	#70889A
38	126	148	165	#7E94A5
39	141	163	180	#8DA3B4
40	164	182	196	#A4B6C4
41	15	64	97	#0F4061
42	27	38	46	#1B262E
43	138	151	159	#8A979F
44	183	193	199	#B7C1C7
45	166	178	185	#A6B2B9
46	57	169	225	#39A9E1
47	36	103	139	#24678B
48	57	130	166	#3982A6
49	84	148	180	#5494B4
50	234	236	237	#EAECED
51	113	170	196	#71AAC4
52	52	94	111	#345E6F
53	103	148	167	#6794A7
54	97	208	251	#61D0FB
55	172	211	221	#ACD3DD
56	87	165	179	#57A5B3
57	91	112	115	#5B7073
58	222	232	233	#DEE8E9
59	76	93	94	#4C5D5E
60	150	183	185	#96B7B9
61	128	156	158	#809C9E
62	108	132	133	#6C8485
63	141	172	173	#8DACAD
64	127	155	156	#7F9B9C
65	101	123	124	#657B7C
66	100	178	179	#64B2B3
67	101	151	151	#659797
68	176	255	255	#B0FFFF
69	16	18	18	#101212
70	34	38	38	#222626
71	175	177	177	#AFB1B1
72	148	179	174	#94B3AE
73	192	214	210	#C0D6D2
74	194	210	206	#C2D2CE
75	245	253	250	#F5FDFA
76	0	102	51	#006633
77	40	110	43	#286E2B
78	0	158	0	#009E00
79	0	107	0	#006B00
80	0	68	0	#004400
81	26	75	26	#1A4B1A
82	17	40	17	#112811
83	25	58	25	#193A19
84	51	102	51	#336633
85	42	68	42	#2A442A
86	155	255	151	#9BFF97
87	10	49	5	#0A3105
88	69	146	51	#459233
89	28	79	15	#1C4F0F
90	49	101	35	#316523
91	112	206	86	#70CE56
92	23	91	0	#175B00
93	8	24	1	#081801
94	113	152	94	#71985E
95	79	106	66	#4F6A42
96	71	166	19	#47A613
97	68	147	28	#44931C
98	88	163	48	#58A330
99	30	74	1	#1E4A01
100	51	122	0	#337A00
101	56	113	11	#38710B
102	86	134	47	#56862F
103	111	152	78	#6F984E
104	132	167	104	#84A768
105	51	102	0	#336600
106	102	153	51	#669933
107	152	211	94	#98D35E
108	4	5	3	#040503
109	68	69	67	#444543
110	177	178	88	#B1B258
111	255	255	0	#FFFF00
112	255	255	204	#FFFFCC
113	61	61	60	#3D3D3C
114	171	171	170	#ABABAA
115	252	241	52	#FCF134
116	249	241	141	#F9F18D
117	132	120	21	#847815
118	163	143	3	#A38F03
119	241	207	21	#F1CF15
120	250	220	55	#FADC37
121	189	158	4	#BD9E04
122	215	184	20	#D7B814
123	254	204	0	#FECC00
124	237	189	0	#EDBD00
125	161	129	0	#A18100
126	255	204	51	#FFCC33
127	80	66	19	#504213
128	210	155	0	#D29B00
129	251	200	63	#FBC83F
130	244	219	154	#F4DB9A
131	227	204	143	#E3CC8F
132	163	107	0	#A36B00
133	153	102	0	#996600
134	163	108	2	#A36C02
135	105	73	10	#69490A
136	251	204	106	#FBCC6A
137	176	153	109	#B0996D
138	113	110	104	#716E68
139	216	212	204	#D8D4CC
140	137	89	5	#895905
141	190	124	10	#BE7C0A
142	192	126	11	#C07E0B
143	200	131	12	#C8830C
144	168	111	12	#A86F0C
145	213	155	55	#D59B37
146	242	183	80	#F2B750
147	114	98	70	#726246
148	179	110	1	#B36E01
149	170	110	7	#AA6E07
150	211	138	13	#D38A0D
151	10	8	5	#0A0805
152	199	166	116	#C7A674
153	51	49	46	#33312E
154	60	58	55	#3C3A37
155	255	149	0	#FF9500
156	216	123	0	#D87B00
157	202	129	28	#CA811C
158	144	121	89	#907959
159	198	178	150	#C6B296
160	77	43	2	#4D2B02
161	186	117	30	#BA751E
162	165	116	54	#A57436
163	183	95	0	#B75F00
164	122	63	0	#7A3F00
165	180	111	37	#B46F25
166	168	104	35	#A86823
167	141	92	35	#8D5C23
168	159	144	127	#9F907F
169	204	102	0	#CC6600
170	196	101	0	#C46500
171	102	51	0	#663300
172	193	111	27	#C16F1B
173	113	68	23	#714417
174	196	126	52	#C47E34
175	183	118	49	#B77631
176	124	79	34	#7C4F22
177	137	98	59	#89623B
178	66	51	36	#423324
179	248	195	141	#F8C38D
180	255	204	154	#FFCC9A
181	70	67	64	#464340
182	107	103	99	#6B6763
183	166	161	156	#A6A19C
184	216	103	0	#D86700
185	180	86	0	#B45600
186	168	80	0	#A85000
187	131	62	0	#833E00
188	118	58	0	#763A00
189	113	54	0	#713600
190	99	47	0	#632F00
191	245	144	52	#F59034
192	173	106	45	#AD6A2D
193	173	81	0	#AD5100
194	171	80	0	#AB5000
195	163	75	0	#A34B00
196	144	65	0	#904100
197	48	34	23	#302217
198	255	102	0	#FF6600
199	113	45	0	#712D00
200	53	22	2	#351602
201	226	84	9	#E25409
202	108	73	57	#6C4939
203	181	93	59	#B55D3B
204	120	40	16	#782810
205	168	34	18	#A82212
206	87	25	17	#571911
207	140	17	6	#8C1106
208	81	9	5	#510905
209	201	56	47	#C9382F
210	244	35	29	#F4231D
211	17	0	0	#110000
212	12	0	0	#0C0000
213	245	103	100	#F56764
214	255	153	153	#FF9999
215	236	216	216	#ECD8D8
216	28	27	27	#1C1B1B
217	253	252	252	#FDFCFC
218	222	221	221	#DEDDDD
219	254	254	254	#FEFEFE
220	250	250	250	#FAFAFA
