member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
61	bitmap	mes_3_down	0			bitmaps/00061_mes_3_down.png
61	bitmap	mes_3_down	0	390	BITD	raw_chunks/00061_mes_3_down_390_BITD.bin
94	bitmap	mes_3_up	0			bitmaps/00094_mes_3_up.png
94	bitmap	mes_3_up	0	398	BITD	raw_chunks/00094_mes_3_up_398_BITD.bin
95	bitmap	catalog_easter_headline1	0			bitmaps/00095_catalog_easter_headline1.png
95	bitmap	catalog_easter_headline1	0	431	BITD	raw_chunks/00095_catalog_easter_headline1_431_BITD.bin
96	bitmap	mes_1_up	0			bitmaps/00096_mes_1_up.png
96	bitmap	mes_1_up	0	394	BITD	raw_chunks/00096_mes_1_up_394_BITD.bin
105	bitmap	catalog_iced_headline1	0			bitmaps/00105_catalog_iced_headline1.png
105	bitmap	catalog_iced_headline1	0	467	BITD	raw_chunks/00105_catalog_iced_headline1_467_BITD.bin
106	bitmap	catalog_xmas_headline1	0			bitmaps/00106_catalog_xmas_headline1.png
106	bitmap	catalog_xmas_headline1	0	427	BITD	raw_chunks/00106_catalog_xmas_headline1_427_BITD.bin
107	bitmap	catalog_love_headline1	0			bitmaps/00107_catalog_love_headline1.png
107	bitmap	catalog_love_headline1	0	425	BITD	raw_chunks/00107_catalog_love_headline1_425_BITD.bin
114	bitmap	catalog_pura_headline1	0			bitmaps/00114_catalog_pura_headline1.png
114	bitmap	catalog_pura_headline1	0	455	BITD	raw_chunks/00114_catalog_pura_headline1_455_BITD.bin
118	bitmap	catalog_gifts_headline1	0			bitmaps/00118_catalog_gifts_headline1.png
118	bitmap	catalog_gifts_headline1	0	435	BITD	raw_chunks/00118_catalog_gifts_headline1_435_BITD.bin
123	bitmap	catalog_gallery_headline1	0			bitmaps/00123_catalog_gallery_headline1.png
123	bitmap	catalog_gallery_headline1	0	471	BITD	raw_chunks/00123_catalog_gallery_headline1_471_BITD.bin
128	bitmap	catalog_pet_headline1	0			bitmaps/00128_catalog_pet_headline1.png
128	bitmap	catalog_pet_headline1	0	479	BITD	raw_chunks/00128_catalog_pet_headline1_479_BITD.bin
129	bitmap	catalog_pet_headline2	0			bitmaps/00129_catalog_pet_headline2.png
129	bitmap	catalog_pet_headline2	0	481	BITD	raw_chunks/00129_catalog_pet_headline2_481_BITD.bin
130	bitmap	catalog_halloween_headline1	0			bitmaps/00130_catalog_halloween_headline1.png
130	bitmap	catalog_halloween_headline1	0	477	BITD	raw_chunks/00130_catalog_halloween_headline1_477_BITD.bin
131	bitmap	catalog_trophies_headline1	0			bitmaps/00131_catalog_trophies_headline1.png
131	bitmap	catalog_trophies_headline1	0	473	BITD	raw_chunks/00131_catalog_trophies_headline1_473_BITD.bin
