index	r	g	b	hex
0	255	255	255	#FFFFFF
1	131	131	131	#838383
2	93	93	93	#5D5D5D
3	54	54	54	#363636
4	53	53	53	#353535
5	52	52	52	#343434
6	50	50	50	#323232
7	49	49	49	#313131
8	48	48	48	#303030
9	47	47	47	#2F2F2F
10	46	46	46	#2E2E2E
11	45	45	45	#2D2D2D
12	44	44	44	#2C2C2C
13	42	42	42	#2A2A2A
14	41	41	41	#292929
15	40	40	40	#282828
16	5	5	5	#050505
17	67	67	67	#434343
18	51	51	51	#333333
19	36	36	36	#242424
20	58	58	58	#3A3A3A
21	45	45	45	#2D2D2D
22	32	32	32	#202020
23	5	5	5	#050505
24	93	93	93	#5D5D5D
25	70	70	70	#464646
26	47	47	47	#2F2F2F
27	64	64	64	#404040
28	56	56	56	#383838
29	48	48	48	#303030
30	5	5	5	#050505
31	73	73	73	#494949
32	248	248	248	#F8F8F8
33	248	248	248	#F8F8F8
34	248	248	248	#F8F8F8
35	248	248	248	#F8F8F8
36	196	196	196	#C4C4C4
37	157	157	157	#9D9D9D
38	112	112	112	#707070
39	196	196	196	#C4C4C4
40	204	204	204	#CCCCCC
41	196	196	196	#C4C4C4
42	250	250	250	#FAFAFA
43	196	196	196	#C4C4C4
44	5	5	5	#050505
45	5	5	5	#050505
46	5	5	5	#050505
47	5	5	5	#050505
48	5	5	5	#050505
49	5	5	5	#050505
50	5	5	5	#050505
51	5	5	5	#050505
52	5	5	5	#050505
53	5	5	5	#050505
54	5	5	5	#050505
55	5	5	5	#050505
56	5	5	5	#050505
57	5	5	5	#050505
58	5	5	5	#050505
59	5	5	5	#050505
60	5	5	5	#050505
61	5	5	5	#050505
62	5	5	5	#050505
63	5	5	5	#050505
64	222	222	222	#DEDEDE
65	221	221	221	#DDDDDD
66	220	220	220	#DCDCDC
67	219	219	219	#DBDBDB
68	5	5	5	#050505
69	5	5	5	#050505
70	5	5	5	#050505
71	5	5	5	#050505
72	5	5	5	#050505
73	5	5	5	#050505
74	5	5	5	#050505
75	5	5	5	#050505
76	5	5	5	#050505
77	5	5	5	#050505
78	5	5	5	#050505
79	5	5	5	#050505
80	5	5	5	#050505
81	5	5	5	#050505
82	5	5	5	#050505
83	5	5	5	#050505
84	5	5	5	#050505
85	5	5	5	#050505
86	5	5	5	#050505
87	5	5	5	#050505
88	5	5	5	#050505
89	5	5	5	#050505
90	5	5	5	#050505
91	5	5	5	#050505
92	5	5	5	#050505
93	5	5	5	#050505
94	5	5	5	#050505
95	5	5	5	#050505
96	186	186	186	#BABABA
97	184	184	184	#B8B8B8
98	183	183	183	#B7B7B7
99	182	182	182	#B6B6B6
100	5	5	5	#050505
101	5	5	5	#050505
102	5	5	5	#050505
103	5	5	5	#050505
104	5	5	5	#050505
105	5	5	5	#050505
106	5	5	5	#050505
107	5	5	5	#050505
108	5	5	5	#050505
109	5	5	5	#050505
110	5	5	5	#050505
111	5	5	5	#050505
112	5	5	5	#050505
113	5	5	5	#050505
114	5	5	5	#050505
115	5	5	5	#050505
116	5	5	5	#050505
117	5	5	5	#050505
118	5	5	5	#050505
119	5	5	5	#050505
120	5	5	5	#050505
121	5	5	5	#050505
122	5	5	5	#050505
123	5	5	5	#050505
124	5	5	5	#050505
125	5	5	5	#050505
126	5	5	5	#050505
127	5	5	5	#050505
128	149	149	149	#959595
129	148	148	148	#949494
130	147	147	147	#939393
131	145	145	145	#919191
132	5	5	5	#050505
133	5	5	5	#050505
134	5	5	5	#050505
135	5	5	5	#050505
136	5	5	5	#050505
137	5	5	5	#050505
138	5	5	5	#050505
139	5	5	5	#050505
140	5	5	5	#050505
141	5	5	5	#050505
142	5	5	5	#050505
143	5	5	5	#050505
144	5	5	5	#050505
145	5	5	5	#050505
146	5	5	5	#050505
147	5	5	5	#050505
148	5	5	5	#050505
149	5	5	5	#050505
150	5	5	5	#050505
151	5	5	5	#050505
152	5	5	5	#050505
153	5	5	5	#050505
154	5	5	5	#050505
155	5	5	5	#050505
156	5	5	5	#050505
157	5	5	5	#050505
158	5	5	5	#050505
159	5	5	5	#050505
160	206	206	206	#CECECE
161	205	205	205	#CDCDCD
162	204	204	204	#CCCCCC
163	202	202	202	#CACACA
164	5	5	5	#050505
165	5	5	5	#050505
166	5	5	5	#050505
167	5	5	5	#050505
168	5	5	5	#050505
169	5	5	5	#050505
170	5	5	5	#050505
171	5	5	5	#050505
172	5	5	5	#050505
173	5	5	5	#050505
174	5	5	5	#050505
175	5	5	5	#050505
176	5	5	5	#050505
177	5	5	5	#050505
178	5	5	5	#050505
179	5	5	5	#050505
180	5	5	5	#050505
181	5	5	5	#050505
182	5	5	5	#050505
183	5	5	5	#050505
184	5	5	5	#050505
185	5	5	5	#050505
186	5	5	5	#050505
187	5	5	5	#050505
188	5	5	5	#050505
189	5	5	5	#050505
190	5	5	5	#050505
191	5	5	5	#050505
192	75	75	75	#4B4B4B
193	74	74	74	#4A4A4A
194	73	73	73	#494949
195	72	72	72	#484848
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	0	0	0	#000000
247	0	0	0	#000000
248	0	0	0	#000000
249	0	0	0	#000000
250	0	0	0	#000000
251	173	173	173	#ADADAD
252	217	217	217	#D9D9D9
253	209	104	84	#D16854
254	209	0	0	#D10000
255	0	0	0	#000000
