index	r	g	b	hex
0	255	255	255	#FFFFFF
1	96	96	96	#606060
2	219	219	219	#DBDBDB
3	157	157	157	#9D9D9D
4	126	126	126	#7E7E7E
5	82	82	82	#525252
6	54	54	54	#363636
7	126	126	126	#7E7E7E
8	90	90	90	#5A5A5A
9	54	54	54	#363636
10	114	114	114	#727272
11	66	66	66	#424242
12	113	113	113	#717171
13	114	114	114	#727272
14	66	66	66	#424242
15	113	113	113	#717171
16	11	11	11	#0B0B0B
17	237	237	237	#EDEDED
18	174	174	174	#AEAEAE
19	113	113	113	#717171
20	184	184	184	#B8B8B8
21	128	128	128	#808080
22	72	72	72	#484848
23	11	11	11	#0B0B0B
24	242	242	242	#F2F2F2
25	180	180	180	#B4B4B4
26	119	119	119	#777777
27	137	137	137	#898989
28	75	75	75	#4B4B4B
29	41	41	41	#292929
30	11	11	11	#0B0B0B
31	139	139	139	#8B8B8B
32	96	96	96	#606060
33	96	96	96	#606060
34	96	96	96	#606060
35	96	96	96	#606060
36	71	71	71	#474747
37	157	157	157	#9D9D9D
38	114	114	114	#727272
39	71	71	71	#474747
40	25	25	25	#191919
41	71	71	71	#474747
42	96	96	96	#606060
43	222	222	222	#DEDEDE
44	11	11	11	#0B0B0B
45	11	11	11	#0B0B0B
46	11	11	11	#0B0B0B
47	11	11	11	#0B0B0B
48	11	11	11	#0B0B0B
49	11	11	11	#0B0B0B
50	11	11	11	#0B0B0B
51	11	11	11	#0B0B0B
52	11	11	11	#0B0B0B
53	11	11	11	#0B0B0B
54	11	11	11	#0B0B0B
55	11	11	11	#0B0B0B
56	11	11	11	#0B0B0B
57	11	11	11	#0B0B0B
58	11	11	11	#0B0B0B
59	11	11	11	#0B0B0B
60	11	11	11	#0B0B0B
61	11	11	11	#0B0B0B
62	11	11	11	#0B0B0B
63	11	11	11	#0B0B0B
64	72	72	72	#484848
65	72	72	72	#484848
66	72	72	72	#484848
67	72	72	72	#484848
68	11	11	11	#0B0B0B
69	11	11	11	#0B0B0B
70	11	11	11	#0B0B0B
71	11	11	11	#0B0B0B
72	11	11	11	#0B0B0B
73	11	11	11	#0B0B0B
74	11	11	11	#0B0B0B
75	11	11	11	#0B0B0B
76	11	11	11	#0B0B0B
77	11	11	11	#0B0B0B
78	11	11	11	#0B0B0B
79	11	11	11	#0B0B0B
80	11	11	11	#0B0B0B
81	11	11	11	#0B0B0B
82	11	11	11	#0B0B0B
83	11	11	11	#0B0B0B
84	11	11	11	#0B0B0B
85	11	11	11	#0B0B0B
86	11	11	11	#0B0B0B
87	11	11	11	#0B0B0B
88	11	11	11	#0B0B0B
89	11	11	11	#0B0B0B
90	11	11	11	#0B0B0B
91	11	11	11	#0B0B0B
92	11	11	11	#0B0B0B
93	11	11	11	#0B0B0B
94	11	11	11	#0B0B0B
95	11	11	11	#0B0B0B
96	221	221	221	#DDDDDD
97	221	221	221	#DDDDDD
98	221	221	221	#DDDDDD
99	221	221	221	#DDDDDD
100	11	11	11	#0B0B0B
101	11	11	11	#0B0B0B
102	11	11	11	#0B0B0B
103	11	11	11	#0B0B0B
104	11	11	11	#0B0B0B
105	11	11	11	#0B0B0B
106	11	11	11	#0B0B0B
107	11	11	11	#0B0B0B
108	11	11	11	#0B0B0B
109	11	11	11	#0B0B0B
110	11	11	11	#0B0B0B
111	11	11	11	#0B0B0B
112	11	11	11	#0B0B0B
113	11	11	11	#0B0B0B
114	11	11	11	#0B0B0B
115	11	11	11	#0B0B0B
116	11	11	11	#0B0B0B
117	11	11	11	#0B0B0B
118	11	11	11	#0B0B0B
119	11	11	11	#0B0B0B
120	11	11	11	#0B0B0B
121	11	11	11	#0B0B0B
122	11	11	11	#0B0B0B
123	11	11	11	#0B0B0B
124	11	11	11	#0B0B0B
125	11	11	11	#0B0B0B
126	11	11	11	#0B0B0B
127	11	11	11	#0B0B0B
128	157	157	157	#9D9D9D
129	157	157	157	#9D9D9D
130	157	157	157	#9D9D9D
131	157	157	157	#9D9D9D
132	11	11	11	#0B0B0B
133	11	11	11	#0B0B0B
134	11	11	11	#0B0B0B
135	11	11	11	#0B0B0B
136	11	11	11	#0B0B0B
137	11	11	11	#0B0B0B
138	11	11	11	#0B0B0B
139	11	11	11	#0B0B0B
140	11	11	11	#0B0B0B
141	11	11	11	#0B0B0B
142	11	11	11	#0B0B0B
143	11	11	11	#0B0B0B
144	11	11	11	#0B0B0B
145	11	11	11	#0B0B0B
146	11	11	11	#0B0B0B
147	11	11	11	#0B0B0B
148	11	11	11	#0B0B0B
149	11	11	11	#0B0B0B
150	11	11	11	#0B0B0B
151	11	11	11	#0B0B0B
152	11	11	11	#0B0B0B
153	11	11	11	#0B0B0B
154	11	11	11	#0B0B0B
155	11	11	11	#0B0B0B
156	11	11	11	#0B0B0B
157	11	11	11	#0B0B0B
158	11	11	11	#0B0B0B
159	11	11	11	#0B0B0B
160	25	25	25	#191919
161	25	25	25	#191919
162	25	25	25	#191919
163	25	25	25	#191919
164	11	11	11	#0B0B0B
165	11	11	11	#0B0B0B
166	11	11	11	#0B0B0B
167	11	11	11	#0B0B0B
168	11	11	11	#0B0B0B
169	11	11	11	#0B0B0B
170	11	11	11	#0B0B0B
171	11	11	11	#0B0B0B
172	11	11	11	#0B0B0B
173	11	11	11	#0B0B0B
174	11	11	11	#0B0B0B
175	11	11	11	#0B0B0B
176	11	11	11	#0B0B0B
177	11	11	11	#0B0B0B
178	11	11	11	#0B0B0B
179	11	11	11	#0B0B0B
180	11	11	11	#0B0B0B
181	11	11	11	#0B0B0B
182	11	11	11	#0B0B0B
183	11	11	11	#0B0B0B
184	11	11	11	#0B0B0B
185	11	11	11	#0B0B0B
186	11	11	11	#0B0B0B
187	11	11	11	#0B0B0B
188	11	11	11	#0B0B0B
189	11	11	11	#0B0B0B
190	11	11	11	#0B0B0B
191	11	11	11	#0B0B0B
192	114	114	114	#727272
193	114	114	114	#727272
194	114	114	114	#727272
195	114	114	114	#727272
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
