index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	200	#FFFFC8
2	255	218	22	#FFDA16
3	255	204	0	#FFCC00
4	255	203	65	#FFCB41
5	204	153	0	#CC9900
6	218	169	22	#DAA916
7	255	211	101	#FFD365
8	153	102	0	#996600
9	229	158	15	#E59E0F
10	169	121	22	#A97916
11	94	81	56	#5E5138
12	102	89	63	#66593F
13	71	62	44	#473E2C
14	123	80	5	#7B5005
15	201	164	105	#C9A469
16	175	131	73	#AF8349
17	227	119	0	#E37700
18	102	51	0	#663300
19	121	71	22	#794716
20	127	85	46	#7F552E
21	255	213	182	#FFD5B6
22	235	235	235	#EBEBEB
23	175	175	175	#AFAFAF
24	121	121	121	#797979
25	84	76	59	#544C3B
26	90	82	66	#5A5242
27	105	93	70	#695D46
28	110	99	76	#6E634C
29	205	185	140	#CDB98C
30	0	0	0	#000000
31	0	0	0	#000000
32	0	0	0	#000000
33	0	0	0	#000000
34	0	0	0	#000000
35	0	0	0	#000000
36	0	0	0	#000000
37	0	0	0	#000000
38	0	0	0	#000000
39	0	0	0	#000000
40	0	0	0	#000000
41	0	0	0	#000000
42	0	0	0	#000000
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
