index	r	g	b	hex
0	255	255	255	#FFFFFF
1	128	35	36	#802324
2	146	41	42	#92292A
3	116	33	34	#742122
4	124	35	38	#7C2326
5	128	37	41	#802529
6	161	47	51	#A12F33
7	141	41	44	#8D292C
8	212	205	227	#D4CDE3
9	144	139	159	#908B9F
10	4	4	37	#040425
11	102	102	153	#666699
12	65	80	113	#415071
13	79	95	129	#4F5F81
14	96	113	149	#607195
15	111	128	163	#6F80A3
16	51	70	94	#33465E
17	250	253	255	#FAFDFF
18	208	230	243	#D0E6F3
19	239	248	253	#EFF8FD
20	153	172	178	#99ACB2
21	136	165	115	#88A573
22	36	78	4	#244E04
23	51	100	14	#33640E
24	45	86	12	#2D560C
25	57	108	17	#396C11
26	43	77	17	#2B4D11
27	49	86	20	#315614
28	138	166	116	#8AA674
29	133	152	118	#859876
30	132	151	117	#849775
31	196	211	184	#C4D3B8
32	194	205	185	#C2CDB9
33	56	103	14	#38670E
34	57	105	15	#39690F
35	50	91	13	#325B0D
36	50	93	14	#325D0E
37	62	109	21	#3E6D15
38	54	94	18	#365E12
39	38	66	14	#26420E
40	46	79	17	#2E4F11
41	48	81	18	#305112
42	43	74	17	#2B4A11
43	52	84	23	#345417
44	138	165	115	#8AA573
45	133	152	117	#859875
46	49	89	12	#31590C
47	40	68	14	#28440E
48	42	70	15	#2A460F
49	46	73	20	#2E4914
50	74	105	41	#4A6929
51	200	211	187	#C8D3BB
52	198	208	186	#C6D0BA
53	86	134	23	#568617
54	64	96	23	#406017
55	72	107	27	#486B1B
56	108	152	51	#6C9833
57	90	122	49	#5A7A31
58	134	148	117	#869475
59	202	215	185	#CAD7B9
60	211	224	194	#D3E0C2
61	68	104	17	#446811
62	78	121	20	#4E7914
63	76	116	20	#4C7414
64	56	83	20	#385314
65	63	92	23	#3F5C17
66	95	131	44	#5F832C
67	79	105	42	#4F692A
68	205	219	186	#CDDBBA
69	206	215	194	#CED7C2
70	172	182	157	#ACB69D
71	170	177	158	#AAB19E
72	177	186	158	#B1BA9E
73	180	189	159	#B4BD9F
74	185	193	166	#B9C1A6
75	176	182	160	#B0B6A0
76	174	180	159	#AEB49F
77	181	186	166	#B5BAA6
78	1	1	0	#010100
79	57	57	18	#393912
80	169	143	20	#A98F14
