index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	0	0	0	#000000
3	0	0	0	#000000
4	0	0	0	#000000
5	0	0	0	#000000
6	0	0	0	#000000
7	0	0	0	#000000
8	0	0	0	#000000
9	0	0	0	#000000
10	0	0	0	#000000
11	0	0	0	#000000
12	0	0	0	#000000
13	0	0	0	#000000
14	0	0	0	#000000
15	0	0	0	#000000
16	0	0	0	#000000
17	0	0	0	#000000
18	0	0	0	#000000
19	0	0	0	#000000
20	0	0	0	#000000
21	0	0	0	#000000
22	0	0	0	#000000
23	0	0	0	#000000
24	0	0	0	#000000
25	0	0	0	#000000
26	0	0	0	#000000
27	0	0	0	#000000
28	0	0	0	#000000
29	0	0	0	#000000
30	0	0	0	#000000
31	0	0	0	#000000
32	0	0	0	#000000
33	0	0	0	#000000
34	0	0	0	#000000
35	0	0	0	#000000
36	0	0	0	#000000
37	0	0	0	#000000
38	0	0	0	#000000
39	0	0	0	#000000
40	0	0	0	#000000
41	0	0	0	#000000
42	0	0	0	#000000
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	130	20	3	#821403
111	130	19	12	#82130C
112	130	18	21	#821215
113	130	17	29	#82111D
114	130	16	38	#821026
115	130	15	47	#820F2F
116	130	14	55	#820E37
117	130	13	64	#820D40
118	129	12	73	#810C49
119	129	12	81	#810C51
120	129	11	90	#810B5A
121	129	10	98	#810A62
122	129	9	107	#81096B
123	118	8	98	#760862
124	113	7	99	#710763
125	108	7	99	#6C0763
126	102	6	99	#660663
127	97	6	100	#610664
128	92	5	100	#5C0564
129	86	4	101	#560465
130	81	4	101	#510465
131	75	3	101	#4B0365
132	70	3	102	#460366
133	65	2	102	#410266
134	59	2	103	#3B0267
135	54	1	103	#360167
136	49	1	104	#310168
137	43	0	104	#2B0068
138	38	0	104	#260068
139	38	0	104	#260068
140	37	0	103	#250067
141	37	0	102	#250066
142	37	0	101	#250065
143	36	0	100	#240064
144	36	0	99	#240063
145	36	0	98	#240062
146	35	0	97	#230061
147	35	0	96	#230060
148	35	0	95	#23005F
149	34	0	95	#22005F
150	34	0	94	#22005E
151	34	0	93	#22005D
152	33	0	92	#21005C
153	33	0	91	#21005B
154	33	0	90	#21005A
155	32	0	89	#200059
156	32	0	88	#200058
157	32	0	87	#200057
158	31	0	87	#1F0057
159	31	0	86	#1F0056
160	31	0	85	#1F0055
161	30	0	84	#1E0054
162	30	0	83	#1E0053
163	30	0	82	#1E0052
164	29	0	81	#1D0051
165	29	0	80	#1D0050
166	29	0	79	#1D004F
167	28	0	78	#1C004E
168	28	0	78	#1C004E
169	28	0	77	#1C004D
170	27	0	76	#1B004C
171	27	0	75	#1B004B
172	27	0	74	#1B004A
173	26	0	73	#1A0049
174	26	0	72	#1A0048
175	26	0	71	#1A0047
176	25	0	70	#190046
177	25	0	69	#190045
178	25	0	69	#190045
179	24	0	68	#180044
180	24	0	67	#180043
181	24	0	66	#180042
182	24	0	65	#180041
183	23	0	64	#170040
184	23	0	63	#17003F
185	23	0	62	#17003E
186	22	0	61	#16003D
187	22	0	61	#16003D
188	22	0	60	#16003C
189	21	0	59	#15003B
190	21	0	58	#15003A
191	21	0	57	#150039
192	20	0	56	#140038
193	20	0	55	#140037
194	20	0	54	#140036
195	19	0	53	#130035
196	19	0	52	#130034
197	19	0	52	#130034
198	18	0	51	#120033
199	18	0	50	#120032
200	18	0	49	#120031
201	17	0	48	#110030
202	17	0	47	#11002F
203	17	0	46	#11002E
204	16	0	45	#10002D
205	16	0	44	#10002C
206	16	0	43	#10002B
207	15	0	43	#0F002B
208	15	0	42	#0F002A
209	15	0	41	#0F0029
210	14	0	40	#0E0028
211	14	0	39	#0E0027
212	14	0	38	#0E0026
213	13	0	37	#0D0025
214	13	0	36	#0D0024
215	13	0	35	#0D0023
216	12	0	34	#0C0022
217	12	0	34	#0C0022
218	12	0	33	#0C0021
219	11	0	32	#0B0020
220	11	0	31	#0B001F
221	11	0	30	#0B001E
222	10	0	29	#0A001D
223	10	0	28	#0A001C
224	10	0	27	#0A001B
225	9	0	26	#09001A
226	9	0	26	#09001A
227	9	0	25	#090019
228	8	0	24	#080018
229	8	0	23	#080017
230	8	0	22	#080016
231	7	0	21	#070015
232	7	0	20	#070014
233	7	0	19	#070013
234	6	0	18	#060012
235	6	0	17	#060011
236	6	0	17	#060011
237	5	0	16	#050010
238	5	0	15	#05000F
239	5	0	14	#05000E
240	4	0	13	#04000D
241	4	0	12	#04000C
242	4	0	11	#04000B
243	3	0	10	#03000A
244	3	0	9	#030009
245	3	0	8	#030008
246	2	0	8	#020008
247	2	0	7	#020007
248	2	0	6	#020006
249	1	0	5	#010005
250	1	0	4	#010004
251	1	0	3	#010003
252	0	0	2	#000002
253	0	0	1	#000001
254	0	0	0	#000000
255	0	0	0	#000000
