index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	0	0	0	#000000
3	0	0	0	#000000
4	0	0	0	#000000
5	0	0	0	#000000
6	0	0	0	#000000
7	0	0	0	#000000
8	0	0	0	#000000
9	0	0	0	#000000
10	0	0	0	#000000
11	0	0	0	#000000
12	0	0	0	#000000
13	0	0	0	#000000
14	0	0	0	#000000
15	0	0	0	#000000
16	0	0	0	#000000
17	0	0	0	#000000
18	0	0	0	#000000
19	0	0	0	#000000
20	0	0	0	#000000
21	0	0	0	#000000
22	0	0	0	#000000
23	0	0	0	#000000
24	0	0	0	#000000
25	0	0	0	#000000
26	0	0	0	#000000
27	0	0	0	#000000
28	0	0	0	#000000
29	0	0	0	#000000
30	0	0	0	#000000
31	0	0	0	#000000
32	0	0	0	#000000
33	0	0	0	#000000
34	0	0	0	#000000
35	0	0	0	#000000
36	0	0	0	#000000
37	0	0	0	#000000
38	0	0	0	#000000
39	0	0	0	#000000
40	0	0	0	#000000
41	0	0	0	#000000
42	0	0	0	#000000
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	159	147	25	#9F9319
111	157	146	25	#9D9219
112	156	145	25	#9C9119
113	155	144	25	#9B9019
114	154	143	25	#9A8F19
115	153	142	24	#998E18
116	152	140	24	#988C18
117	151	139	24	#978B18
118	150	138	24	#968A18
119	149	137	24	#958918
120	148	136	24	#948818
121	146	135	23	#928717
122	145	134	23	#918617
123	144	133	23	#908517
124	143	132	23	#8F8417
125	142	131	23	#8E8317
126	141	130	23	#8D8217
127	140	129	22	#8C8116
128	139	128	22	#8B8016
129	138	127	22	#8A7F16
130	137	126	22	#897E16
131	136	125	22	#887D16
132	134	124	21	#867C15
133	133	123	21	#857B15
134	132	122	21	#847A15
135	131	121	21	#837915
136	130	120	21	#827815
137	129	119	21	#817715
138	128	118	20	#807614
139	127	117	20	#7F7514
140	126	116	20	#7E7414
141	125	115	20	#7D7314
142	123	114	20	#7B7214
143	122	113	19	#7A7113
144	121	112	19	#797013
145	120	111	19	#786F13
146	119	110	19	#776E13
147	118	109	19	#766D13
148	117	108	19	#756C13
149	116	107	18	#746B12
150	115	106	18	#736A12
151	114	105	18	#726912
152	112	104	18	#706812
153	111	103	18	#6F6712
154	110	102	18	#6E6612
155	109	101	17	#6D6511
156	108	100	17	#6C6411
157	107	99	17	#6B6311
158	106	98	17	#6A6211
159	105	97	17	#696111
160	104	96	16	#686010
161	103	95	16	#675F10
162	102	94	16	#665E10
163	100	93	16	#645D10
164	99	92	16	#635C10
165	98	91	16	#625B10
166	97	90	15	#615A0F
167	96	89	15	#60590F
168	95	88	15	#5F580F
169	94	87	15	#5E570F
170	93	86	15	#5D560F
171	92	85	14	#5C550E
172	91	84	14	#5B540E
173	89	83	14	#59530E
174	88	82	14	#58520E
175	87	81	14	#57510E
176	86	80	14	#56500E
177	85	79	13	#554F0D
178	84	78	13	#544E0D
179	83	77	13	#534D0D
180	82	76	13	#524C0D
181	81	75	13	#514B0D
182	80	74	13	#504A0D
183	78	73	12	#4E490C
184	77	72	12	#4D480C
185	76	71	12	#4C470C
186	75	69	12	#4B450C
187	74	68	12	#4A440C
188	73	67	11	#49430B
189	72	66	11	#48420B
190	71	65	11	#47410B
191	70	64	11	#46400B
192	69	63	11	#453F0B
193	68	62	11	#443E0B
194	66	61	10	#423D0A
195	65	60	10	#413C0A
196	64	59	10	#403B0A
197	63	58	10	#3F3A0A
198	62	57	10	#3E390A
199	61	56	9	#3D3809
200	60	55	9	#3C3709
201	59	54	9	#3B3609
202	58	53	9	#3A3509
203	57	52	9	#393409
204	55	51	9	#373309
205	54	50	8	#363208
206	53	49	8	#353108
207	52	48	8	#343008
208	51	47	8	#332F08
209	50	46	8	#322E08
210	49	45	8	#312D08
211	48	44	7	#302C07
212	47	43	7	#2F2B07
213	46	42	7	#2E2A07
214	44	41	7	#2C2907
215	43	40	7	#2B2807
216	42	39	6	#2A2706
217	41	38	6	#292606
218	40	37	6	#282506
219	39	36	6	#272406
220	38	35	6	#262306
221	37	34	6	#252206
222	36	33	5	#242105
223	35	32	5	#232005
224	34	31	5	#221F05
225	32	30	5	#201E05
226	31	29	5	#1F1D05
227	30	28	5	#1E1C05
228	29	27	4	#1D1B04
229	28	26	4	#1C1A04
230	27	25	4	#1B1904
231	26	24	4	#1A1804
232	25	23	4	#191704
233	24	22	3	#181603
234	23	21	3	#171503
235	21	20	3	#151403
236	20	19	3	#141303
237	19	18	3	#131203
238	18	17	3	#121103
239	17	16	2	#111002
240	16	15	2	#100F02
241	15	14	2	#0F0E02
242	14	13	2	#0E0D02
243	13	12	2	#0D0C02
244	12	11	1	#0C0B01
245	10	10	1	#0A0A01
246	9	9	1	#090901
247	8	8	1	#080801
248	7	7	1	#070701
249	6	6	1	#060601
250	5	5	0	#050500
251	4	4	0	#040400
252	3	3	0	#030300
253	2	2	0	#020200
254	1	1	0	#010100
255	0	0	0	#000000
