member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
1284	bitmap	ad_pixel	0			bitmaps/01284_ad_pixel.png
1284	bitmap	ad_pixel	0	2603	BITD	raw_chunks/01284_ad_pixel_2603_BITD.bin
1461	text	memberalias.index	0	2597	STXT	text/01461_memberalias.index_stxt_0.txt
1461	text	memberalias.index	0	2597	STXT	raw_chunks/01461_memberalias.index_2597_STXT.bin
1657	bitmap	bb_spot_green	0			bitmaps/01657_bb_spot_green.png
1657	bitmap	bb_spot_green	0	2817	BITD	raw_chunks/01657_bb_spot_green_2817_BITD.bin
1658	bitmap	bb_spot_red	0			bitmaps/01658_bb_spot_red.png
1658	bitmap	bb_spot_red	0	2815	BITD	raw_chunks/01658_bb_spot_red_2815_BITD.bin
1660	bitmap	bb_spot_yellow	0			bitmaps/01660_bb_spot_yellow.png
1660	bitmap	bb_spot_yellow	0	2813	BITD	raw_chunks/01660_bb_spot_yellow_2813_BITD.bin
1661	bitmap	bb_spot_blue	0			bitmaps/01661_bb_spot_blue.png
1661	bitmap	bb_spot_blue	0	2811	BITD	raw_chunks/01661_bb_spot_blue_2811_BITD.bin
1663	bitmap	bb_sofa1_sd_0	0			bitmaps/01663_bb_sofa1_sd_0.png
1663	bitmap	bb_sofa1_sd_0	0	2819	BITD	raw_chunks/01663_bb_sofa1_sd_0_2819_BITD.bin
1664	bitmap	bb_stool_sd	0			bitmaps/01664_bb_stool_sd.png
1664	bitmap	bb_stool_sd	0	2807	BITD	raw_chunks/01664_bb_stool_sd_2807_BITD.bin
1665	text	bb_sofa2.props	0	2805	STXT	text/01665_bb_sofa2.props_stxt_0.txt
1665	text	bb_sofa2.props	0	2805	STXT	raw_chunks/01665_bb_sofa2.props_2805_STXT.bin
1666	text	bb_sofa1.props	0	2803	STXT	text/01666_bb_sofa1.props_stxt_0.txt
1666	text	bb_sofa1.props	0	2803	STXT	raw_chunks/01666_bb_sofa1.props_2803_STXT.bin
1667	text	bb_chair.props	0	2801	STXT	text/01667_bb_chair.props_stxt_0.txt
1667	text	bb_chair.props	0	2801	STXT	raw_chunks/01667_bb_chair.props_2801_STXT.bin
1801	bitmap	exit_shape	0			bitmaps/01801_exit_shape.png
1801	bitmap	exit_shape	0	2607	BITD	raw_chunks/01801_exit_shape_2607_BITD.bin
1817	bitmap	hiliter_pub	0			bitmaps/01817_hiliter_pub.png
1817	bitmap	hiliter_pub	0	2605	BITD	raw_chunks/01817_hiliter_pub_2605_BITD.bin
1818	bitmap	adframe_bb_game_right	0			bitmaps/01818_adframe_bb_game_right.png
1818	bitmap	adframe_bb_game_right	0	2601	BITD	raw_chunks/01818_adframe_bb_game_right_2601_BITD.bin
1834	bitmap	onepixel	0			bitmaps/01834_onepixel.png
1834	bitmap	onepixel	0	2599	BITD	raw_chunks/01834_onepixel_2599_BITD.bin
1869	text	bb_lobby_2.room	0	2617	STXT	text/01869_bb_lobby_2.room_stxt_0.txt
1869	text	bb_lobby_2.room	0	2617	STXT	raw_chunks/01869_bb_lobby_2.room_2617_STXT.bin
1872	text	bb_arena_0.room	0	2623	STXT	text/01872_bb_arena_0.room_stxt_0.txt
1872	text	bb_arena_0.room	0	2623	STXT	raw_chunks/01872_bb_arena_0.room_2623_STXT.bin
1873	text	bb_arena_3.room	0	2629	STXT	text/01873_bb_arena_3.room_stxt_0.txt
