index	r	g	b	hex
0	255	255	255	#FFFFFF
1	1	2	5	#010205
2	0	1	3	#000103
3	1	3	7	#010307
4	1	2	4	#010204
5	5	17	34	#051122
6	3	10	20	#030A14
7	2	6	12	#02060C
8	1	3	6	#010306
9	2	9	18	#020912
10	2	8	16	#020810
11	1	4	8	#010408
12	8	31	61	#081F3D
13	8	30	59	#081E3B
14	5	19	37	#051325
15	10	37	72	#0A2548
16	9	33	65	#092141
17	9	33	64	#092140
18	8	29	57	#081D39
19	7	26	51	#071A33
20	6	22	43	#06162B
21	5	18	36	#051224
22	10	36	70	#0A2446
23	4	14	28	#040E1C
24	2	7	14	#02070E
25	9	32	62	#09203E
26	8	28	55	#081C37
27	8	28	54	#081C36
28	6	21	41	#061529
29	5	17	33	#051121
30	1	5	10	#01050A
31	3	13	25	#030D19
32	5	20	39	#051427
33	9	35	68	#092344
34	6	24	46	#06182E
35	4	16	31	#04101F
36	3	12	23	#030C17
37	9	35	67	#092343
38	9	34	66	#092242
39	7	27	52	#071B34
40	6	23	44	#06172C
41	7	26	50	#071A32
42	4	15	29	#040F1D
43	10	37	71	#0A2547
44	3	11	21	#030B15
45	7	25	48	#071930
46	4	14	26	#040E1A
47	2	7	13	#02070D
48	2	6	11	#02060B
49	2	9	17	#020911
50	3	12	22	#030C16
51	0	1	2	#000102
52	1	5	9	#010509
53	1	4	7	#010407
54	0	3	0	#000300
55	0	2	0	#000200
56	0	1	0	#000100
57	1	7	1	#010701
58	1	6	1	#010601
59	1	5	1	#010501
60	1	4	1	#010401
61	3	17	2	#031102
62	6	31	4	#061F04
63	4	21	3	#041503
64	7	34	5	#072205
65	4	20	3	#041403
66	5	25	3	#051903
67	8	39	5	#082705
68	13	61	8	#0D3D08
69	10	46	6	#0A2E06
70	5	23	3	#051703
71	14	66	9	#0E4209
72	13	59	8	#0D3B08
73	8	37	5	#082505
74	16	72	10	#10480A
75	14	65	9	#0E4109
76	14	64	9	#0E4009
77	12	57	8	#0C3908
78	11	51	7	#0B3307
79	11	50	7	#0B3207
80	9	43	6	#092B06
81	8	36	5	#082405
82	6	29	4	#061D04
83	16	71	10	#10470A
84	16	70	10	#10460A
85	6	28	4	#061C04
86	3	14	2	#030E02
87	14	62	9	#0E3E09
88	12	54	8	#0C3608
89	11	48	7	#0B3007
90	6	26	4	#061A04
91	3	13	2	#030D02
92	3	12	2	#030C02
93	2	10	1	#020A01
94	4	18	2	#041202
95	2	9	1	#020901
96	15	68	9	#0F4409
97	15	67	9	#0F4309
98	12	52	7	#0C3407
99	10	44	6	#0A2C06
100	5	22	3	#051603
101	13	55	8	#0D3708
102	10	41	6	#0A2906
103	8	33	5	#082105
104	3	11	2	#030B02
105	4	16	2	#041002
106	2	8	1	#020801
107	2	2	0	#020200
108	1	1	0	#010100
109	7	6	1	#070601
110	11	9	1	#0B0901
111	18	15	2	#120F02
112	17	14	2	#110E02
113	13	11	2	#0D0B02
114	12	10	2	#0C0A02
115	6	5	1	#060501
116	10	8	1	#0A0801
117	27	22	3	#1B1603
118	42	34	5	#2A2205
119	73	59	9	#493B09
120	72	58	9	#483A09
121	65	53	8	#413508
122	56	45	7	#382D07
123	49	40	6	#312806
124	33	27	4	#211B04
125	70	57	9	#463909
126	63	51	8	#3F3308
