index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	8	4	5	#080405
3	5	2	3	#050203
4	11	5	7	#0B0507
5	6	3	4	#060304
6	25	13	17	#190D11
7	19	10	13	#130A0D
8	13	7	9	#0D0709
9	31	15	21	#1F0F15
10	54	27	37	#361B25
11	48	24	33	#301821
12	32	16	22	#201016
13	28	14	19	#1C0E13
14	22	11	15	#160B0F
15	16	8	11	#10080B
16	51	26	35	#331A23
17	49	25	34	#311922
18	45	23	31	#2D171F
19	39	20	27	#27141B
20	33	17	23	#211117
21	29	15	20	#1D0F14
22	23	12	16	#170C10
23	34	18	24	#221218
24	17	9	12	#11090C
25	30	16	21	#1E1015
26	55	27	38	#371B26
27	62	31	43	#3E1F2B
28	56	28	39	#381C27
29	52	26	36	#341A24
30	46	23	32	#2E1720
31	42	21	29	#2A151D
32	36	18	25	#241219
33	26	13	18	#1A0D12
34	63	32	44	#3F202C
35	59	30	41	#3B1E29
36	57	29	40	#391D28
37	53	27	37	#351B25
38	47	24	33	#2F1821
39	43	22	30	#2B161E
40	37	19	26	#25131A
41	60	31	42	#3C1F2A
42	58	30	41	#3A1E29
43	54	28	38	#361C26
44	27	14	19	#1B0E13
45	9	4	6	#090406
46	29	14	20	#1D0E14
47	33	16	23	#211017
48	60	30	42	#3C1E2A
49	58	29	41	#3A1D29
50	50	25	35	#321923
51	48	24	34	#301822
52	44	22	31	#2C161F
53	40	20	28	#28141C
54	38	19	27	#26131B
55	34	17	24	#221118
56	30	15	21	#1E0F15
57	24	12	17	#180C11
58	20	10	14	#140A0E
59	10	5	7	#0A0507
60	63	32	45	#3F202D
61	61	31	43	#3D1F2B
62	59	30	42	#3B1E2A
63	55	28	39	#371C27
64	51	26	36	#331A24
65	49	25	35	#311923
66	45	23	32	#2D1720
67	41	21	29	#29151D
68	39	20	28	#27141C
69	35	18	25	#231219
70	62	32	44	#3E202C
71	60	31	43	#3C1F2B
72	56	29	40	#381D28
73	52	27	37	#341B25
74	31	16	22	#1F1016
75	25	13	18	#190D12
76	21	11	15	#150B0F
77	32	17	23	#201117
78	11	6	8	#0B0608
79	50	25	36	#321924
80	46	23	33	#2E1721
81	42	21	30	#2A151E
82	36	18	26	#24121A
83	28	14	20	#1C0E14
84	18	9	13	#12090D
85	14	7	10	#0E070A
86	57	29	41	#391D29
87	55	28	40	#371C28
88	53	27	38	#351B26
89	51	26	37	#331A25
90	47	24	34	#2F1822
91	43	22	31	#2B161F
92	37	19	27	#25131B
93	33	17	24	#211118
94	58	30	42	#3A1E2A
95	54	28	39	#361C27
96	52	27	38	#341B26
97	29	15	21	#1D0F15
98	19	10	14	#130A0E
99	34	18	25	#221219
100	30	16	22	#1E1016
101	15	8	11	#0F080B
102	44	22	32	#2C1620
103	40	20	29	#28141D
104	26	13	19	#1A0D13
105	22	11	16	#160B10
106	59	30	43	#3B1E2B
107	41	21	30	#29151E
108	31	16	23	#1F1017
109	3	1	2	#030102
110	7	3	5	#070305
111	16	8	12	#10080C
112	12	6	9	#0C0609
113	4	2	3	#040203
114	13	7	10	#0D070A
115	10	5	8	#0A0508
116	1	0	1	#010001
117	2	1	1	#020101
118	3	2	2	#030202
119	1	1	1	#010101
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
