index	r	g	b	hex
0	255	255	255	#FFFFFF
1	74	74	74	#4A4A4A
2	0	0	0	#000000
3	0	0	0	#000000
4	0	0	1	#000001
5	0	1	1	#000101
6	1	1	2	#010102
7	1	2	2	#010202
8	1	2	3	#010203
9	1	3	3	#010303
10	2	3	4	#020304
11	2	4	5	#020405
12	2	4	5	#020405
13	3	5	6	#030506
14	3	5	6	#030506
15	3	5	7	#030507
16	3	6	7	#030607
17	4	6	8	#040608
18	4	7	8	#040708
19	4	7	9	#040709
20	5	8	10	#05080A
21	5	8	10	#05080A
22	5	9	11	#05090B
23	5	9	11	#05090B
24	6	10	12	#060A0C
25	6	10	12	#060A0C
26	6	11	13	#060B0D
27	7	11	14	#070B0E
28	7	11	14	#070B0E
29	7	12	15	#070C0F
30	7	12	15	#070C0F
31	8	13	16	#080D10
32	8	13	16	#080D10
33	8	14	17	#080E11
34	8	14	17	#080E11
35	9	15	18	#090F12
36	9	15	19	#090F13
37	9	16	19	#091013
38	10	16	20	#0A1014
39	10	17	20	#0A1114
40	10	17	21	#0A1115
41	10	17	21	#0A1115
42	11	18	22	#0B1216
43	11	18	22	#0B1216
44	11	19	23	#0B1317
45	12	19	24	#0C1318
46	12	20	24	#0C1418
47	12	20	25	#0C1419
48	12	21	25	#0C1519
49	13	21	26	#0D151A
50	13	22	26	#0D161A
51	13	22	27	#0D161B
52	14	23	28	#0E171C
53	14	23	28	#0E171C
54	14	23	29	#0E171D
55	14	24	29	#0E181D
56	15	24	30	#0F181E
57	15	25	30	#0F191E
58	15	25	31	#0F191F
59	15	26	31	#0F1A1F
60	16	26	32	#101A20
61	16	27	33	#101B21
62	16	27	33	#101B21
63	17	28	34	#111C22
64	17	28	34	#111C22
65	17	29	35	#111D23
66	17	29	35	#111D23
67	18	29	36	#121D24
68	18	30	37	#121E25
69	18	30	37	#121E25
70	19	31	38	#131F26
71	19	31	38	#131F26
72	19	32	39	#132027
73	19	32	39	#132027
74	20	33	40	#142128
75	20	33	40	#142128
76	20	34	41	#142229
77	21	34	42	#15222A
78	21	35	42	#15232A
79	21	35	43	#15232B
80	21	35	43	#15232B
81	22	36	44	#16242C
82	22	36	44	#16242C
83	22	37	45	#16252D
84	22	37	45	#16252D
85	23	38	46	#17262E
86	23	38	47	#17262F
87	23	39	47	#17272F
88	24	39	48	#182730
89	24	40	48	#182830
90	24	40	49	#182831
91	24	41	49	#182931
92	25	41	50	#192932
93	25	41	51	#192933
94	25	42	51	#192A33
95	26	42	52	#1A2A34
96	26	43	52	#1A2B34
97	26	43	53	#1A2B35
98	26	44	53	#1A2C35
99	27	44	54	#1B2C36
100	27	45	54	#1B2D36
101	27	45	55	#1B2D37
102	28	46	56	#1C2E38
103	28	46	56	#1C2E38
104	28	47	57	#1C2F39
105	28	47	57	#1C2F39
106	29	47	58	#1D2F3A
107	29	48	58	#1D303A
108	29	48	59	#1D303B
109	29	49	59	#1D313B
110	30	49	60	#1E313C
111	30	50	61	#1E323D
112	30	50	61	#1E323D
113	31	51	62	#1F333E
114	31	51	62	#1F333E
115	31	52	63	#1F343F
116	31	52	63	#1F343F
117	32	53	64	#203540
118	32	53	65	#203541
119	32	53	65	#203541
120	33	54	66	#213642
121	33	54	66	#213642
122	33	55	67	#213743
123	33	55	67	#213743
124	34	56	68	#223844
125	34	56	68	#223844
126	34	57	69	#223945
127	35	57	70	#233946
128	35	58	70	#233A46
129	35	58	71	#233A47
130	35	59	71	#233B47
131	36	59	72	#243B48
132	36	59	72	#243B48
133	36	60	73	#243C49
134	37	60	74	#253C4A
135	37	61	74	#253D4A
136	37	61	75	#253D4B
137	37	62	75	#253E4B
138	38	62	76	#263E4C
139	38	63	76	#263F4C
140	38	63	77	#263F4D
141	38	64	77	#26404D
142	39	64	78	#27404E
143	39	65	79	#27414F
144	39	65	79	#27414F
145	40	65	80	#284150
146	40	66	80	#284250
147	40	66	81	#284251
148	40	67	81	#284351
149	41	67	82	#294352
150	41	68	82	#294452
151	41	68	83	#294453
152	42	69	84	#2A4554
153	42	69	84	#2A4554
154	42	70	85	#2A4655
155	42	70	85	#2A4655
156	43	71	86	#2B4756
157	43	71	86	#2B4756
158	43	71	87	#2B4757
159	44	72	88	#2C4858
160	44	72	88	#2C4858
161	44	73	89	#2C4959
162	44	73	89	#2C4959
163	45	74	90	#2D4A5A
164	45	74	90	#2D4A5A
165	45	75	91	#2D4B5B
166	45	75	91	#2D4B5B
167	46	76	92	#2E4C5C
168	46	76	93	#2E4C5D
169	46	77	93	#2E4D5D
170	47	77	94	#2F4D5E
171	47	77	94	#2F4D5E
172	47	78	95	#2F4E5F
173	47	78	95	#2F4E5F
174	48	79	96	#304F60
175	48	79	97	#304F61
176	48	80	97	#305061
177	49	80	98	#315062
178	49	81	98	#315162
179	49	81	99	#315163
180	49	82	99	#315263
181	50	82	100	#325264
182	50	83	100	#325364
183	50	83	101	#325365
184	51	83	102	#335366
185	51	84	102	#335466
186	51	84	103	#335467
187	51	85	103	#335567
188	52	85	104	#345568
189	52	86	104	#345668
190	52	86	105	#345669
191	52	87	105	#345769
192	53	87	106	#35576A
193	53	88	107	#35586B
194	53	88	107	#35586B
195	54	89	108	#36596C
196	54	89	108	#36596C
197	54	89	109	#36596D
198	54	90	109	#365A6D
199	55	90	110	#375A6E
200	55	91	111	#375B6F
201	55	91	111	#375B6F
202	56	92	112	#385C70
203	56	92	112	#385C70
204	56	93	113	#385D71
205	56	93	113	#385D71
206	57	94	114	#395E72
207	57	94	114	#395E72
208	57	95	115	#395F73
209	58	95	116	#3A5F74
210	58	95	116	#3A5F74
211	58	96	117	#3A6075
212	58	96	117	#3A6075
213	59	97	118	#3B6176
214	59	97	118	#3B6176
215	59	98	119	#3B6277
216	59	98	119	#3B6277
217	60	99	120	#3C6378
218	60	99	121	#3C6379
219	60	100	121	#3C6479
220	61	100	122	#3D647A
221	61	101	122	#3D657A
222	61	101	123	#3D657B
223	61	101	123	#3D657B
224	62	102	124	#3E667C
225	51	70	121	#334679
226	54	75	126	#364B7E
227	57	80	130	#395082
228	61	85	135	#3D5587
229	64	91	140	#405B8C
230	67	96	144	#436090
231	70	101	149	#466595
232	74	106	154	#4A6A9A
233	77	111	158	#4D6F9E
234	80	117	163	#5075A3
235	84	122	168	#547AA8
236	87	127	172	#577FAC
237	38	94	118	#265E76
238	40	97	121	#286179
239	42	100	124	#2A647C
240	44	103	127	#2C677F
241	46	106	130	#2E6A82
242	49	109	133	#316D85
243	51	112	136	#337088
244	53	115	139	#35738B
245	55	117	143	#37758F
246	57	120	146	#397892
247	59	123	149	#3B7B95
248	62	126	152	#3E7E98
249	64	129	155	#40819B
250	66	132	158	#42849E
251	68	135	161	#4487A1
252	70	138	164	#468AA4
253	73	141	167	#498DA7
254	75	144	170	#4B90AA
255	0	0	0	#000000
