index	r	g	b	hex
0	255	255	255	#FFFFFF
1	2	2	2	#020202
2	107	130	169	#6B82A9
3	109	132	171	#6D84AB
4	136	162	204	#88A2CC
5	158	190	236	#9EBEEC
6	92	124	156	#5C7C9C
7	48	155	255	#309BFF
8	122	176	223	#7AB0DF
9	142	189	222	#8EBDDE
10	169	201	215	#A9C9D7
11	208	242	255	#D0F2FF
12	202	218	223	#CADADF
13	206	222	227	#CEDEE3
14	196	211	216	#C4D3D8
15	238	251	255	#EEFBFF
16	230	243	247	#E6F3F7
17	50	127	148	#327F94
18	46	112	131	#2E7083
19	42	96	112	#2A6070
20	11	18	20	#0B1214
21	241	252	255	#F1FCFF
22	242	252	255	#F2FCFF
23	50	91	101	#325B65
24	91	138	149	#5B8A95
25	60	89	96	#3C5960
26	223	244	249	#DFF4F9
27	207	224	228	#CFE0E4
28	34	69	77	#22454D
29	13	22	24	#0D1618
30	18	28	30	#121C1E
31	226	249	253	#E2F9FD
32	234	241	242	#EAF1F2
33	233	240	241	#E9F0F1
34	245	255	255	#F5FFFF
35	251	255	255	#FBFFFF
36	252	255	255	#FCFFFF
37	137	184	74	#89B84A
38	238	255	20	#EEFF14
39	213	212	174	#D5D4AE
40	229	228	198	#E5E4C6
41	230	228	198	#E6E4C6
42	211	208	166	#D3D0A6
43	229	226	194	#E5E2C2
44	212	208	167	#D4D0A7
45	212	208	168	#D4D0A8
46	226	221	184	#E2DDB8
47	226	221	185	#E2DDB9
48	209	201	156	#D1C99C
49	210	203	159	#D2CB9F
50	210	203	160	#D2CBA0
51	249	241	194	#F9F1C2
52	219	213	177	#DBD5B1
53	226	220	183	#E2DCB7
54	227	221	185	#E3DDB9
55	243	237	204	#F3EDCC
56	253	247	214	#FDF7D6
57	251	245	212	#FBF5D4
58	250	244	211	#FAF4D3
59	255	240	170	#FFF0AA
60	208	198	149	#D0C695
61	181	176	152	#B5B098
62	255	211	61	#FFD33D
63	247	213	107	#F7D56B
64	251	223	138	#FBDF8A
65	255	238	181	#FFEEB5
66	255	228	163	#FFE4A3
67	213	199	164	#D5C7A4
68	234	220	188	#EADCBC
69	255	200	86	#FFC856
70	248	226	181	#F8E2B5
71	255	209	126	#FFD17E
72	118	105	81	#766951
73	197	155	83	#C59B53
74	172	136	77	#AC884D
75	233	185	107	#E9B96B
76	208	177	127	#D0B17F
77	220	188	135	#DCBC87
78	220	145	37	#DC9125
79	207	134	36	#CF8624
80	255	148	25	#FF9419
81	255	137	18	#FF8912
82	241	130	18	#F18212
83	255	146	30	#FF921E
84	237	115	10	#ED730A
85	221	107	12	#DD6B0C
86	238	119	18	#EE7712
87	222	111	19	#DE6F13
88	243	117	18	#F37512
89	229	114	23	#E57217
90	215	107	23	#D76B17
91	255	224	200	#FFE0C8
92	146	61	2	#923D02
93	145	106	82	#916A52
94	255	210	181	#FFD2B5
95	225	120	61	#E1783D
96	248	173	131	#F8AD83
97	121	89	70	#795946
98	255	195	161	#FFC3A1
99	255	152	99	#FF9863
100	208	91	42	#D05B2A
101	158	71	36	#9E4724
102	160	72	37	#A04825
103	15	8	5	#0F0805
104	250	250	250	#FAFAFA
105	236	236	236	#ECECEC
106	215	215	215	#D7D7D7
107	186	186	186	#BABABA
108	175	175	175	#AFAFAF
109	162	162	162	#A2A2A2
110	137	137	137	#898989
111	0	0	0	#000000
112	226	226	226	#E2E2E2
113	184	155	106	#B89B6A
114	99	68	49	#634431
115	115	115	115	#737373
116	184	155	106	#B89B6A
117	0	0	0	#000000
118	191	191	191	#BFBFBF
119	129	82	47	#81522F
120	245	245	245	#F5F5F5
121	168	193	195	#A8C1C3
122	139	139	139	#8B8B8B
123	184	155	106	#B89B6A
124	240	80	12	#F0500C
