index	r	g	b	hex
0	255	255	255	#FFFFFF
1	17	17	17	#111111
2	74	8	11	#4A080B
3	56	6	8	#380608
4	220	26	32	#DC1A20
5	127	15	19	#7F0F13
6	163	40	116	#A32874
7	212	53	151	#D43597
8	125	31	89	#7D1F59
9	26	19	33	#1A1321
10	32	24	40	#201828
11	53	40	68	#352844
12	75	57	96	#4B3960
13	64	49	83	#403153
14	11	15	79	#0B0F4F
15	28	36	186	#1C24BA
16	19	24	127	#13187F
17	5	9	56	#050938
18	190	220	250	#BEDCFA
19	183	186	189	#B7BABD
20	95	107	116	#5F6B74
21	105	119	129	#697781
22	46	52	56	#2E3438
23	84	94	101	#545E65
24	0	84	127	#00547F
25	0	52	79	#00344F
26	0	143	211	#008FD3
27	0	110	163	#006EA3
28	22	142	29	#168E1D
29	18	116	23	#127417
30	34	215	43	#22D72B
31	26	165	34	#1AA522
32	13	81	16	#0D5110
33	45	145	24	#2D9118
34	114	130	96	#728260
35	71	81	60	#47513C
36	135	138	121	#878A79
37	170	173	153	#AAAD99
38	243	243	4	#F3F304
39	248	236	146	#F8EC92
40	174	165	102	#AEA566
41	222	212	131	#DED483
42	110	94	3	#6E5E03
43	130	111	6	#826F06
44	227	195	11	#E3C30B
45	161	138	8	#A18A08
46	127	120	75	#7F784B
47	255	225	74	#FFE14A
48	218	189	74	#DABD4A
49	231	212	137	#E7D489
50	40	34	12	#28220C
51	177	152	58	#B1983A
52	138	118	45	#8A762D
53	120	102	39	#786627
54	130	118	72	#827648
55	151	135	87	#978757
56	130	115	72	#827348
57	250	233	190	#FAE9BE
58	220	205	167	#DCCDA7
59	106	74	4	#6A4A04
60	176	125	7	#B07D07
61	149	105	6	#956906
62	122	86	5	#7A5605
63	87	61	4	#573D04
64	58	41	3	#3A2903
65	239	220	177	#EFDCB1
66	209	193	159	#D1C19F
67	176	163	134	#B0A386
68	104	96	79	#68604F
69	138	127	105	#8A7F69
70	102	85	58	#66553A
71	161	135	92	#A1875C
72	115	69	9	#734509
73	143	86	12	#8F560C
74	140	85	12	#8C550C
75	107	65	9	#6B4109
76	217	131	19	#D98313
77	168	102	15	#A8660F
78	255	155	23	#FF9B17
79	89	53	7	#593507
80	99	59	11	#633B0B
81	80	52	19	#503413
82	160	130	93	#A0825D
83	176	151	119	#B09777
84	178	153	122	#B2997A
85	197	178	155	#C5B29B
86	226	217	206	#E2D9CE
87	153	86	10	#99560A
88	116	67	11	#74430B
89	76	47	15	#4C2F0F
90	174	112	41	#AE7029
91	51	31	10	#331F0A
92	127	59	0	#7F3B00
93	71	33	0	#472100
94	69	32	0	#452000
95	40	18	0	#281200
96	40	17	0	#281100
97	25	10	0	#190A00
98	94	83	76	#5E534C
99	255	126	75	#FF7E4B
100	144	67	39	#904327
101	251	64	2	#FB4002
102	33	9	3	#210903
103	248	248	248	#F8F8F8
104	214	214	214	#D6D6D6
105	161	161	161	#A1A1A1
106	158	158	158	#9E9E9E
107	127	127	127	#7F7F7F
108	87	87	87	#575757
109	76	76	76	#4C4C4C
110	69	69	69	#454545
111	35	35	35	#232323
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
