index	r	g	b	hex
0	255	255	255	#FFFFFF
1	1	1	1	#010101
2	0	1	1	#000101
3	3	6	6	#030606
4	4	7	7	#040707
5	11	19	19	#0B1313
6	7	12	12	#070C0C
7	6	10	10	#060A0A
8	15	24	24	#0F1818
9	5	8	8	#050808
10	23	36	36	#172424
11	27	42	42	#1B2A2A
12	9	14	14	#090E0E
13	31	48	48	#1F3030
14	22	34	34	#162222
15	26	40	40	#1A2828
16	21	32	32	#152020
17	19	29	29	#131D1D
18	17	26	26	#111A1A
19	27	41	41	#1B2929
20	25	38	38	#192626
21	62	93	93	#3E5D5D
22	50	75	75	#324B4B
23	36	54	54	#243636
24	28	42	42	#1C2A2A
25	26	39	39	#1A2727
26	22	33	33	#162121
27	20	30	30	#141E1E
28	18	27	27	#121B1B
29	16	24	24	#101818
30	14	21	21	#0E1515
31	12	18	18	#0C1212
32	10	15	15	#0A0F0F
33	6	9	9	#060909
34	2	3	3	#020303
35	104	155	155	#689B9B
36	90	134	134	#5A8686
37	75	112	112	#4B7070
38	45	67	67	#2D4343
39	82	122	122	#527A7A
40	70	104	104	#466868
41	66	98	98	#426262
42	35	52	52	#233434
43	33	49	49	#213131
44	31	46	46	#1F2E2E
45	29	43	43	#1D2B2B
46	25	37	37	#192525
47	59	87	87	#3B5757
48	55	81	81	#375151
49	42	62	62	#2A3E3E
50	23	34	34	#172222
51	34	50	50	#223232
52	32	47	47	#202F2F
53	30	44	44	#1E2C2C
54	28	41	41	#1C2929
55	17	25	25	#111919
56	15	22	22	#0F1616
57	39	57	57	#273939
58	24	35	35	#182323
59	11	16	16	#0B1010
60	9	13	13	#090D0D
61	16	23	23	#101717
62	26	37	37	#1A2525
63	7	10	10	#070A0A
64	8	11	11	#080B0B
65	3	4	4	#030404
66	10	13	13	#0A0D0D
67	4	5	5	#040505
68	6	6	6	#060606
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
