index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	84	9	13	#54090D
3	148	37	43	#94252B
4	98	14	35	#620E23
5	141	28	57	#8D1C39
6	67	6	22	#430616
7	24	21	22	#181516
8	203	48	106	#CB306A
9	237	135	173	#ED87AD
10	81	82	90	#51525A
11	173	177	186	#ADB1BA
12	0	37	112	#002570
13	18	61	107	#123D6B
14	29	82	139	#1D528B
15	66	134	207	#4286CF
16	5	28	52	#051C34
17	10	43	77	#0A2B4D
18	34	94	155	#225E9B
19	102	178	255	#66B2FF
20	175	213	251	#AFD5FB
21	149	168	187	#95A8BB
22	202	220	238	#CADCEE
23	212	231	249	#D4E7F9
24	5	42	66	#052A42
25	24	72	103	#184867
26	46	94	123	#2E5E7B
27	64	114	144	#407290
28	75	133	168	#4B85A8
29	97	149	181	#6195B5
30	150	206	240	#96CEF0
31	140	189	219	#8CBDDB
32	179	219	243	#B3DBF3
33	21	89	129	#155981
34	26	97	138	#1A618A
35	38	118	164	#2676A4
36	55	148	203	#3794CB
37	82	178	234	#52B2EA
38	67	146	192	#4392C0
39	56	115	150	#387396
40	110	188	234	#6EBCEA
41	122	203	250	#7ACBFA
42	116	191	235	#74BFEB
43	88	137	165	#5889A5
44	145	210	247	#91D2F7
45	165	222	255	#A5DEFF
46	143	189	216	#8FBDD8
47	73	157	193	#499DC1
48	77	154	186	#4D9ABA
49	161	222	247	#A1DEF7
50	8	41	48	#082930
51	12	46	52	#0C2E34
52	27	95	107	#1B5F6B
53	33	92	102	#215C66
54	34	91	101	#225B65
55	50	131	145	#328391
56	56	130	143	#38828F
57	143	223	237	#8FDFED
58	204	221	222	#CCDDDE
59	247	248	248	#F7F8F8
60	158	159	159	#9E9F9F
61	30	86	81	#1E5651
62	61	127	121	#3D7F79
63	56	88	83	#385853
64	88	126	120	#587E78
65	144	175	170	#90AFAA
66	176	206	201	#B0CEC9
67	47	63	59	#2F3F3B
68	82	90	88	#525A58
69	137	141	140	#898D8C
70	200	204	203	#C8CCCB
71	53	68	64	#354440
72	177	215	205	#B1D7CD
73	79	99	93	#4F635D
74	151	158	156	#979E9C
75	144	175	163	#90AFA3
76	232	250	243	#E8FAF3
77	194	231	216	#C2E7D8
78	20	51	30	#14331E
79	34	86	51	#225633
80	51	127	76	#337F4C
81	10	25	15	#0A190F
82	115	121	116	#737974
83	236	237	236	#ECEDEC
84	174	175	174	#AEAFAE
85	21	67	9	#154309
86	34	95	18	#225F12
87	30	74	0	#1E4A00
88	123	186	77	#7BBA4D
89	39	67	6	#274306
90	59	98	14	#3B620E
91	89	141	28	#598D1C
92	115	161	54	#73A136
93	149	209	71	#95D147
94	78	110	37	#4E6E25
95	72	101	34	#486522
96	105	143	56	#698F38
97	35	52	12	#23340C
98	202	222	171	#CADEAB
99	246	248	243	#F6F8F3
100	150	203	48	#96CB30
101	192	233	112	#C0E970
102	168	169	163	#A8A9A3
103	177	180	157	#B1B49D
104	214	224	134	#D6E086
105	231	236	191	#E7ECBF
106	240	242	220	#F0F2DC
107	223	226	166	#DFE2A6
108	68	68	53	#444435
109	20	20	16	#141410
110	246	246	241	#F6F6F1
111	248	248	247	#F8F8F7
112	166	166	165	#A6A6A5
113	253	240	95	#FDF05F
114	127	110	55	#7F6E37
115	168	148	81	#A89451
116	203	184	120	#CBB878
117	165	122	3	#A57A03
118	213	176	72	#D5B048
119	255	229	168	#FFE5A8
120	172	117	22	#AC7516
121	226	166	56	#E2A638
122	126	88	38	#7E5826
123	155	92	18	#9B5C12
124	51	33	10	#33210A
125	100	74	41	#644A29
126	99	73	41	#634929
127	96	71	40	#604728
128	206	126	38	#CE7E26
129	195	115	46	#C3732E
130	184	114	60	#B8723C
131	186	86	20	#BA5614
132	124	62	24	#7C3E18
133	79	54	39	#4F3627
134	25	16	11	#19100B
135	112	47	18	#702F12
136	160	75	37	#A04B25
137	231	97	43	#E7612B
138	255	130	78	#FF824E
139	61	38	28	#3D261C
140	95	38	18	#5F2612
141	69	28	13	#451C0D
142	133	59	33	#853B21
143	169	0	0	#A90000
144	105	0	0	#690000
145	180	6	5	#B40605
146	111	7	7	#6F0707
147	163	12	12	#A30C0C
148	195	18	18	#C31212
149	155	19	19	#9B1313
150	240	229	229	#F0E5E5
151	177	176	176	#B1B0B0
152	143	142	142	#8F8E8E
153	248	248	248	#F8F8F8
154	247	247	247	#F7F7F7
155	246	246	246	#F6F6F6
156	245	245	245	#F5F5F5
157	242	242	242	#F2F2F2
158	241	241	241	#F1F1F1
159	238	238	238	#EEEEEE
160	237	237	237	#EDEDED
161	236	236	236	#ECECEC
162	235	235	235	#EBEBEB
163	232	232	232	#E8E8E8
164	228	228	228	#E4E4E4
165	201	201	201	#C9C9C9
166	196	196	196	#C4C4C4
167	190	190	190	#BEBEBE
168	189	189	189	#BDBDBD
169	187	187	187	#BBBBBB
170	175	175	175	#AFAFAF
171	174	174	174	#AEAEAE
172	170	170	170	#AAAAAA
173	165	165	165	#A5A5A5
174	159	159	159	#9F9F9F
175	158	158	158	#9E9E9E
176	150	150	150	#969696
177	142	142	142	#8E8E8E
178	140	140	140	#8C8C8C
179	139	139	139	#8B8B8B
180	130	130	130	#828282
181	125	125	125	#7D7D7D
182	124	124	124	#7C7C7C
183	121	121	121	#797979
184	119	119	119	#777777
185	100	100	100	#646464
186	91	91	91	#5B5B5B
187	80	80	80	#505050
188	79	79	79	#4F4F4F
189	72	72	72	#484848
190	63	63	63	#3F3F3F
191	59	59	59	#3B3B3B
192	44	44	44	#2C2C2C
193	42	42	42	#2A2A2A
194	33	33	33	#212121
195	31	31	31	#1F1F1F
196	17	17	17	#111111
197	1	1	1	#010101
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
