index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	0	0	0	#000000
3	0	0	0	#000000
4	0	0	0	#000000
5	0	0	0	#000000
6	0	0	0	#000000
7	0	0	0	#000000
8	0	0	0	#000000
9	0	0	0	#000000
10	0	0	0	#000000
11	0	0	0	#000000
12	0	0	0	#000000
13	0	0	0	#000000
14	0	0	0	#000000
15	0	0	0	#000000
16	0	0	0	#000000
17	176	116	73	#B07449
18	146	112	64	#927040
19	140	103	66	#8C6742
20	17	16	16	#111010
21	17	16	16	#111010
22	17	16	16	#111010
23	17	16	16	#111010
24	17	16	16	#111010
25	17	16	16	#111010
26	17	16	16	#111010
27	17	16	16	#111010
28	17	16	16	#111010
29	17	16	16	#111010
30	17	16	16	#111010
31	17	16	16	#111010
32	17	16	16	#111010
33	17	16	16	#111010
34	17	16	16	#111010
35	17	16	16	#111010
36	17	16	16	#111010
37	17	16	16	#111010
38	17	16	16	#111010
39	17	16	16	#111010
40	17	16	16	#111010
41	17	16	16	#111010
42	17	16	16	#111010
43	17	16	16	#111010
44	17	16	16	#111010
45	17	16	16	#111010
46	17	16	16	#111010
47	17	16	16	#111010
48	254	199	255	#FEC7FF
49	209	174	224	#D1AEE0
50	164	156	200	#A49CC8
51	121	115	148	#797394
52	97	92	118	#615C76
53	56	53	68	#383544
54	33	31	39	#211F27
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	235	165	79	#EBA54F
82	205	144	69	#CD9045
83	146	103	49	#926731
84	129	90	43	#815A2B
85	17	16	16	#111010
86	17	16	16	#111010
87	167	121	65	#A77941
88	129	101	67	#816543
89	111	87	58	#6F573A
90	17	16	16	#111010
91	17	16	16	#111010
92	17	16	16	#111010
93	17	16	16	#111010
94	17	16	16	#111010
95	17	16	16	#111010
96	17	16	16	#111010
97	17	16	16	#111010
98	17	16	16	#111010
99	17	16	16	#111010
100	17	16	16	#111010
101	17	16	16	#111010
102	17	16	16	#111010
103	17	16	16	#111010
104	17	16	16	#111010
105	17	16	16	#111010
106	17	16	16	#111010
107	17	16	16	#111010
108	17	16	16	#111010
109	17	16	16	#111010
110	17	16	16	#111010
111	17	16	16	#111010
112	17	16	16	#111010
113	186	130	63	#BA823F
114	166	116	56	#A67438
115	17	16	16	#111010
116	17	16	16	#111010
117	17	16	16	#111010
118	17	16	16	#111010
119	17	16	16	#111010
120	17	16	16	#111010
121	17	16	16	#111010
122	17	16	16	#111010
123	17	16	16	#111010
124	17	16	16	#111010
125	17	16	16	#111010
126	17	16	16	#111010
127	17	16	16	#111010
128	17	16	16	#111010
129	226	216	216	#E2D8D8
130	168	161	161	#A8A1A1
131	116	111	111	#746F6F
132	17	16	16	#111010
133	17	16	16	#111010
134	17	16	16	#111010
135	17	16	16	#111010
136	17	16	16	#111010
137	17	16	16	#111010
138	17	16	16	#111010
139	17	16	16	#111010
140	17	16	16	#111010
141	17	16	16	#111010
142	17	16	16	#111010
143	17	16	16	#111010
144	17	16	16	#111010
145	193	182	60	#C1B63C
146	123	116	41	#7B7429
147	17	16	16	#111010
148	17	16	16	#111010
149	17	16	16	#111010
150	17	16	16	#111010
151	17	16	16	#111010
152	17	16	16	#111010
153	17	16	16	#111010
154	17	16	16	#111010
155	17	16	16	#111010
156	17	16	16	#111010
157	17	16	16	#111010
158	17	16	16	#111010
159	17	16	16	#111010
160	255	222	176	#FFDEB0
161	224	200	153	#E0C899
162	183	160	142	#B7A08E
163	147	139	149	#938B95
164	101	94	103	#655E67
165	159	111	53	#9F6F35
166	129	91	43	#815B2B
167	88	61	29	#583D1D
168	70	49	23	#463117
169	35	24	11	#23180B
170	0	0	0	#000000
171	17	16	16	#111010
172	17	16	16	#111010
173	17	16	16	#111010
174	17	16	16	#111010
175	17	16	16	#111010
176	17	16	16	#111010
177	122	182	134	#7AB686
178	17	16	16	#111010
179	17	16	16	#111010
180	17	16	16	#111010
181	17	16	16	#111010
182	17	16	16	#111010
183	17	16	16	#111010
184	17	16	16	#111010
185	17	16	16	#111010
186	17	16	16	#111010
187	17	16	16	#111010
188	17	16	16	#111010
189	17	16	16	#111010
190	17	16	16	#111010
191	17	16	16	#111010
192	17	16	16	#111010
193	54	94	62	#365E3E
194	37	65	43	#25412B
195	27	47	31	#1B2F1F
196	17	16	16	#111010
197	17	16	16	#111010
198	17	16	16	#111010
199	17	16	16	#111010
200	17	16	16	#111010
201	17	16	16	#111010
202	17	16	16	#111010
203	17	16	16	#111010
204	17	16	16	#111010
205	17	16	16	#111010
206	17	16	16	#111010
207	17	16	16	#111010
208	17	16	16	#111010
209	225	49	33	#E13121
210	255	115	102	#FF7366
211	90	19	13	#5A130D
212	158	34	23	#9E2217
213	17	17	17	#111111
214	17	16	16	#111010
215	17	16	16	#111010
216	17	16	16	#111010
217	17	16	16	#111010
218	17	16	16	#111010
219	17	16	16	#111010
220	17	16	16	#111010
221	17	16	16	#111010
222	17	16	16	#111010
223	17	16	16	#111010
224	17	16	16	#111010
225	99	90	90	#635A5A
226	72	65	65	#484141
227	44	40	40	#2C2828
228	17	16	16	#111010
229	17	16	16	#111010
230	17	16	16	#111010
231	17	16	16	#111010
232	17	16	16	#111010
233	17	16	16	#111010
234	17	16	16	#111010
235	17	16	16	#111010
236	17	16	16	#111010
237	17	16	16	#111010
238	17	16	16	#111010
239	17	16	16	#111010
240	17	16	16	#111010
241	116	183	92	#74B75C
242	80	123	64	#507B40
243	17	17	17	#111111
244	17	17	17	#111111
245	17	17	17	#111111
246	17	17	17	#111111
247	17	17	17	#111111
248	17	17	17	#111111
249	11	11	11	#0B0B0B
250	11	11	11	#0B0B0B
251	11	11	11	#0B0B0B
252	5	5	5	#050505
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
