index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	0	0	0	#000000
3	0	0	0	#000000
4	0	0	0	#000000
5	0	0	0	#000000
6	0	0	0	#000000
7	0	0	0	#000000
8	0	0	0	#000000
9	0	0	0	#000000
10	0	0	0	#000000
11	0	0	0	#000000
12	0	0	0	#000000
13	0	0	0	#000000
14	0	0	0	#000000
15	0	0	0	#000000
16	0	0	0	#000000
17	0	0	0	#000000
18	0	0	0	#000000
19	0	0	0	#000000
20	0	0	0	#000000
21	0	0	0	#000000
22	0	0	0	#000000
23	0	0	0	#000000
24	0	0	0	#000000
25	0	0	0	#000000
26	0	0	0	#000000
27	0	0	0	#000000
28	0	0	0	#000000
29	0	0	0	#000000
30	0	0	0	#000000
31	0	0	0	#000000
32	0	0	0	#000000
33	0	0	0	#000000
34	0	0	0	#000000
35	0	0	0	#000000
36	0	0	0	#000000
37	0	0	0	#000000
38	0	0	0	#000000
39	0	0	0	#000000
40	0	0	0	#000000
41	0	0	0	#000000
42	0	0	0	#000000
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	245	255	245	#F5FFF5
111	244	254	244	#F4FEF4
112	242	252	242	#F2FCF2
113	240	250	240	#F0FAF0
114	238	248	238	#EEF8EE
115	237	247	237	#EDF7ED
116	235	245	235	#EBF5EB
117	233	243	233	#E9F3E9
118	232	241	232	#E8F1E8
119	230	240	230	#E6F0E6
120	228	238	228	#E4EEE4
121	226	236	226	#E2ECE2
122	225	234	225	#E1EAE1
123	223	232	223	#DFE8DF
124	221	231	221	#DDE7DD
125	219	229	219	#DBE5DB
126	218	227	218	#DAE3DA
127	216	225	216	#D8E1D8
128	214	224	214	#D6E0D6
129	213	222	213	#D5DED5
130	211	220	211	#D3DCD3
131	209	218	209	#D1DAD1
132	207	217	207	#CFD9CF
133	206	215	206	#CED7CE
134	204	213	204	#CCD5CC
135	202	211	202	#CAD3CA
136	201	209	201	#C9D1C9
137	199	208	199	#C7D0C7
138	197	206	197	#C5CEC5
139	195	204	195	#C3CCC3
140	194	202	194	#C2CAC2
141	192	201	192	#C0C9C0
142	190	199	190	#BEC7BE
143	189	197	189	#BDC5BD
144	187	195	187	#BBC3BB
145	185	193	185	#B9C1B9
146	183	192	183	#B7C0B7
147	182	190	182	#B6BEB6
148	180	188	180	#B4BCB4
149	178	186	178	#B2BAB2
150	177	185	177	#B1B9B1
151	175	183	175	#AFB7AF
152	173	181	173	#ADB5AD
153	171	179	171	#ABB3AB
154	170	178	170	#AAB2AA
155	168	176	168	#A8B0A8
156	166	174	166	#A6AEA6
157	164	172	164	#A4ACA4
158	163	170	163	#A3AAA3
159	161	169	161	#A1A9A1
160	159	167	159	#9FA79F
161	158	165	158	#9EA59E
162	156	163	156	#9CA39C
163	154	162	154	#9AA29A
164	152	160	152	#98A098
165	151	158	151	#979E97
166	149	156	149	#959C95
167	147	154	147	#939A93
168	146	153	146	#929992
169	144	151	144	#909790
170	142	149	142	#8E958E
171	140	147	140	#8C938C
172	139	146	139	#8B928B
173	137	144	137	#899089
174	135	142	135	#878E87
175	134	140	134	#868C86
176	132	139	132	#848B84
177	130	137	130	#828982
178	128	135	128	#808780
179	127	133	127	#7F857F
180	125	131	125	#7D837D
181	123	130	123	#7B827B
182	122	128	122	#7A807A
183	120	126	120	#787E78
184	118	124	118	#767C76
185	116	123	116	#747B74
186	115	121	115	#737973
187	113	119	113	#717771
188	111	117	111	#6F756F
189	109	115	109	#6D736D
190	108	114	108	#6C726C
191	106	112	106	#6A706A
192	104	110	104	#686E68
193	103	108	103	#676C67
194	101	107	101	#656B65
195	99	105	99	#636963
196	97	103	97	#616761
197	96	101	96	#606560
198	94	100	94	#5E645E
199	92	98	92	#5C625C
200	91	96	91	#5B605B
201	89	94	89	#595E59
202	87	92	87	#575C57
203	85	91	85	#555B55
204	84	89	84	#545954
205	82	87	82	#525752
206	80	85	80	#505550
207	79	84	79	#4F544F
208	77	82	77	#4D524D
209	75	80	75	#4B504B
210	73	78	73	#494E49
211	72	76	72	#484C48
212	70	75	70	#464B46
213	68	73	68	#444944
214	67	71	67	#434743
215	65	69	65	#414541
216	63	68	63	#3F443F
217	61	66	61	#3D423D
218	60	64	60	#3C403C
219	58	62	58	#3A3E3A
220	56	61	56	#383D38
221	54	59	54	#363B36
222	53	57	53	#353935
223	51	55	51	#333733
224	49	53	49	#313531
225	48	52	48	#303430
226	46	50	46	#2E322E
227	44	48	44	#2C302C
228	42	46	42	#2A2E2A
229	41	45	41	#292D29
230	39	43	39	#272B27
231	37	41	37	#252925
232	36	39	36	#242724
233	34	38	34	#222622
234	32	36	32	#202420
235	30	34	30	#1E221E
236	29	32	29	#1D201D
237	27	30	27	#1B1E1B
238	25	29	25	#191D19
239	24	27	24	#181B18
240	22	25	22	#161916
241	20	23	20	#141714
242	18	22	18	#121612
243	17	20	17	#111411
244	15	18	15	#0F120F
245	13	16	13	#0D100D
246	12	14	12	#0C0E0C
247	10	13	10	#0A0D0A
248	8	11	8	#080B08
