index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	92	23	#FF5C17
2	255	91	22	#FF5B16
3	255	89	22	#FF5916
4	255	88	21	#FF5815
5	255	86	21	#FF5615
6	255	85	20	#FF5514
7	255	83	20	#FF5314
8	255	82	19	#FF5213
9	255	80	19	#FF5013
10	255	79	18	#FF4F12
11	255	78	18	#FF4E12
12	255	76	17	#FF4C11
13	255	75	17	#FF4B11
14	255	73	16	#FF4910
15	255	72	16	#FF4810
16	255	70	15	#FF460F
17	255	69	15	#FF450F
18	255	67	14	#FF430E
19	255	66	14	#FF420E
20	255	64	13	#FF400D
21	255	63	13	#FF3F0D
22	255	61	12	#FF3D0C
23	255	60	12	#FF3C0C
24	255	58	12	#FF3A0C
25	255	57	11	#FF390B
26	255	55	11	#FF370B
27	255	54	10	#FF360A
28	255	52	10	#FF340A
29	255	51	9	#FF3309
30	255	49	9	#FF3109
31	255	48	8	#FF3008
32	255	46	8	#FF2E08
33	255	45	7	#FF2D07
34	255	43	7	#FF2B07
35	255	42	6	#FF2A06
36	255	40	6	#FF2806
37	255	39	5	#FF2705
38	255	37	5	#FF2505
39	255	36	4	#FF2404
40	255	34	4	#FF2204
41	255	33	3	#FF2103
42	255	31	3	#FF1F03
43	255	30	2	#FF1E02
44	255	28	2	#FF1C02
45	255	27	1	#FF1B01
46	255	25	1	#FF1901
47	255	24	0	#FF1800
48	255	22	0	#FF1600
49	255	21	0	#FF1500
50	254	21	0	#FE1500
51	253	21	0	#FD1500
52	252	21	0	#FC1500
53	251	20	0	#FB1400
54	249	20	0	#F91400
55	248	20	0	#F81400
56	247	20	0	#F71400
57	246	20	0	#F61400
58	244	20	0	#F41400
59	243	20	0	#F31400
60	242	20	0	#F21400
61	241	20	0	#F11400
62	239	19	0	#EF1300
63	238	19	0	#EE1300
64	237	19	0	#ED1300
65	236	19	0	#EC1300
66	234	19	0	#EA1300
67	233	19	0	#E91300
68	232	19	0	#E81300
69	231	19	0	#E71300
70	229	19	0	#E51300
71	228	19	0	#E41300
72	227	18	0	#E31200
73	226	18	0	#E21200
74	224	18	0	#E01200
75	223	18	0	#DF1200
76	222	18	0	#DE1200
77	221	18	0	#DD1200
78	219	18	0	#DB1200
79	218	18	0	#DA1200
80	217	18	0	#D91200
81	216	18	0	#D81200
82	214	17	0	#D61100
83	213	17	0	#D51100
84	212	17	0	#D41100
85	211	17	0	#D31100
86	210	17	0	#D21100
87	208	17	0	#D01100
88	207	17	0	#CF1100
89	206	17	0	#CE1100
90	205	17	0	#CD1100
91	203	16	0	#CB1000
92	202	16	0	#CA1000
93	201	16	0	#C91000
94	200	16	0	#C81000
95	198	16	0	#C61000
96	197	16	0	#C51000
97	196	16	0	#C41000
98	195	16	0	#C31000
99	193	16	0	#C11000
100	192	16	0	#C01000
