index	r	g	b	hex
0	255	255	255	#FFFFFF
1	25	25	25	#191919
2	200	161	113	#C8A171
3	154	42	46	#9A2A2E
4	147	118	83	#937653
5	135	33	37	#872125
6	116	24	29	#74181D
7	107	108	102	#6B6C66
8	91	137	45	#5B892D
9	45	91	45	#2D5B2D
10	165	16	19	#A51013
11	64	0	2	#400002
12	110	21	24	#6E1518
13	114	25	29	#72191D
14	91	16	21	#5B1015
15	41	34	35	#292223
16	9	0	8	#090008
17	17	14	20	#110E14
18	6	6	8	#060608
19	107	108	136	#6B6C88
20	2	3	7	#020307
21	163	178	212	#A3B2D4
22	10	27	51	#0A1B33
23	19	44	77	#132C4D
24	32	65	108	#20416C
25	50	86	135	#325687
26	102	102	153	#666699
27	8	15	21	#080F15
28	0	127	191	#007FBF
29	0	93	139	#005D8B
30	74	124	149	#4A7C95
31	112	161	184	#70A1B8
32	97	145	162	#6191A2
33	2	9	10	#02090A
34	1	5	5	#010505
35	8	14	10	#080E0A
36	50	59	52	#323B34
37	23	102	24	#176618
38	20	50	20	#143214
39	23	56	23	#173817
40	31	66	31	#1F421F
41	35	74	35	#234A23
42	40	81	40	#285128
43	34	68	34	#224422
44	14	15	14	#0E0F0E
45	15	31	12	#0F1F0C
46	33	62	27	#213E1B
47	56	61	55	#383D37
48	21	44	15	#152C0F
49	17	38	11	#11260B
50	20	40	14	#14280E
51	27	54	19	#1B3613
52	42	49	40	#2A3128
53	24	51	15	#18330F
54	22	47	14	#162F0E
55	35	70	23	#234617
56	31	63	19	#1F3F13
57	21	43	11	#152B0B
58	1	3	0	#010300
59	27	53	14	#1B350E
60	28	56	15	#1C380F
61	33	65	18	#214112
62	36	69	19	#244513
63	46	84	23	#2E5417
64	35	64	18	#234012
65	28	51	15	#1C330F
66	3	6	1	#030601
67	34	59	17	#223B11
68	45	79	23	#2D4F17
69	27	47	14	#1B2F0E
70	36	63	19	#243F13
71	52	58	48	#343A30
72	71	111	35	#476F23
73	42	75	9	#2A4B09
74	50	89	12	#32590C
75	55	96	16	#376010
76	68	103	34	#446722
77	82	122	42	#527A2A
78	54	60	48	#363C30
79	59	61	57	#3B3D39
80	50	88	11	#32580B
81	50	85	12	#32550C
82	7	13	0	#070D00
83	57	97	9	#396109
84	55	94	12	#375E0C
85	48	79	12	#304F0C
86	64	105	16	#406910
87	59	89	25	#3B5919
88	77	113	35	#4D7123
89	67	98	26	#43621A
90	77	112	31	#4D701F
91	73	106	31	#496A1F
92	86	123	35	#567B23
93	64	92	26	#405C1A
94	85	119	33	#557721
95	52	56	46	#34382E
96	17	19	13	#11130D
97	47	50	41	#2F3229
98	50	53	44	#32352C
99	52	55	46	#34372E
100	55	58	49	#373A31
101	57	60	51	#393C33
102	59	62	53	#3B3E35
103	61	64	55	#3D4037
104	66	69	60	#42453C
105	68	71	62	#44473E
106	81	84	75	#51544B
107	57	59	53	#393B35
108	58	60	54	#3A3C36
109	91	94	85	#5B5E55
110	108	111	102	#6C6F66
111	82	84	78	#52544E
112	85	87	81	#555751
113	107	108	105	#6B6C69
114	135	136	133	#878885
115	77	82	65	#4D5241
116	77	81	68	#4D5144
117	20	22	15	#14160F
118	65	68	57	#414439
119	114	118	104	#727668
120	118	121	110	#76796E
121	116	119	108	#74776C
122	102	104	97	#666861
123	99	101	94	#63655E
124	240	248	216	#F0F8D8
125	106	108	100	#6A6C64
126	119	121	113	#777971
127	101	102	98	#656662
128	116	117	113	#747571
129	142	143	139	#8E8F8B
130	44	47	34	#2C2F22
131	60	62	53	#3C3E35
132	81	84	69	#515445
133	99	102	88	#636658
134	80	81	76	#50514C
135	87	88	83	#575853
136	46	48	37	#2E3025
137	63	64	58	#3F403A
138	72	73	67	#484943
139	106	107	101	#6A6B65
140	13	14	6	#0D0E06
141	23	24	16	#171810
142	50	51	43	#32332B
143	55	56	48	#373830
144	65	66	58	#41423A
145	64	65	57	#404139
146	56	57	50	#383932
147	70	71	63	#46473F
148	62	63	56	#3E3F38
149	108	109	101	#6C6D65
150	112	113	106	#70716A
151	29	30	21	#1D1E15
152	31	32	22	#1F2016
153	81	82	72	#515248
154	103	104	93	#67685D
155	62	63	50	#3E3F32
156	1	1	0	#010100
157	9	9	5	#090905
158	16	16	10	#10100A
159	26	26	18	#1A1A12
160	59	59	44	#3B3B2C
161	255	255	204	#FFFFCC
162	88	88	81	#585851
163	66	66	61	#42423D
164	147	147	141	#93938D
165	152	152	147	#989893
166	84	83	76	#54534C
167	43	42	36	#2B2A24
168	5	4	0	#050400
169	129	119	78	#81774E
170	172	161	117	#ACA175
171	150	138	91	#968A5B
172	226	220	201	#E2DCC9
173	199	169	80	#C7A950
174	146	124	59	#927C3B
175	106	90	43	#6A5A2B
176	87	84	76	#57544C
177	69	62	47	#453E2F
178	171	156	123	#AB9C7B
179	199	187	159	#C7BB9F
180	222	212	189	#DED4BD
181	71	68	61	#47443D
182	3	2	0	#030200
183	176	125	27	#B07D1B
184	68	64	56	#444038
185	67	63	55	#433F37
186	109	106	100	#6D6A64
187	44	43	41	#2C2B29
188	154	101	9	#9A6509
189	98	88	69	#625845
190	129	121	106	#81796A
191	113	106	93	#716A5D
192	96	90	79	#605A4F
193	81	76	67	#514C43
194	227	153	28	#E3991C
195	220	156	49	#DC9C31
196	115	96	64	#736040
197	149	132	103	#958467
198	94	88	78	#5E584E
199	170	106	11	#AA6A0B
200	173	171	168	#ADABA8
201	86	73	56	#564938
202	84	57	25	#543919
203	110	88	62	#6E583E
204	150	121	85	#967955
205	103	87	68	#675744
206	126	107	84	#7E6B54
207	126	109	89	#7E6D59
208	221	136	45	#DD882D
209	255	181	101	#FFB565
210	119	92	62	#775C3E
211	162	125	85	#A27D55
212	65	52	37	#413425
213	53	47	40	#352F28
214	148	74	0	#944A00
215	127	63	0	#7F3F00
216	102	51	0	#663300
217	90	45	0	#5A2D00
218	173	105	34	#AD6922
219	78	62	45	#4E3E2D
220	253	202	150	#FDCA96
221	204	162	121	#CCA279
222	102	85	67	#665543
223	61	30	0	#3D1E00
224	218	120	27	#DA781B
225	255	153	62	#FF993E
226	51	38	26	#33261A
227	153	121	91	#99795B
228	253	122	26	#FD7A1A
229	105	101	98	#696562
230	163	71	8	#A34708
231	237	102	20	#ED6614
232	210	90	24	#D25A18
233	209	85	18	#D15512
234	187	67	14	#BB430E
235	227	71	28	#E3471C
236	173	69	38	#AD4526
237	131	39	16	#832710
238	221	85	49	#DD5531
239	68	27	17	#441B11
240	170	48	21	#AA3015
241	131	19	9	#831309
242	218	41	27	#DA291B
243	172	41	29	#AC291D
244	221	54	41	#DD3629
245	189	69	63	#BD453F
246	204	80	74	#CC504A
247	131	0	0	#830000
248	99	0	0	#630000
249	165	3	3	#A50303
250	6	1	1	#060101
251	12	11	11	#0C0B0B
252	238	238	238	#EEEEEE
253	194	194	194	#C2C2C2
254	143	143	143	#8F8F8F
255	0	0	0	#000000
