member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	bitmap	gold_background	0			bitmaps/00004_gold_background.png
4	bitmap	gold_background	0	60	BITD	raw_chunks/00004_gold_background_60_BITD.bin
6	text	memberalias.index	0	64	STXT	text/00006_memberalias.index_stxt_0.txt
6	text	memberalias.index	0	64	STXT	raw_chunks/00006_memberalias.index_64_STXT.bin
8	text	cafe_gold0.room	0	68	STXT	text/00008_cafe_gold0.room_stxt_0.txt
8	text	cafe_gold0.room	0	68	STXT	raw_chunks/00008_cafe_gold0.room_68_STXT.bin
10	bitmap	gold_water2a	0			bitmaps/00010_gold_water2a.png
10	bitmap	gold_water2a	0	72	BITD	raw_chunks/00010_gold_water2a_72_BITD.bin
11	bitmap	gold_water2b	0			bitmaps/00011_gold_water2b.png
11	bitmap	gold_water2b	0	74	BITD	raw_chunks/00011_gold_water2b_74_BITD.bin
12	bitmap	gold_water2c	0			bitmaps/00012_gold_water2c.png
12	bitmap	gold_water2c	0	76	BITD	raw_chunks/00012_gold_water2c_76_BITD.bin
13	bitmap	gold_water2d	0			bitmaps/00013_gold_water2d.png
13	bitmap	gold_water2d	0	78	BITD	raw_chunks/00013_gold_water2d_78_BITD.bin
14	bitmap	gold_water2e	0			bitmaps/00014_gold_water2e.png
14	bitmap	gold_water2e	0	80	BITD	raw_chunks/00014_gold_water2e_80_BITD.bin
15	bitmap	gold_water2f	0			bitmaps/00015_gold_water2f.png
15	bitmap	gold_water2f	0	82	BITD	raw_chunks/00015_gold_water2f_82_BITD.bin
16	bitmap	gold_water2g	0			bitmaps/00016_gold_water2g.png
16	bitmap	gold_water2g	0	84	BITD	raw_chunks/00016_gold_water2g_84_BITD.bin
17	bitmap	gold_water2h	0			bitmaps/00017_gold_water2h.png
17	bitmap	gold_water2h	0	86	BITD	raw_chunks/00017_gold_water2h_86_BITD.bin
18	bitmap	gold_water2i	0			bitmaps/00018_gold_water2i.png
18	bitmap	gold_water2i	0	88	BITD	raw_chunks/00018_gold_water2i_88_BITD.bin
19	bitmap	gold_water2j	0			bitmaps/00019_gold_water2j.png
19	bitmap	gold_water2j	0	90	BITD	raw_chunks/00019_gold_water2j_90_BITD.bin
20	bitmap	gold_water2k	0			bitmaps/00020_gold_water2k.png
20	bitmap	gold_water2k	0	92	BITD	raw_chunks/00020_gold_water2k_92_BITD.bin
21	bitmap	gold_water2l	0			bitmaps/00021_gold_water2l.png
21	bitmap	gold_water2l	0	94	BITD	raw_chunks/00021_gold_water2l_94_BITD.bin
23	text	gold_chair.props	0	98	STXT	text/00023_gold_chair.props_stxt_0.txt
23	text	gold_chair.props	0	98	STXT	raw_chunks/00023_gold_chair.props_98_STXT.bin
24	bitmap	gold_chair_a_0_2_0	0			bitmaps/00024_gold_chair_a_0_2_0.png
24	bitmap	gold_chair_a_0_2_0	0	100	BITD	raw_chunks/00024_gold_chair_a_0_2_0_100_BITD.bin
25	bitmap	gold_chair_a_0_6_0	0			bitmaps/00025_gold_chair_a_0_6_0.png
25	bitmap	gold_chair_a_0_6_0	0	102	BITD	raw_chunks/00025_gold_chair_a_0_6_0_102_BITD.bin
26	bitmap	gold_chair_b_0_6_0	0			bitmaps/00026_gold_chair_b_0_6_0.png
26	bitmap	gold_chair_b_0_6_0	0	104	BITD	raw_chunks/00026_gold_chair_b_0_6_0_104_BITD.bin
27	bitmap	goldkayde_1	0			bitmaps/00027_goldkayde_1.png
27	bitmap	goldkayde_1	0	106	BITD	raw_chunks/00027_goldkayde_1_106_BITD.bin
28	bitmap	goldkayde_3	0			bitmaps/00028_goldkayde_3.png
28	bitmap	goldkayde_3	0	108	BITD	raw_chunks/00028_goldkayde_3_108_BITD.bin
29	bitmap	goldkayde_4	0			bitmaps/00029_goldkayde_4.png
29	bitmap	goldkayde_4	0	110	BITD	raw_chunks/00029_goldkayde_4_110_BITD.bin
30	bitmap	goldkayde_5	0			bitmaps/00030_goldkayde_5.png
30	bitmap	goldkayde_5	0	112	BITD	raw_chunks/00030_goldkayde_5_112_BITD.bin
31	bitmap	goldkayde_6	0			bitmaps/00031_goldkayde_6.png
31	bitmap	goldkayde_6	0	114	BITD	raw_chunks/00031_goldkayde_6_114_BITD.bin
32	bitmap	goldkayde_7	0			bitmaps/00032_goldkayde_7.png
32	bitmap	goldkayde_7	0	116	BITD	raw_chunks/00032_goldkayde_7_116_BITD.bin
33	bitmap	goldkayde_2	0			bitmaps/00033_goldkayde_2.png
33	bitmap	goldkayde_2	0	118	BITD	raw_chunks/00033_goldkayde_2_118_BITD.bin
34	bitmap	gold_bar_masky	0			bitmaps/00034_gold_bar_masky.png
34	bitmap	gold_bar_masky	0	120	BITD	raw_chunks/00034_gold_bar_masky_120_BITD.bin
35	bitmap	gold_mask1	0			bitmaps/00035_gold_mask1.png
35	bitmap	gold_mask1	0	122	BITD	raw_chunks/00035_gold_mask1_122_BITD.bin
36	bitmap	gold_table_small1_a_0_0_0	0			bitmaps/00036_gold_table_small1_a_0_0_0.png
36	bitmap	gold_table_small1_a_0_0_0	0	124	BITD	raw_chunks/00036_gold_table_small1_a_0_0_0_124_BITD.bin
37	bitmap	gold_plant_a_0_0_0	0			bitmaps/00037_gold_plant_a_0_0_0.png
37	bitmap	gold_plant_a_0_0_0	0	126	BITD	raw_chunks/00037_gold_plant_a_0_0_0_126_BITD.bin
38	bitmap	gold_chair_b_0_2_0	0			bitmaps/00038_gold_chair_b_0_2_0.png
38	bitmap	gold_chair_b_0_2_0	0	128	BITD	raw_chunks/00038_gold_chair_b_0_2_0_128_BITD.bin
39	bitmap	hiliter_gold	0			bitmaps/00039_hiliter_gold.png
39	bitmap	hiliter_gold	0	130	BITD	raw_chunks/00039_hiliter_gold_130_BITD.bin
40	bitmap	gold_exit	0			bitmaps/00040_gold_exit.png
40	bitmap	gold_exit	0	132	BITD	raw_chunks/00040_gold_exit_132_BITD.bin
41	bitmap	gold_waterdark	0			bitmaps/00041_gold_waterdark.png
41	bitmap	gold_waterdark	0	134	BITD	raw_chunks/00041_gold_waterdark_134_BITD.bin
42	bitmap	gold_bardesk1_a_0_0_0	0			bitmaps/00042_gold_bardesk1_a_0_0_0.png
42	bitmap	gold_bardesk1_a_0_0_0	0	136	BITD	raw_chunks/00042_gold_bardesk1_a_0_0_0_136_BITD.bin
43	bitmap	gold_bardesk2_a_0_0_0	0			bitmaps/00043_gold_bardesk2_a_0_0_0.png
43	bitmap	gold_bardesk2_a_0_0_0	0	138	BITD	raw_chunks/00043_gold_bardesk2_a_0_0_0_138_BITD.bin
44	bitmap	gold_bardesk3_a_0_0_0	0			bitmaps/00044_gold_bardesk3_a_0_0_0.png
44	bitmap	gold_bardesk3_a_0_0_0	0	140	BITD	raw_chunks/00044_gold_bardesk3_a_0_0_0_140_BITD.bin
45	bitmap	gold_bardesk4_a_0_0_0	0			bitmaps/00045_gold_bardesk4_a_0_0_0.png
45	bitmap	gold_bardesk4_a_0_0_0	0	142	BITD	raw_chunks/00045_gold_bardesk4_a_0_0_0_142_BITD.bin
46	bitmap	gold_bardesk5_a_0_0_0	0			bitmaps/00046_gold_bardesk5_a_0_0_0.png
46	bitmap	gold_bardesk5_a_0_0_0	0	144	BITD	raw_chunks/00046_gold_bardesk5_a_0_0_0_144_BITD.bin
47	bitmap	gold_table_small2_a_0_0_0	0			bitmaps/00047_gold_table_small2_a_0_0_0.png
47	bitmap	gold_table_small2_a_0_0_0	0	146	BITD	raw_chunks/00047_gold_table_small2_a_0_0_0_146_BITD.bin
48	bitmap	adframe_cafe_gold0_left	0			bitmaps/00048_adframe_cafe_gold0_left.png
48	bitmap	adframe_cafe_gold0_left	0	148	BITD	raw_chunks/00048_adframe_cafe_gold0_left_148_BITD.bin
49	bitmap	ad_pixel	0			bitmaps/00049_ad_pixel.png
49	bitmap	ad_pixel	0	150	BITD	raw_chunks/00049_ad_pixel_150_BITD.bin
