index	r	g	b	hex
0	255	255	255	#FFFFFF
1	237	238	237	#EDEEED
2	193	234	243	#C1EAF3
3	229	226	202	#E5E2CA
4	167	225	237	#A7E1ED
5	157	223	238	#9DDFEE
6	170	215	225	#AAD7E1
7	183	200	211	#B7C8D3
8	142	213	228	#8ED5E4
9	153	207	219	#99CFDB
10	193	193	191	#C1C1BF
11	204	188	169	#CCBCA9
12	212	202	138	#D4CA8A
13	132	201	215	#84C9D7
14	163	184	199	#A3B8C7
15	178	178	178	#B2B2B2
16	184	186	154	#B8BA9A
17	206	188	122	#CEBC7A
18	183	170	158	#B7AA9E
19	221	211	77	#DDD34D
20	164	158	177	#A49EB1
21	141	168	186	#8DA8BA
22	173	165	150	#ADA596
23	171	174	137	#ABAE89
24	110	178	184	#6EB2B8
25	156	156	149	#9C9C95
26	150	151	160	#9697A0
27	162	165	124	#A2A57C
28	255	187	0	#FFBB00
29	214	177	41	#D6B129
30	179	151	102	#B39766
31	144	146	115	#909273
32	166	141	92	#A68D5C
33	138	139	115	#8A8B73
34	135	136	113	#878871
35	198	160	16	#C6A010
36	152	129	88	#988158
37	128	130	102	#808266
38	158	114	75	#9E724B
39	126	129	91	#7E815B
40	108	109	110	#6C6D6E
41	72	115	138	#48738A
42	174	108	22	#AE6C16
43	103	102	69	#676645
44	64	96	97	#406061
45	85	85	85	#555555
46	101	91	60	#655B3C
47	137	87	16	#895710
48	59	83	98	#3B5362
49	108	76	50	#6C4C32
50	95	68	68	#5F4444
51	82	84	64	#525440
52	70	70	70	#464646
53	107	66	12	#6B420C
54	63	63	52	#3F3F34
55	36	56	69	#243845
56	47	48	32	#2F3020
57	24	44	45	#182C2D
58	33	34	24	#212218
59	19	27	33	#131B21
60	14	28	30	#0E1C1E
61	22	23	16	#161710
62	51	0	0	#330000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
