index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	0	0	0	#000000
3	0	0	0	#000000
4	0	0	0	#000000
5	0	0	0	#000000
6	0	0	0	#000000
7	0	0	0	#000000
8	0	0	0	#000000
9	0	0	0	#000000
10	0	0	0	#000000
11	0	0	0	#000000
12	0	0	0	#000000
13	0	0	0	#000000
14	0	0	0	#000000
15	0	0	0	#000000
16	0	0	0	#000000
17	0	0	0	#000000
18	0	0	0	#000000
19	0	0	0	#000000
20	0	0	0	#000000
21	0	0	0	#000000
22	0	0	0	#000000
23	0	0	0	#000000
24	0	0	0	#000000
25	0	0	0	#000000
26	0	0	0	#000000
27	0	0	0	#000000
28	0	0	0	#000000
29	0	0	0	#000000
30	0	0	0	#000000
31	0	0	0	#000000
32	238	238	238	#EEEEEE
33	187	187	187	#BBBBBB
34	136	136	136	#888888
35	110	110	110	#6E6E6E
36	85	85	85	#555555
37	0	0	0	#000000
38	0	0	0	#000000
39	0	0	0	#000000
40	0	0	0	#000000
41	0	0	0	#000000
42	0	0	0	#000000
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	156	202	156	#9CCA9C
65	121	211	121	#79D379
66	64	191	64	#40BF40
67	30	122	30	#1E7A1E
68	26	60	26	#1A3C1A
69	0	17	0	#001100
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	255	228	204	#FFE4CC
97	255	181	127	#FFB57F
98	255	133	92	#FF855C
99	255	102	51	#FF6633
100	255	79	20	#FF4F14
101	215	53	0	#D73500
102	166	41	0	#A62900
103	117	29	0	#751D00
104	66	16	0	#421000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	235	217	199	#EBD9C7
129	211	171	131	#D3AB83
130	190	132	74	#BE844A
131	140	97	54	#8C6136
132	91	61	35	#5B3D23
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	179	252	255	#B3FCFF
161	176	234	238	#B0EAEE
162	111	215	221	#6FD7DD
163	84	220	227	#54DCE3
164	91	182	186	#5BB6BA
165	55	144	149	#379095
166	57	114	117	#397275
167	32	80	66	#205042
168	27	69	57	#1B4539
169	16	40	33	#102821
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	255	217	158	#FFD99E
193	255	153	0	#FF9900
194	204	102	0	#CC6600
195	168	84	0	#A85400
196	228	142	163	#E48EA3
197	132	105	71	#846947
198	211	11	85	#D30B55
199	204	102	0	#CC6600
200	187	102	17	#BB6611
201	167	90	48	#A75A30
202	23	123	138	#177B8A
203	119	93	63	#775D3F
204	97	99	79	#61634F
205	52	169	52	#34A934
206	194	44	33	#C22C21
207	215	53	0	#D73500
208	167	97	1	#A76101
209	255	0	0	#FF0000
210	85	85	85	#555555
211	168	84	0	#A85400
212	163	27	60	#A31B3C
213	0	88	161	#0058A1
214	181	0	67	#B50043
215	163	29	55	#A31D37
216	90	81	76	#5A514C
217	99	78	53	#634E35
218	0	82	136	#005288
219	135	24	51	#871833
220	152	0	56	#980038
221	1	82	122	#01527A
222	153	51	0	#993300
223	0	204	0	#00CC00
224	138	23	31	#8A171F
225	106	56	29	#6A381D
226	140	49	0	#8C3100
227	187	0	0	#BB0000
228	91	61	35	#5B3D23
229	255	255	153	#FFFF99
230	255	204	0	#FFCC00
231	255	204	153	#FFCC99
232	204	153	102	#CC9966
233	255	153	51	#FF9933
234	204	102	0	#CC6600
235	204	102	51	#CC6633
236	153	51	0	#993300
237	51	0	0	#330000
238	102	0	51	#660033
239	153	204	255	#99CCFF
240	51	153	204	#3399CC
241	0	204	0	#00CC00
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
