member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
6	bitmap	floor_plain_tiles	0			bitmaps/00006_floor_plain_tiles.png
6	bitmap	floor_plain_tiles	0	875	BITD	raw_chunks/00006_floor_plain_tiles_875_BITD.bin
7	bitmap	hw_table3_a_0_0_0	0			bitmaps/00007_hw_table3_a_0_0_0.png
7	bitmap	hw_table3_a_0_0_0	0	1045	BITD	raw_chunks/00007_hw_table3_a_0_0_0_1045_BITD.bin
9	bitmap	background_pixel	0			bitmaps/00009_background_pixel.png
9	bitmap	background_pixel	0	869	BITD	raw_chunks/00009_background_pixel_869_BITD.bin
12	bitmap	floor_mat_straight	0			bitmaps/00012_floor_mat_straight.png
12	bitmap	floor_mat_straight	0	877	BITD	raw_chunks/00012_floor_mat_straight_877_BITD.bin
13	bitmap	floor_mat_upper_end	0			bitmaps/00013_floor_mat_upper_end.png
13	bitmap	floor_mat_upper_end	0	879	BITD	raw_chunks/00013_floor_mat_upper_end_879_BITD.bin
14	bitmap	floor_mat_lower_end	0			bitmaps/00014_floor_mat_lower_end.png
14	bitmap	floor_mat_lower_end	0	881	BITD	raw_chunks/00014_floor_mat_lower_end_881_BITD.bin
17	bitmap	floor_mat_upper_crossroad	0			bitmaps/00017_floor_mat_upper_crossroad.png
17	bitmap	floor_mat_upper_crossroad	0	889	BITD	raw_chunks/00017_floor_mat_upper_crossroad_889_BITD.bin
18	bitmap	floor_mat_lower_crossroad	0			bitmaps/00018_floor_mat_lower_crossroad.png
18	bitmap	floor_mat_lower_crossroad	0	891	BITD	raw_chunks/00018_floor_mat_lower_crossroad_891_BITD.bin
19	bitmap	floor_mat_middle_crossroad	0			bitmaps/00019_floor_mat_middle_crossroad.png
19	bitmap	floor_mat_middle_crossroad	0	893	BITD	raw_chunks/00019_floor_mat_middle_crossroad_893_BITD.bin
20	bitmap	floor_right_thickness	0			bitmaps/00020_floor_right_thickness.png
20	bitmap	floor_right_thickness	0	895	BITD	raw_chunks/00020_floor_right_thickness_895_BITD.bin
21	bitmap	floor_left_thickness	0			bitmaps/00021_floor_left_thickness.png
21	bitmap	floor_left_thickness	0	897	BITD	raw_chunks/00021_floor_left_thickness_897_BITD.bin
22	bitmap	wall_upper_left_basic	0			bitmaps/00022_wall_upper_left_basic.png
22	bitmap	wall_upper_left_basic	0	899	BITD	raw_chunks/00022_wall_upper_left_basic_899_BITD.bin
23	bitmap	wall_upper_right_basic	0			bitmaps/00023_wall_upper_right_basic.png
23	bitmap	wall_upper_right_basic	0	901	BITD	raw_chunks/00023_wall_upper_right_basic_901_BITD.bin
24	bitmap	wall_upper_mask	0			bitmaps/00024_wall_upper_mask.png
24	bitmap	wall_upper_mask	0	903	BITD	raw_chunks/00024_wall_upper_mask_903_BITD.bin
