index	r	g	b	hex
0	255	255	255	#FFFFFF
1	49	0	0	#310000
2	81	0	0	#510000
3	115	0	0	#730000
4	119	27	9	#771B09
5	157	37	0	#9D2500
6	188	82	0	#BC5200
7	0	0	0	#000000
8	77	35	18	#4D2312
9	97	54	31	#61361F
10	117	74	44	#754A2C
11	137	94	57	#895E39
12	157	113	70	#9D7146
13	177	128	74	#B1804A
14	199	149	86	#C79556
15	221	170	99	#DDAA63
16	242	190	112	#F2BE70
17	0	0	0	#000000
18	69	14	0	#450E00
19	90	26	6	#5A1A06
20	113	47	22	#712F16
21	125	65	34	#7D4122
22	146	80	48	#925030
23	175	105	71	#AF6947
24	0	0	0	#000000
25	29	38	38	#1D2626
26	43	56	56	#2B3838
27	76	78	65	#4C4E41
28	102	108	81	#666C51
29	97	102	77	#61664D
30	56	80	79	#38504F
31	43	62	61	#2B3E3D
32	0	0	0	#000000
33	114	43	25	#722B19
34	168	97	33	#A86121
35	155	59	34	#9B3B22
36	180	116	60	#B4743C
37	190	93	68	#BE5D44
38	203	132	68	#CB8444
39	149	73	53	#954935
40	0	0	0	#000000
41	0	0	0	#000000
42	0	0	0	#000000
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
