index	r	g	b	hex
0	255	255	255	#FFFFFF
1	130	130	130	#828282
2	103	125	163	#677DA3
3	129	154	195	#819AC3
4	150	181	225	#96B5E1
5	45	147	253	#2D93FD
6	212	233	254	#D4E9FE
7	182	200	209	#B6C8D1
8	193	208	213	#C1D0D5
9	227	240	244	#E3F0F4
10	130	175	70	#82AF46
11	227	253	18	#E3FD12
12	254	253	225	#FEFDE1
13	238	230	185	#EEE6B9
14	222	217	187	#DED9BB
15	198	189	142	#C6BD8E
16	239	233	201	#EFE9C9
17	253	218	155	#FDDA9B
18	112	99	76	#70634C
19	210	179	128	#D2B380
20	198	169	121	#C6A979
21	138	100	77	#8A644D
22	115	84	66	#735442
23	255	145	94	#FF915E
24	198	86	39	#C65627
25	152	68	34	#984422
26	253	253	253	#FDFDFD
27	239	239	239	#EFEFEF
28	225	225	225	#E1E1E1
29	205	205	205	#CDCDCD
30	177	177	177	#B1B1B1
31	167	167	167	#A7A7A7
32	154	154	154	#9A9A9A
33	0	0	0	#000000
34	0	0	0	#000000
35	0	0	0	#000000
36	0	0	0	#000000
37	0	0	0	#000000
38	0	0	0	#000000
39	0	0	0	#000000
40	0	0	0	#000000
41	0	0	0	#000000
42	0	0	0	#000000
43	0	0	0	#000000
44	0	0	0	#000000
45	0	0	0	#000000
46	0	0	0	#000000
47	0	0	0	#000000
48	0	0	0	#000000
49	0	0	0	#000000
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
