index	r	g	b	hex
0	255	255	255	#FFFFFF
1	246	0	255	#F600FF
2	208	106	218	#D06ADA
3	151	101	197	#9765C5
4	43	57	141	#2B398D
5	132	146	231	#8492E7
6	17	30	89	#111E59
7	59	95	173	#3B5FAD
8	0	51	102	#003366
9	102	153	204	#6699CC
10	21	41	57	#152939
11	79	152	210	#4F98D2
12	80	153	210	#5099D2
13	38	72	97	#264861
14	40	75	101	#284B65
15	41	76	102	#294C66
16	43	79	106	#2B4F6A
17	40	74	99	#284A63
18	42	77	103	#2A4D67
19	35	64	86	#234056
20	48	87	117	#305775
21	44	80	107	#2C506B
22	44	79	105	#2C4F69
23	188	208	224	#BCD0E0
24	41	76	101	#294C65
25	43	80	105	#2B5069
26	43	79	105	#2B4F69
27	42	78	102	#2A4E66
28	43	78	103	#2B4E67
29	42	77	101	#2A4D65
30	45	82	107	#2D526B
31	45	81	107	#2D516B
32	44	80	105	#2C5069
33	44	79	103	#2C4F67
34	46	82	107	#2E526B
35	20	41	54	#142936
36	23	46	61	#172E3D
37	23	45	59	#172D3B
38	28	54	71	#1C3647
39	22	43	56	#162B38
40	26	48	62	#1A303E
41	55	136	181	#3788B5
42	22	46	60	#162E3C
43	21	43	56	#152B38
44	22	44	57	#162C39
45	154	203	230	#9ACBE6
46	145	165	176	#91A5B0
47	218	234	243	#DAEAF3
48	71	89	98	#475962
49	171	203	220	#ABCBDC
50	172	204	221	#ACCCDD
51	218	235	244	#DAEBF4
52	217	234	243	#D9EAF3
53	171	204	220	#ABCCDC
54	44	87	104	#2C5768
55	40	82	98	#285262
56	43	87	104	#2B5768
57	44	88	104	#2C5868
58	53	100	117	#356475
59	51	95	111	#335F6F
60	71	134	154	#47869A
61	94	174	201	#5EAEC9
62	82	144	165	#5290A5
63	36	62	71	#243E47
64	119	183	204	#77B7CC
65	41	78	89	#294E59
66	51	92	103	#335C67
67	10	27	31	#0A1B1F
68	15	36	41	#0F2429
69	100	200	225	#64C8E1
70	139	218	237	#8BDAED
71	13	29	32	#0D1D20
72	58	94	100	#3A5E64
73	19	41	44	#13292C
74	25	51	55	#193337
75	70	107	113	#466B71
76	49	82	86	#315256
77	60	95	99	#3C5F63
78	154	222	230	#9ADEE6
79	0	139	149	#008B95
80	88	179	184	#58B3B8
81	104	207	211	#68CFD3
82	213	243	244	#D5F3F4
83	0	72	73	#004849
84	14	165	166	#0EA5A6
85	35	184	185	#23B8B9
86	90	178	180	#5AB2B4
87	5	8	8	#050808
88	36	80	78	#24504E
89	40	83	81	#285351
90	62	126	124	#3E7E7C
91	61	124	122	#3D7C7A
92	61	123	121	#3D7B79
93	119	203	201	#77CBC9
94	42	88	85	#2A5855
95	61	124	121	#3D7C79
96	62	125	122	#3E7D7A
97	91	171	166	#5BABA6
98	37	80	76	#25504C
99	36	78	75	#244E4B
100	61	124	119	#3D7C77
101	63	127	122	#3F7F7A
102	62	125	120	#3E7D78
103	51	103	99	#336763
104	63	126	121	#3F7E79
105	73	102	96	#496660
106	80	196	167	#50C4A7
107	5	8	7	#050807
108	2	4	3	#020403
109	3	5	4	#030504
110	78	80	79	#4E504F
111	4	7	5	#040705
112	62	96	66	#3E6042
113	62	95	65	#3E5F41
114	108	113	107	#6C716B
115	150	187	135	#96BB87
116	149	187	135	#95BB87
117	150	187	136	#96BB88
118	29	51	19	#1D3313
119	12	31	3	#0C1F03
120	13	32	4	#0D2004
121	13	31	4	#0D1F04
122	35	73	13	#23490D
123	52	105	21	#346915
124	68	129	26	#44811A
125	55	77	38	#374D26
126	56	78	39	#384E27
127	26	52	3	#1A3403
128	46	83	13	#2E530D
129	65	114	22	#417216
130	56	77	38	#384D26
131	73	92	54	#495C36
132	102	118	86	#667656
133	13	24	1	#0D1801
134	28	45	10	#1C2D0A
135	73	92	53	#495C35
136	102	118	85	#667655
137	91	104	77	#5B684D
138	74	92	54	#4A5C36
139	102	117	85	#667555
140	37	55	14	#25370E
141	65	98	17	#416211
142	65	98	18	#416212
143	73	111	21	#496F15
144	74	111	21	#4A6F15
145	74	111	22	#4A6F16
146	55	79	23	#374F17
147	44	67	9	#2C4309
148	43	66	9	#2B4209
149	52	78	12	#344E0C
