member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
5	bitmap	counter1	0			bitmaps/00005_counter1.png
5	bitmap	counter1	0	435	BITD	raw_chunks/00005_counter1_435_BITD.bin
6	bitmap	counter2	0			bitmaps/00006_counter2.png
6	bitmap	counter2	0	437	BITD	raw_chunks/00006_counter2_437_BITD.bin
11	bitmap	counter5	0			bitmaps/00011_counter5.png
11	bitmap	counter5	0	443	BITD	raw_chunks/00011_counter5_443_BITD.bin
13	bitmap	adframe_library_left	0			bitmaps/00013_adframe_library_left.png
13	bitmap	adframe_library_left	0	308	BITD	raw_chunks/00013_adframe_library_left_308_BITD.bin
15	bitmap	left_mask	0			bitmaps/00015_left_mask.png
15	bitmap	left_mask	0	319	BITD	raw_chunks/00015_left_mask_319_BITD.bin
16	bitmap	statue_mask2	0			bitmaps/00016_statue_mask2.png
16	bitmap	statue_mask2	0	325	BITD	raw_chunks/00016_statue_mask2_325_BITD.bin
19	bitmap	comp	0			bitmaps/00019_comp.png
19	bitmap	comp	0	329	BITD	raw_chunks/00019_comp_329_BITD.bin
20	bitmap	pillar	0			bitmaps/00020_pillar.png
20	bitmap	pillar	0	335	BITD	raw_chunks/00020_pillar_335_BITD.bin
21	bitmap	chandelier_light	0			bitmaps/00021_chandelier_light.png
21	bitmap	chandelier_light	0	341	BITD	raw_chunks/00021_chandelier_light_341_BITD.bin
22	bitmap	lamp_a_0_0_0	0			bitmaps/00022_lamp_a_0_0_0.png
22	bitmap	lamp_a_0_0_0	0	347	BITD	raw_chunks/00022_lamp_a_0_0_0_347_BITD.bin
25	bitmap	libtable_b_0_0_0	0			bitmaps/00025_libtable_b_0_0_0.png
25	bitmap	libtable_b_0_0_0	0	353	BITD	raw_chunks/00025_libtable_b_0_0_0_353_BITD.bin
26	bitmap	magazines	0			bitmaps/00026_magazines.png
26	bitmap	magazines	0	359	BITD	raw_chunks/00026_magazines_359_BITD.bin
28	bitmap	counter6	0			bitmaps/00028_counter6.png
28	bitmap	counter6	0	445	BITD	raw_chunks/00028_counter6_445_BITD.bin
29	bitmap	shelfmask2	0			bitmaps/00029_shelfmask2.png
29	bitmap	shelfmask2	0	371	BITD	raw_chunks/00029_shelfmask2_371_BITD.bin
30	bitmap	shelfmask5	0			bitmaps/00030_shelfmask5.png
30	bitmap	shelfmask5	0	377	BITD	raw_chunks/00030_shelfmask5_377_BITD.bin
31	bitmap	shelfmask8	0			bitmaps/00031_shelfmask8.png
31	bitmap	shelfmask8	0	383	BITD	raw_chunks/00031_shelfmask8_383_BITD.bin
32	bitmap	shelfmask11	0			bitmaps/00032_shelfmask11.png
32	bitmap	shelfmask11	0	389	BITD	raw_chunks/00032_shelfmask11_389_BITD.bin
33	bitmap	shelfmask13	0			bitmaps/00033_shelfmask13.png
33	bitmap	shelfmask13	0	393	BITD	raw_chunks/00033_shelfmask13_393_BITD.bin
37	bitmap	shelfmask21	0			bitmaps/00037_shelfmask21.png
37	bitmap	shelfmask21	0	409	BITD	raw_chunks/00037_shelfmask21_409_BITD.bin
38	bitmap	shelfmask25	0			bitmaps/00038_shelfmask25.png
38	bitmap	shelfmask25	0	417	BITD	raw_chunks/00038_shelfmask25_417_BITD.bin
39	bitmap	shelfmask29	0			bitmaps/00039_shelfmask29.png
39	bitmap	shelfmask29	0	425	BITD	raw_chunks/00039_shelfmask29_425_BITD.bin
40	bitmap	shelfmask20	0			bitmaps/00040_shelfmask20.png
40	bitmap	shelfmask20	0	407	BITD	raw_chunks/00040_shelfmask20_407_BITD.bin
71	bitmap	stairmask	0			bitmaps/00071_stairmask.png
71	bitmap	stairmask	0	449	BITD	raw_chunks/00071_stairmask_449_BITD.bin
87	bitmap	counter7	0			bitmaps/00087_counter7.png
87	bitmap	counter7	0	447	BITD	raw_chunks/00087_counter7_447_BITD.bin
91	bitmap	shelfmask33	0			bitmaps/00091_shelfmask33.png
91	bitmap	shelfmask33	0	433	BITD	raw_chunks/00091_shelfmask33_433_BITD.bin
97	bitmap	shelfmask16	0			bitmaps/00097_shelfmask16.png
97	bitmap	shelfmask16	0	399	BITD	raw_chunks/00097_shelfmask16_399_BITD.bin
100	bitmap	counter3	0			bitmaps/00100_counter3.png
100	bitmap	counter3	0	439	BITD	raw_chunks/00100_counter3_439_BITD.bin
130	bitmap	ad_pixel	0			bitmaps/00130_ad_pixel.png
130	bitmap	ad_pixel	0	306	BITD	raw_chunks/00130_ad_pixel_306_BITD.bin
131	bitmap	libchair_a_0_2_0	0			bitmaps/00131_libchair_a_0_2_0.png
131	bitmap	libchair_a_0_2_0	0	363	BITD	raw_chunks/00131_libchair_a_0_2_0_363_BITD.bin
132	bitmap	counter4	0			bitmaps/00132_counter4.png
132	bitmap	counter4	0	441	BITD	raw_chunks/00132_counter4_441_BITD.bin
134	bitmap	shelfmask22	0			bitmaps/00134_shelfmask22.png
134	bitmap	shelfmask22	0	411	BITD	raw_chunks/00134_shelfmask22_411_BITD.bin
143	bitmap	libstool_a_0_0_0	0			bitmaps/00143_libstool_a_0_0_0.png
143	bitmap	libstool_a_0_0_0	0	333	BITD	raw_chunks/00143_libstool_a_0_0_0_333_BITD.bin
150	bitmap	shelfmask17	0			bitmaps/00150_shelfmask17.png
150	bitmap	shelfmask17	0	401	BITD	raw_chunks/00150_shelfmask17_401_BITD.bin
151	bitmap	shelfmask32	0			bitmaps/00151_shelfmask32.png
151	bitmap	shelfmask32	0	431	BITD	raw_chunks/00151_shelfmask32_431_BITD.bin
153	bitmap	shelfmask31	0			bitmaps/00153_shelfmask31.png
153	bitmap	shelfmask31	0	429	BITD	raw_chunks/00153_shelfmask31_429_BITD.bin
157	bitmap	hiliter_pub	0			bitmaps/00157_hiliter_pub.png
157	bitmap	hiliter_pub	0	310	BITD	raw_chunks/00157_hiliter_pub_310_BITD.bin
158	text	memberalias.index	0	312	STXT	text/00158_memberalias.index_stxt_0.txt
158	text	memberalias.index	0	312	STXT	raw_chunks/00158_memberalias.index_312_STXT.bin
161	bitmap	top_mask	0			bitmaps/00161_top_mask.png
161	bitmap	top_mask	0	321	BITD	raw_chunks/00161_top_mask_321_BITD.bin
162	bitmap	statue_mask1	0			bitmaps/00162_statue_mask1.png
162	bitmap	statue_mask1	0	323	BITD	raw_chunks/00162_statue_mask1_323_BITD.bin
164	bitmap	shelf2	0			bitmaps/00164_shelf2.png
164	bitmap	shelf2	0	327	BITD	raw_chunks/00164_shelf2_327_BITD.bin
169	bitmap	books	0			bitmaps/00169_books.png
169	bitmap	books	0	331	BITD	raw_chunks/00169_books_331_BITD.bin
170	text	libchair.props	0	361	STXT	text/00170_libchair.props_stxt_0.txt
170	text	libchair.props	0	361	STXT	raw_chunks/00170_libchair.props_361_STXT.bin
171	bitmap	waterpoint_a_0_4_0	0			bitmaps/00171_waterpoint_a_0_4_0.png
171	bitmap	waterpoint_a_0_4_0	0	337	BITD	raw_chunks/00171_waterpoint_a_0_4_0_337_BITD.bin
172	bitmap	chandelier	0			bitmaps/00172_chandelier.png
172	bitmap	chandelier	0	339	BITD	raw_chunks/00172_chandelier_339_BITD.bin
173	bitmap	block_light	0			bitmaps/00173_block_light.png
173	bitmap	block_light	0	343	BITD	raw_chunks/00173_block_light_343_BITD.bin
174	bitmap	block_dark	0			bitmaps/00174_block_dark.png
174	bitmap	block_dark	0	345	BITD	raw_chunks/00174_block_dark_345_BITD.bin
175	text	library.room	0	300	STXT	text/00175_library.room_stxt_0.txt
175	text	library.room	0	300	STXT	raw_chunks/00175_library.room_300_STXT.bin
179	bitmap	lamp_b_0_0_0	0			bitmaps/00179_lamp_b_0_0_0.png
