index	r	g	b	hex
0	255	255	255	#FFFFFF
1	0	0	0	#000000
2	84	2	6	#540206
3	124	6	14	#7C060E
4	88	16	20	#581014
5	139	42	49	#8B2A31
6	32	6	16	#200610
7	38	26	37	#261A25
8	21	17	21	#151115
9	46	42	46	#2E2A2E
10	44	31	45	#2C1F2D
11	60	45	63	#3C2D3F
12	63	56	73	#3F3849
13	2	2	10	#02020A
14	40	40	46	#28282E
15	34	34	38	#222226
16	35	39	66	#232742
17	18	23	31	#12171F
18	44	53	68	#2C3544
19	11	16	22	#0B1016
20	234	238	242	#EAEEF2
21	11	121	201	#0B79C9
22	22	36	46	#16242E
23	194	206	214	#C2CED6
24	21	60	83	#153C53
25	110	174	197	#6EAEC5
26	162	190	194	#A2BEC2
27	94	157	163	#5E9DA3
28	2	6	6	#020606
29	6	10	10	#060A0A
30	206	230	230	#CEE6E6
31	34	38	38	#222626
32	42	46	46	#2A2E2E
33	250	254	254	#FAFEFE
34	242	254	251	#F2FEFB
35	37	44	42	#252C2A
36	65	72	70	#414846
37	62	68	66	#3E4442
38	119	210	174	#77D2AE
39	120	152	139	#78988B
40	230	254	244	#E6FEF4
41	167	226	194	#A7E2C2
42	79	95	86	#4F5F56
43	89	117	101	#597565
44	47	54	50	#2F3632
45	207	242	221	#CFF2DD
46	113	207	146	#71CF92
47	66	80	71	#425047
48	28	59	38	#1C3B26
49	71	85	75	#47554B
50	103	163	118	#67A376
51	90	102	93	#5A665D
52	17	37	21	#112515
53	45	52	46	#2D342E
54	6	14	7	#060E07
55	52	63	53	#343F35
56	54	72	55	#364837
57	2	6	2	#020602
58	62	75	62	#3E4B3E
59	33	39	33	#212721
60	59	64	59	#3B403B
61	82	84	82	#525452
62	42	47	41	#2A2F29
63	22	59	13	#163B0D
64	53	104	39	#356827
65	36	64	29	#24401D
66	38	42	37	#262A25
67	54	58	53	#363A35
68	68	130	48	#448230
69	101	110	98	#656E62
70	69	75	67	#454B43
71	52	82	38	#345226
72	67	69	66	#434542
73	75	77	74	#4B4D4A
74	82	91	76	#525B4C
75	110	118	104	#6E7668
76	64	68	61	#40443D
77	68	89	48	#445930
78	12	13	11	#0C0D0B
79	77	82	72	#4D5248
80	89	93	84	#595D54
81	82	90	69	#525A45
82	16	18	12	#10120C
83	77	82	63	#4D523F
84	20	21	17	#141511
85	59	61	53	#3B3D35
86	75	77	69	#4B4D45
87	40	45	16	#282D10
88	68	76	30	#444C1E
89	84	85	76	#54554C
90	6	6	2	#060602
91	44	44	32	#2C2C20
92	83	83	68	#535344
93	47	47	40	#2F2F28
94	38	38	33	#262621
95	24	24	21	#181815
96	52	52	46	#34342E
97	95	90	9	#5F5A09
98	52	51	36	#343324
99	34	33	21	#222115
100	92	91	77	#5C5B4D
101	103	101	86	#676556
102	205	203	189	#CDCBBD
103	133	114	27	#85721B
104	94	83	32	#5E5320
105	39	37	27	#27251B
106	78	75	60	#4E4B3C
107	72	60	6	#483C06
108	55	47	14	#372F0E
109	11	10	6	#0B0A06
110	61	58	45	#3D3A2D
111	203	179	96	#CBB360
112	92	87	69	#5C5745
113	151	144	120	#979078
114	198	194	180	#C6C2B4
115	62	51	18	#3E3312
116	26	22	9	#1A1609
117	81	74	53	#514A35
118	84	79	62	#544F3E
119	123	116	93	#7B745D
120	67	63	51	#433F33
121	66	54	20	#423614
122	68	62	45	#443E2D
123	141	133	111	#8D856F
124	124	91	9	#7C5B09
125	49	39	15	#31270F
126	77	62	26	#4D3E1A
127	99	91	70	#635B46
128	105	97	76	#69614C
129	117	109	89	#756D59
130	83	78	66	#534E42
131	254	230	174	#FEE6AE
132	76	69	54	#4C4536
133	75	58	22	#4B3A16
134	63	52	29	#3F341D
135	116	103	78	#74674E
136	90	81	62	#5A513E
137	234	227	213	#EAE3D5
138	87	66	26	#57421A
139	90	82	67	#5A5243
140	76	70	59	#4C463B
141	171	161	142	#ABA18E
142	77	54	18	#4D3612
143	59	42	14	#3B2A0E
144	46	34	14	#2E220E
145	60	44	19	#3C2C13
146	181	171	154	#B5AB9A
147	202	194	181	#CAC2B5
148	175	110	10	#AF6E0A
149	54	38	14	#36260E
150	83	59	24	#533B18
151	164	117	50	#A47532
152	69	50	22	#453216
153	74	54	24	#4A3618
154	177	166	150	#B1A696
155	199	190	177	#C7BEB1
156	210	202	190	#D2CABE
157	102	74	37	#664A25
158	205	197	186	#CDC5BA
159	83	54	18	#533612
160	58	38	14	#3A260E
161	79	54	22	#4F3616
162	50	34	14	#32220E
163	38	26	11	#261A0B
164	79	50	17	#4F3211
165	74	50	22	#4A3216
166	88	62	34	#583E22
167	54	34	14	#36220E
168	78	50	22	#4E3216
169	70	46	22	#462E16
170	234	222	210	#EADED2
171	42	40	38	#2A2826
172	76	42	13	#4C2A0D
173	20	12	5	#140C05
174	11	6	2	#0B0602
175	26	11	2	#1A0B02
176	116	53	15	#74350F
177	53	29	14	#351D0E
178	146	72	30	#92481E
179	28	14	7	#1C0E07
180	102	33	5	#662105
181	74	46	34	#4A2E22
182	70	25	9	#461909
183	19	12	10	#130C0A
184	60	30	22	#3C1E16
185	46	23	18	#2E1712
186	120	31	18	#781F12
187	51	26	22	#331A16
188	59	9	7	#3B0907
189	37	15	14	#250F0E
190	36	2	2	#240202
191	26	6	6	#1A0606
192	22	6	6	#160606
193	54	18	18	#361212
194	254	254	254	#FEFEFE
195	54	54	54	#363636
196	46	46	46	#2E2E2E
197	42	42	42	#2A2A2A
198	38	38	38	#262626
199	33	33	33	#212121
200	6	6	6	#060606
201	2	2	2	#020202
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
