index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	40	11	20	#280B14
3	49	37	48	#312530
4	60	56	60	#3C383C
5	59	56	59	#3B383B
6	56	44	57	#382C39
7	75	63	78	#4B3F4E
8	80	75	89	#504B59
9	79	75	89	#4F4B59
10	53	54	59	#35363B
11	45	46	49	#2D2E31
12	42	60	84	#2A3C54
13	23	31	39	#171F27
14	12	20	27	#0C141B
15	30	47	58	#1E2F3A
16	1	3	4	#010304
17	134	185	202	#86B9CA
18	45	49	50	#2D3132
19	55	59	60	#373B3C
20	119	169	175	#77A9AF
21	1	4	4	#010404
22	1	3	3	#010303
23	4	9	9	#040909
24	45	50	50	#2D3232
25	55	60	60	#373C3C
26	46	50	50	#2E3232
27	45	49	49	#2D3131
28	56	60	60	#383C3C
29	50	57	56	#323938
30	83	89	88	#535958
31	80	85	84	#505554
32	49	57	55	#313937
33	50	57	55	#323937
34	147	211	189	#93D3BD
35	79	85	83	#4F5553
36	83	89	87	#535957
37	136	182	163	#88B6A3
38	80	85	83	#505553
39	62	69	66	#3E4542
40	99	112	105	#637069
41	136	168	150	#88A896
42	111	133	121	#6F8579
43	85	97	90	#55615A
44	142	207	168	#8ECFA8
45	42	72	53	#2A4835
46	90	102	94	#5A665E
47	110	119	113	#6E7771
48	110	120	113	#6E7871
49	59	66	61	#3B423D
50	60	67	62	#3C433E
51	25	46	30	#192E1E
52	60	66	61	#3C423D
53	72	88	74	#48584A
54	69	78	70	#454E46
55	5	15	6	#050F06
56	80	91	81	#505B51
57	72	87	73	#485749
58	0	4	0	#000400
59	1	3	1	#010301
60	94	236	93	#5EEC5D
61	81	92	81	#515C51
62	45	50	45	#2D322D
63	76	80	76	#4C504C
64	93	95	93	#5D5F5D
65	101	102	101	#656665
66	55	136	50	#378832
67	51	121	44	#33792C
68	90	183	71	#5AB747
69	36	70	29	#24461D
70	148	208	136	#94D088
71	87	92	86	#575C56
72	52	77	46	#344D2E
73	97	187	73	#61BB49
74	76	116	65	#4C7441
75	121	164	110	#79A46E
76	56	60	55	#383C37
77	70	74	69	#464A45
78	13	33	7	#0D2107
79	76	144	55	#4C9037
80	121	128	119	#798077
81	94	140	79	#5E8C4F
82	51	54	50	#333632
83	70	73	69	#464945
84	71	74	70	#474A46
85	87	92	85	#575C55
86	116	197	79	#74C54F
87	143	238	97	#8FEE61
88	121	127	118	#797F76
89	88	92	86	#585C56
90	84	86	83	#545653
91	72	96	59	#48603B
92	81	84	79	#51544F
93	71	109	41	#476D29
94	102	108	97	#666C61
95	130	136	125	#82887D
96	13	14	12	#0D0E0C
97	96	100	92	#60645C
98	95	99	91	#5F635B
99	130	135	125	#82877D
100	82	85	79	#52554F
101	85	86	84	#555654
102	148	206	85	#94CE55
103	120	167	67	#78A743
104	119	166	67	#77A643
105	176	240	101	#B0F065
106	89	104	71	#596847
107	118	161	65	#76A141
108	119	161	66	#77A142
109	96	99	92	#60635C
110	109	112	105	#6D7069
111	108	111	104	#6C6F68
112	96	99	91	#60635B
113	102	107	90	#666B5A
114	20	22	15	#14160F
115	97	112	47	#61702F
116	63	73	27	#3F491B
117	93	94	88	#5D5E58
118	76	77	70	#4C4D46
119	94	95	88	#5E5F58
120	54	57	29	#36391D
121	88	92	51	#585C33
122	83	86	34	#535622
123	3	3	1	#030301
124	4	4	2	#040402
125	50	50	45	#32322D
126	103	103	95	#67675F
127	103	103	96	#676760
128	58	57	45	#3A392D
129	102	101	89	#666559
130	45	43	31	#2D2B1F
131	112	110	98	#706E62
132	111	109	98	#6F6D62
133	65	63	53	#413F35
134	100	97	83	#646153
135	68	67	62	#44433E
136	123	120	108	#7B786C
137	122	119	107	#7A776B
138	78	74	62	#4E4A3E
139	32	31	28	#201F1C
140	90	75	32	#5A4B20
141	71	60	30	#473C1E
142	151	130	68	#978244
143	97	92	79	#615C4F
144	141	134	117	#8D8675
145	167	160	143	#A7A08F
146	85	80	69	#555045
147	111	105	91	#6F695B
148	208	204	195	#D0CCC3
149	4	3	1	#040301
150	64	52	28	#40341C
151	63	51	28	#3F331C
152	79	65	36	#4F4124
153	11	9	5	#0B0905
154	136	128	112	#888070
155	84	79	69	#544F45
156	158	150	134	#9E9686
157	92	74	42	#5C4A2A
158	95	78	47	#5F4E2F
159	86	78	63	#564E3F
160	118	109	92	#766D5C
161	253	233	198	#FDE9C6
162	124	115	99	#7C7363
163	135	127	112	#877F70
164	80	67	46	#50432E
165	134	122	102	#867A66
166	109	99	83	#6D6353
167	94	86	73	#5E5649
168	136	127	112	#887F70
169	75	56	29	#4B381D
170	60	46	25	#3C2E19
171	59	45	25	#3B2D19
172	60	46	26	#3C2E1A
173	105	83	49	#695331
174	185	176	163	#B9B0A3
175	193	185	173	#C1B9AD
176	211	205	196	#D3CDC4
177	238	232	223	#EEE8DF
178	60	45	25	#3C2D19
179	76	58	34	#4C3A22
180	91	70	43	#5B462B
181	85	66	40	#554228
182	119	94	61	#775E3D
183	109	100	88	#6D6458
184	94	87	78	#5E574E
185	238	232	224	#EEE8E0
186	185	131	66	#B98342
187	69	50	27	#45321B
188	69	51	28	#45331C
189	100	76	46	#644C2E
190	92	70	44	#5C462C
191	190	181	170	#BEB5AA
192	49	35	19	#312313
193	64	46	26	#402E1A
194	96	70	42	#60462A
195	212	205	197	#D4CDC5
196	214	208	201	#D6D0C9
197	73	51	28	#49331C
198	95	66	37	#5F4225
199	90	65	40	#5A4128
200	91	66	41	#5B4229
201	105	80	55	#695037
202	209	201	193	#D1C9C1
203	26	25	24	#1A1918
204	55	53	51	#373533
205	214	207	200	#D6CFC8
206	96	66	37	#604225
207	87	62	39	#573E27
208	35	22	11	#23160B
209	68	46	27	#442E1B
210	95	66	41	#5F4229
211	86	61	39	#563D27
212	87	62	40	#573E28
213	92	58	31	#5C3A1F
214	92	58	32	#5C3A20
215	25	14	6	#190E06
216	155	99	60	#9B633C
217	238	228	221	#EEE4DD
218	67	41	25	#432919
219	131	75	44	#834B2C
220	67	41	26	#43291A
221	33	13	4	#210D04
222	34	14	5	#220E05
223	33	14	5	#210E05
224	90	63	51	#5A3F33
225	117	54	31	#75361F
226	85	40	24	#552818
