index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	255	255	#FFFFFF
2	6	5	4	#060504
3	7	6	5	#070605
4	14	11	9	#0E0B09
5	15	12	10	#0F0C0A
6	41	31	25	#291F19
7	42	32	26	#2A201A
8	21	16	13	#15100D
9	22	17	14	#16110E
10	114	85	69	#725545
11	86	64	52	#564034
12	115	86	70	#735646
13	87	65	53	#574135
14	79	59	48	#4F3B30
15	71	53	43	#47352B
16	64	48	39	#403027
17	56	42	34	#382A22
18	80	60	49	#503C31
19	72	54	44	#48362C
20	49	37	30	#31251E
21	36	27	22	#241B16
22	65	49	40	#413128
23	57	43	35	#392B23
24	44	33	27	#2C211B
25	50	38	31	#32261F
26	29	22	18	#1D1612
27	45	34	28	#2D221C
28	37	28	23	#251C17
29	30	23	19	#1E1713
30	111	82	67	#6F5243
31	106	78	64	#6A4E40
32	101	75	61	#654B3D
33	96	71	58	#60473A
34	91	67	55	#5B4337
35	81	60	49	#513C31
36	76	56	46	#4C382E
37	112	83	68	#705344
38	110	82	67	#6E5243
39	109	81	66	#6D5142
40	107	79	65	#6B4F41
41	104	77	63	#684D3F
42	102	76	62	#664C3E
43	99	73	60	#63493C
44	97	72	59	#61483B
45	94	70	57	#5E4639
46	92	68	56	#5C4438
47	89	66	54	#594236
48	84	62	51	#543E33
49	74	55	45	#4A372D
50	69	51	42	#45332A
51	66	49	40	#423128
52	61	45	37	#3D2D25
53	51	38	31	#33261F
54	46	34	28	#2E221C
55	105	78	64	#694E40
56	100	74	61	#644A3D
57	95	71	58	#5F473A
58	90	67	55	#5A4337
59	85	63	52	#553F34
60	82	61	50	#523D32
61	77	57	47	#4D392F
62	67	50	41	#433229
63	62	46	38	#3E2E26
64	59	44	36	#3B2C24
65	54	40	33	#362821
66	31	23	19	#1F1713
67	75	56	46	#4B382E
68	70	52	43	#46342B
69	60	45	37	#3C2D25
70	52	39	32	#342720
71	47	35	29	#2F231D
72	39	29	24	#271D18
73	55	41	34	#372922
74	40	30	25	#281E19
75	32	24	20	#201814
76	24	18	15	#18120F
77	16	12	10	#100C0A
78	25	19	16	#191310
79	17	13	11	#110D0B
80	9	7	6	#090706
81	10	8	7	#0A0807
82	34	25	21	#221915
83	35	26	22	#231A16
84	26	19	16	#1A1310
85	27	20	17	#1B1411
86	19	14	12	#130E0C
87	20	15	13	#140F0D
88	11	8	7	#0B0807
89	12	9	8	#0C0908
90	4	3	3	#040303
91	5	4	4	#050404
92	2	2	2	#020202
93	1	1	1	#010101
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
