member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
400	bitmap	lobby_background	0			bitmaps/00400_lobby_background.png
400	bitmap	lobby_background	0	524	BITD	raw_chunks/00400_lobby_background_524_BITD.bin
413	bitmap	ad_pixel	0			bitmaps/00413_ad_pixel.png
413	bitmap	ad_pixel	0	616	BITD	raw_chunks/00413_ad_pixel_616_BITD.bin
414	bitmap	adframe_lobby_a_left	0			bitmaps/00414_adframe_lobby_a_left.png
414	bitmap	adframe_lobby_a_left	0	614	BITD	raw_chunks/00414_adframe_lobby_a_left_614_BITD.bin
415	bitmap	lobby_coloredlight_1	0			bitmaps/00415_lobby_coloredlight_1.png
415	bitmap	lobby_coloredlight_1	0	612	BITD	raw_chunks/00415_lobby_coloredlight_1_612_BITD.bin
416	bitmap	lobby_coloredlight_2	0			bitmaps/00416_lobby_coloredlight_2.png
416	bitmap	lobby_coloredlight_2	0	610	BITD	raw_chunks/00416_lobby_coloredlight_2_610_BITD.bin
417	bitmap	chairf2d_b_0_0_0	0			bitmaps/00417_chairf2d_b_0_0_0.png
417	bitmap	chairf2d_b_0_0_0	0	608	BITD	raw_chunks/00417_chairf2d_b_0_0_0_608_BITD.bin
418	bitmap	chairf2d_a_0_0_0	0			bitmaps/00418_chairf2d_a_0_0_0.png
418	bitmap	chairf2d_a_0_0_0	0	606	BITD	raw_chunks/00418_chairf2d_a_0_0_0_606_BITD.bin
419	bitmap	chairf2_a_0_0_0	0			bitmaps/00419_chairf2_a_0_0_0.png
419	bitmap	chairf2_a_0_0_0	0	604	BITD	raw_chunks/00419_chairf2_a_0_0_0_604_BITD.bin
420	bitmap	chairf2c_a_0_2_0	0			bitmaps/00420_chairf2c_a_0_2_0.png
420	bitmap	chairf2c_a_0_2_0	0	602	BITD	raw_chunks/00420_chairf2c_a_0_2_0_602_BITD.bin
421	bitmap	chairf2b_a_0_2_0	0			bitmaps/00421_chairf2b_a_0_2_0.png
421	bitmap	chairf2b_a_0_2_0	0	600	BITD	raw_chunks/00421_chairf2b_a_0_2_0_600_BITD.bin
422	bitmap	chairf2_b_0_2_0	0			bitmaps/00422_chairf2_b_0_2_0.png
422	bitmap	chairf2_b_0_2_0	0	598	BITD	raw_chunks/00422_chairf2_b_0_2_0_598_BITD.bin
423	bitmap	chairf2_a_0_2_0	0			bitmaps/00423_chairf2_a_0_2_0.png
423	bitmap	chairf2_a_0_2_0	0	596	BITD	raw_chunks/00423_chairf2_a_0_2_0_596_BITD.bin
424	bitmap	table2b_a_0_2_0	0			bitmaps/00424_table2b_a_0_2_0.png
424	bitmap	table2b_a_0_2_0	0	594	BITD	raw_chunks/00424_table2b_a_0_2_0_594_BITD.bin
425	bitmap	table2c_a_0_2_0	0			bitmaps/00425_table2c_a_0_2_0.png
425	bitmap	table2c_a_0_2_0	0	592	BITD	raw_chunks/00425_table2c_a_0_2_0_592_BITD.bin
426	bitmap	table2_a_0_2_0	0			bitmaps/00426_table2_a_0_2_0.png
426	bitmap	table2_a_0_2_0	0	590	BITD	raw_chunks/00426_table2_a_0_2_0_590_BITD.bin
427	bitmap	lobby_mask_03	0			bitmaps/00427_lobby_mask_03.png
427	bitmap	lobby_mask_03	0	588	BITD	raw_chunks/00427_lobby_mask_03_588_BITD.bin
428	bitmap	lobby_mask_04	0			bitmaps/00428_lobby_mask_04.png
428	bitmap	lobby_mask_04	0	586	BITD	raw_chunks/00428_lobby_mask_04_586_BITD.bin
429	bitmap	chairf2_sd	0			bitmaps/00429_chairf2_sd.png
429	bitmap	chairf2_sd	0	584	BITD	raw_chunks/00429_chairf2_sd_584_BITD.bin
430	bitmap	piste_a_0_0_0	0			bitmaps/00430_piste_a_0_0_0.png
430	bitmap	piste_a_0_0_0	0	582	BITD	raw_chunks/00430_piste_a_0_0_0_582_BITD.bin
431	bitmap	chairf1_b_0_0_0	0			bitmaps/00431_chairf1_b_0_0_0.png
431	bitmap	chairf1_b_0_0_0	0	580	BITD	raw_chunks/00431_chairf1_b_0_0_0_580_BITD.bin
432	bitmap	chairf1_a_0_0_0	0			bitmaps/00432_chairf1_a_0_0_0.png
432	bitmap	chairf1_a_0_0_0	0	578	BITD	raw_chunks/00432_chairf1_a_0_0_0_578_BITD.bin
433	bitmap	chairf1_b_0_2_0	0			bitmaps/00433_chairf1_b_0_2_0.png
433	bitmap	chairf1_b_0_2_0	0	576	BITD	raw_chunks/00433_chairf1_b_0_2_0_576_BITD.bin
434	bitmap	chairf1_a_0_2_0	0			bitmaps/00434_chairf1_a_0_2_0.png
434	bitmap	chairf1_a_0_2_0	0	574	BITD	raw_chunks/00434_chairf1_a_0_2_0_574_BITD.bin
435	bitmap	lobby_mask_01	0			bitmaps/00435_lobby_mask_01.png
435	bitmap	lobby_mask_01	0	572	BITD	raw_chunks/00435_lobby_mask_01_572_BITD.bin
436	bitmap	lobby_doormask	0			bitmaps/00436_lobby_doormask.png
436	bitmap	lobby_doormask	0	570	BITD	raw_chunks/00436_lobby_doormask_570_BITD.bin
437	bitmap	lobby_window_bit	0			bitmaps/00437_lobby_window_bit.png
437	bitmap	lobby_window_bit	0	568	BITD	raw_chunks/00437_lobby_window_bit_568_BITD.bin
438	bitmap	lobby_window_1	0			bitmaps/00438_lobby_window_1.png
438	bitmap	lobby_window_1	0	566	BITD	raw_chunks/00438_lobby_window_1_566_BITD.bin
439	bitmap	lobby_mask_02	0			bitmaps/00439_lobby_mask_02.png
439	bitmap	lobby_mask_02	0	564	BITD	raw_chunks/00439_lobby_mask_02_564_BITD.bin
440	bitmap	flower1_sd	0			bitmaps/00440_flower1_sd.png
440	bitmap	flower1_sd	0	562	BITD	raw_chunks/00440_flower1_sd_562_BITD.bin
441	bitmap	table1_a_0_0_0	0			bitmaps/00441_table1_a_0_0_0.png
441	bitmap	table1_a_0_0_0	0	560	BITD	raw_chunks/00441_table1_a_0_0_0_560_BITD.bin
442	bitmap	lobby_stairs_bit	0			bitmaps/00442_lobby_stairs_bit.png
442	bitmap	lobby_stairs_bit	0	558	BITD	raw_chunks/00442_lobby_stairs_bit_558_BITD.bin
443	bitmap	lobby_right_side_bit	0			bitmaps/00443_lobby_right_side_bit.png
443	bitmap	lobby_right_side_bit	0	556	BITD	raw_chunks/00443_lobby_right_side_bit_556_BITD.bin
444	bitmap	lobby_door_a	0			bitmaps/00444_lobby_door_a.png
444	bitmap	lobby_door_a	0	554	BITD	raw_chunks/00444_lobby_door_a_554_BITD.bin
445	bitmap	lobby_pipe	0			bitmaps/00445_lobby_pipe.png
445	bitmap	lobby_pipe	0	552	BITD	raw_chunks/00445_lobby_pipe_552_BITD.bin
446	bitmap	lobby_left_side_bit2	0			bitmaps/00446_lobby_left_side_bit2.png
446	bitmap	lobby_left_side_bit2	0	550	BITD	raw_chunks/00446_lobby_left_side_bit2_550_BITD.bin
447	bitmap	lobby_left_side_bit1	0			bitmaps/00447_lobby_left_side_bit1.png
447	bitmap	lobby_left_side_bit1	0	548	BITD	raw_chunks/00447_lobby_left_side_bit1_548_BITD.bin
448	bitmap	lobby_flower_bit	0			bitmaps/00448_lobby_flower_bit.png
448	bitmap	lobby_flower_bit	0	546	BITD	raw_chunks/00448_lobby_flower_bit_546_BITD.bin
449	bitmap	lobby_pipe_nest	0			bitmaps/00449_lobby_pipe_nest.png
449	bitmap	lobby_pipe_nest	0	544	BITD	raw_chunks/00449_lobby_pipe_nest_544_BITD.bin
450	bitmap	flower2_a_0_2_0	0			bitmaps/00450_flower2_a_0_2_0.png
450	bitmap	flower2_a_0_2_0	0	542	BITD	raw_chunks/00450_flower2_a_0_2_0_542_BITD.bin
451	bitmap	flower1_a_0_0_0	0			bitmaps/00451_flower1_a_0_0_0.png
451	bitmap	flower1_a_0_0_0	0	540	BITD	raw_chunks/00451_flower1_a_0_0_0_540_BITD.bin
452	bitmap	telkka_a_0_2_0	0			bitmaps/00452_telkka_a_0_2_0.png
452	bitmap	telkka_a_0_2_0	0	538	BITD	raw_chunks/00452_telkka_a_0_2_0_538_BITD.bin
454	bitmap	lobby_bubble_4	0			bitmaps/00454_lobby_bubble_4.png
454	bitmap	lobby_bubble_4	0	534	BITD	raw_chunks/00454_lobby_bubble_4_534_BITD.bin
455	bitmap	lobby_bubble_5	0			bitmaps/00455_lobby_bubble_5.png
455	bitmap	lobby_bubble_5	0	536	BITD	raw_chunks/00455_lobby_bubble_5_536_BITD.bin
456	bitmap	lobby_bubble_3	0			bitmaps/00456_lobby_bubble_3.png
456	bitmap	lobby_bubble_3	0	532	BITD	raw_chunks/00456_lobby_bubble_3_532_BITD.bin
457	bitmap	lobby_bubble_2	0			bitmaps/00457_lobby_bubble_2.png
457	bitmap	lobby_bubble_2	0	530	BITD	raw_chunks/00457_lobby_bubble_2_530_BITD.bin
461	bitmap	lobby_bubble_1	0			bitmaps/00461_lobby_bubble_1.png
461	bitmap	lobby_bubble_1	0	528	BITD	raw_chunks/00461_lobby_bubble_1_528_BITD.bin
473	text	chairf2.props	0	520	STXT	text/00473_chairf2.props_stxt_0.txt
473	text	chairf2.props	0	520	STXT	raw_chunks/00473_chairf2.props_520_STXT.bin
477	text	chairf1.props	0	518	STXT	text/00477_chairf1.props_stxt_0.txt
477	text	chairf1.props	0	518	STXT	raw_chunks/00477_chairf1.props_518_STXT.bin
478	text	chairf2d.props	0	516	STXT	text/00478_chairf2d.props_stxt_0.txt
478	text	chairf2d.props	0	516	STXT	raw_chunks/00478_chairf2d.props_516_STXT.bin
482	text	lobby_a.room	0	522	STXT	text/00482_lobby_a.room_stxt_0.txt
482	text	lobby_a.room	0	522	STXT	raw_chunks/00482_lobby_a.room_522_STXT.bin
485	text	memberalias.index	0	508	STXT	text/00485_memberalias.index_stxt_0.txt
