member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
60	bitmap	tiski_4	0			bitmaps/00060_tiski_4.png
60	bitmap	tiski_4	0	1036	BITD	raw_chunks/00060_tiski_4_1036_BITD.bin
84	bitmap	maski_8	0			bitmaps/00084_maski_8.png
84	bitmap	maski_8	0	1056	BITD	raw_chunks/00084_maski_8_1056_BITD.bin
85	bitmap	hiliter_pub	0			bitmaps/00085_hiliter_pub.png
85	bitmap	hiliter_pub	0	1004	BITD	raw_chunks/00085_hiliter_pub_1004_BITD.bin
150	bitmap	maski_3	0			bitmaps/00150_maski_3.png
150	bitmap	maski_3	0	1024	BITD	raw_chunks/00150_maski_3_1024_BITD.bin
183	bitmap	sofalittle3_a_0_0_0	0			bitmaps/00183_sofalittle3_a_0_0_0.png
183	bitmap	sofalittle3_a_0_0_0	0	1130	BITD	raw_chunks/00183_sofalittle3_a_0_0_0_1130_BITD.bin
184	bitmap	maski_5	0			bitmaps/00184_maski_5.png
184	bitmap	maski_5	0	1028	BITD	raw_chunks/00184_maski_5_1028_BITD.bin
263	bitmap	table2_a_0_4_0	0			bitmaps/00263_table2_a_0_4_0.png
263	bitmap	table2_a_0_4_0	0	1098	BITD	raw_chunks/00263_table2_a_0_4_0_1098_BITD.bin
310	bitmap	maski_7	0			bitmaps/00310_maski_7.png
310	bitmap	maski_7	0	1054	BITD	raw_chunks/00310_maski_7_1054_BITD.bin
315	bitmap	kukat4_a_0_0_0	0			bitmaps/00315_kukat4_a_0_0_0.png
315	bitmap	kukat4_a_0_0_0	0	1074	BITD	raw_chunks/00315_kukat4_a_0_0_0_1074_BITD.bin
316	bitmap	net_background	0			bitmaps/00316_net_background.png
316	bitmap	net_background	0	1010	BITD	raw_chunks/00316_net_background_1010_BITD.bin
334	text	sofalittle2.props	0	1140	STXT	text/00334_sofalittle2.props_stxt_0.txt
334	text	sofalittle2.props	0	1140	STXT	raw_chunks/00334_sofalittle2.props_1140_STXT.bin
361	text	sofalittle1.props	0	1138	STXT	text/00361_sofalittle1.props_stxt_0.txt
361	text	sofalittle1.props	0	1138	STXT	raw_chunks/00361_sofalittle1.props_1138_STXT.bin
387	bitmap	kukka2_a_0_0_0	0			bitmaps/00387_kukka2_a_0_0_0.png
387	bitmap	kukka2_a_0_0_0	0	1048	BITD	raw_chunks/00387_kukka2_a_0_0_0_1048_BITD.bin
441	bitmap	sofabig2_a_0_6_0	0			bitmaps/00441_sofabig2_a_0_6_0.png
441	bitmap	sofabig2_a_0_6_0	0	1114	BITD	raw_chunks/00441_sofabig2_a_0_6_0_1114_BITD.bin
467	bitmap	maski_13	0			bitmaps/00467_maski_13.png
467	bitmap	maski_13	0	1042	BITD	raw_chunks/00467_maski_13_1042_BITD.bin
470	bitmap	sofalittle2_a_0_0_0	0			bitmaps/00470_sofalittle2_a_0_0_0.png
470	bitmap	sofalittle2_a_0_0_0	0	1126	BITD	raw_chunks/00470_sofalittle2_a_0_0_0_1126_BITD.bin
496	bitmap	m_a_0_2_0	0			bitmaps/00496_m_a_0_2_0.png
496	bitmap	m_a_0_2_0	0	1164	BITD	raw_chunks/00496_m_a_0_2_0_1164_BITD.bin
581	bitmap	tiski_6	0			bitmaps/00581_tiski_6.png
581	bitmap	tiski_6	0	1040	BITD	raw_chunks/00581_tiski_6_1040_BITD.bin
596	bitmap	sofalittle1_a_0_0_0	0			bitmaps/00596_sofalittle1_a_0_0_0.png
