index	r	g	b	hex
0	255	255	255	#FFFFFF
1	23	26	43	#171A2B
2	0	73	177	#0049B1
3	189	211	212	#BDD3D4
4	35	51	44	#23332C
5	56	82	70	#385246
6	47	69	59	#2F453B
7	43	64	54	#2B4036
8	55	80	68	#375044
9	38	56	47	#26382F
10	61	89	75	#3D594B
11	71	103	87	#476757
12	50	73	61	#32493D
13	45	64	54	#2D4036
14	69	103	83	#456753
15	34	90	52	#225A34
16	20	53	31	#14351F
17	26	68	40	#1A4428
18	82	121	95	#52795F
19	43	115	66	#2B7342
20	54	78	59	#364E3B
21	48	152	37	#309825
22	40	128	31	#28801F
23	39	122	30	#277A1E
24	32	102	25	#206619
25	24	75	19	#184B13
26	20	61	15	#143D0F
27	43	52	35	#2B3423
28	91	103	69	#5B6745
29	82	92	62	#525C3E
30	40	44	26	#282C1A
31	64	69	47	#40452F
32	129	138	99	#818A63
33	116	124	89	#747C59
34	42	45	30	#2A2D1E
35	96	103	71	#606747
36	75	80	55	#4B5037
37	84	89	65	#545941
38	73	77	56	#494D38
39	34	36	24	#222418
40	66	69	50	#424532
41	116	121	82	#747952
42	133	137	106	#85896A
43	99	103	52	#636734
44	121	124	66	#797C42
45	4	4	3	#040403
46	58	57	22	#3A3916
47	73	72	28	#49481C
48	95	81	23	#5F5117
49	128	109	31	#806D1F
50	102	87	25	#665719
51	76	65	19	#4C4113
52	221	219	211	#DDDBD3
53	166	159	139	#A69F8B
54	211	207	196	#D3CFC4
55	116	104	80	#746850
56	146	133	108	#92856C
57	160	147	120	#A09378
58	182	172	151	#B6AC97
59	163	154	136	#A39A88
60	128	122	110	#807A6E
61	114	109	99	#726D63
62	199	172	125	#C7AC7D
63	190	172	139	#BEAC8B
64	154	145	128	#9A9180
65	178	171	158	#B2AB9E
66	193	155	92	#C19B5C
67	169	138	89	#A98A59
68	181	170	152	#B5AA98
69	91	79	62	#5B4F3E
70	109	100	86	#6D6456
71	84	80	74	#54504A
72	177	139	86	#B18B56
73	203	174	133	#CBAE85
74	89	84	77	#59544D
75	168	124	69	#A87C45
76	133	107	77	#856B4D
77	97	73	51	#614933
78	146	110	78	#926E4E
79	131	100	72	#836448
80	116	90	66	#745A42
81	171	135	102	#AB8766
82	127	96	69	#7F6045
83	225	170	126	#E1AA7E
84	181	111	63	#B56F3F
85	126	79	47	#7E4F2F
86	189	132	92	#BD845C
87	80	59	46	#503B2E
88	206	113	61	#CE713D
89	105	61	36	#693D24
90	150	70	28	#96461C
91	198	114	71	#C67247
92	103	70	54	#674636
93	185	87	49	#B95731
94	152	57	57	#983939
95	33	34	43	#21222B
96	252	252	252	#FCFCFC
97	234	234	234	#EAEAEA
98	229	229	229	#E5E5E5
99	228	228	228	#E4E4E4
100	227	227	227	#E3E3E3
101	220	220	220	#DCDCDC
102	216	216	216	#D8D8D8
103	215	215	215	#D7D7D7
104	205	205	205	#CDCDCD
105	202	202	202	#CACACA
106	190	190	190	#BEBEBE
107	187	187	187	#BBBBBB
108	184	184	184	#B8B8B8
109	159	159	159	#9F9F9F
110	156	156	156	#9C9C9C
111	153	153	153	#999999
112	150	150	150	#969696
113	138	138	138	#8A8A8A
114	125	125	125	#7D7D7D
115	124	124	124	#7C7C7C
116	108	108	108	#6C6C6C
117	104	104	104	#686868
118	82	82	82	#525252
119	65	65	65	#414141
120	30	30	30	#1E1E1E
121	23	23	23	#171717
122	5	5	5	#050505
123	255	255	255	#FFFFFF
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
224	0	0	0	#000000
225	0	0	0	#000000
226	0	0	0	#000000
227	0	0	0	#000000
228	0	0	0	#000000
229	0	0	0	#000000
230	0	0	0	#000000
231	0	0	0	#000000
232	0	0	0	#000000
233	0	0	0	#000000
234	0	0	0	#000000
235	0	0	0	#000000
236	0	0	0	#000000
237	0	0	0	#000000
238	0	0	0	#000000
239	0	0	0	#000000
240	0	0	0	#000000
241	0	0	0	#000000
242	0	0	0	#000000
243	0	0	0	#000000
244	0	0	0	#000000
245	0	0	0	#000000
246	221	221	221	#DDDDDD
247	187	187	187	#BBBBBB
248	170	170	170	#AAAAAA
249	136	136	136	#888888
250	119	119	119	#777777
251	85	85	85	#555555
252	68	68	68	#444444
253	34	34	34	#222222
254	17	17	17	#111111
255	0	0	0	#000000
