index	r	g	b	hex
0	255	255	255	#FFFFFF
1	87	0	0	#570000
2	227	133	64	#E38540
3	125	109	75	#7D6D4B
4	186	160	129	#BAA081
5	151	115	74	#97734A
6	139	99	57	#8B6339
7	43	2	0	#2B0200
8	185	93	25	#B95D19
9	121	63	10	#793F0A
10	121	64	25	#794019
11	192	107	25	#C06B19
12	140	107	55	#8C6B37
13	171	212	255	#ABD4FF
14	160	126	22	#A07E16
15	214	174	36	#D6AE24
16	84	36	3	#542403
17	136	62	13	#883E0D
18	155	74	17	#9B4A11
19	82	71	45	#52472D
20	195	149	81	#C39551
21	64	55	35	#403723
22	49	22	0	#311600
23	21	0	0	#150000
24	48	3	0	#300300
25	99	77	7	#634D07
26	56	0	0	#380000
27	183	160	114	#B7A072
28	86	56	56	#563838
29	72	33	1	#482101
30	154	10	11	#9A0A0B
31	156	191	212	#9CBFD4
32	191	152	29	#BF981D
33	240	240	240	#F0F0F0
34	42	42	42	#2A2A2A
35	65	65	65	#414141
36	255	224	154	#FFE09A
37	0	12	34	#000C22
38	235	134	34	#EB8622
39	139	139	139	#8B8B8B
40	92	92	92	#5C5C5C
41	15	0	0	#0F0000
42	217	175	36	#D9AF24
43	178	157	112	#B29D70
44	238	238	238	#EEEEEE
45	159	85	18	#9F5512
46	230	187	40	#E6BB28
47	125	69	29	#7D451D
48	255	186	43	#FFBA2B
49	155	0	0	#9B0000
50	162	142	100	#A28E64
51	62	44	16	#3E2C10
52	139	97	16	#8B6110
53	195	170	122	#C3AA7A
54	124	154	147	#7C9A93
55	224	187	63	#E0BB3F
56	79	39	11	#4F270B
57	249	143	38	#F98F26
58	58	58	58	#3A3A3A
59	242	196	43	#F2C42B
60	73	10	0	#490A00
61	189	121	51	#BD7933
62	0	82	0	#005200
63	111	80	39	#6F5027
64	87	109	122	#576D7A
65	178	149	107	#B2956B
66	113	178	200	#71B2C8
67	101	101	101	#656565
68	51	20	0	#331400
69	50	68	95	#32445F
70	99	69	36	#634524
71	247	206	71	#F7CE47
72	233	155	17	#E99B11
73	122	77	11	#7A4D0B
74	155	108	108	#9B6C6C
75	157	118	61	#9D763D
76	49	102	137	#316689
77	201	75	75	#C94B4B
78	125	91	45	#7D5B2D
79	166	210	242	#A6D2F2
80	166	147	74	#A6934A
81	112	67	8	#704308
82	108	114	144	#6C7290
83	64	12	0	#400C00
84	129	189	230	#81BDE6
85	97	57	5	#613905
86	88	76	34	#584C22
87	149	90	30	#955A1E
88	34	34	34	#222222
89	172	5	12	#AC050C
90	106	81	54	#6A5136
91	39	122	174	#277AAE
92	103	2	3	#670203
93	9	144	6	#099006
94	112	130	126	#70827E
95	132	84	5	#845405
96	235	181	99	#EBB563
97	162	84	33	#A25421
98	88	63	28	#583F1C
99	129	152	183	#8198B7
100	105	105	105	#696969
101	255	183	117	#FFB775
102	17	17	17	#111111
103	0	97	46	#00612E
104	74	79	101	#4A4F65
105	132	46	12	#842E0C
106	31	31	43	#1F1F2B
107	0	85	1	#005501
108	200	18	20	#C81214
109	74	48	48	#4A3030
110	108	175	222	#6CAFDE
111	142	59	20	#8E3B14
112	109	157	183	#6D9DB7
113	96	0	3	#600003
114	74	91	102	#4A5B66
115	255	226	118	#FFE276
116	176	99	23	#B06317
117	200	200	200	#C8C8C8
118	19	7	2	#130702
119	56	110	105	#386E69
120	163	11	16	#A30B10
121	159	200	224	#9FC8E0
122	76	110	132	#4C6E84
123	153	166	83	#99A653
124	109	120	137	#6D7889
125	26	26	26	#1A1A1A
126	97	126	151	#617E97
127	73	111	141	#496F8D
128	171	107	72	#AB6B48
129	117	189	198	#75BDC6
130	0	39	0	#002700
131	22	0	0	#160000
132	95	60	2	#5F3C02
133	151	218	226	#97DAE2
134	194	240	244	#C2F0F4
135	130	89	55	#825937
136	56	146	147	#389293
137	125	173	163	#7DADA3
138	196	137	86	#C48956
139	188	211	223	#BCD3DF
140	188	158	158	#BC9E9E
141	142	123	119	#8E7B77
142	196	156	30	#C49C1E
143	66	41	32	#422920
144	112	82	114	#705272
145	211	140	15	#D38C0F
146	116	36	64	#742440
147	121	116	116	#797474
148	140	85	28	#8C551C
149	108	64	19	#6C4013
150	92	64	35	#5C4023
151	125	105	84	#7D6954
152	137	116	74	#89744A
153	226	212	196	#E2D4C4
154	172	124	43	#AC7C2B
155	233	188	41	#E9BC29
156	103	142	164	#678EA4
157	38	38	38	#262626
158	36	72	99	#244863
159	77	98	126	#4D627E
160	3	33	58	#03213A
161	41	79	106	#294F6A
162	3	116	7	#037407
163	93	151	191	#5D97BF
164	28	0	0	#1C0000
165	33	7	1	#210701
166	159	166	159	#9FA69F
167	158	20	28	#9E141C
168	119	31	7	#771F07
169	244	216	156	#F4D89C
170	159	125	85	#9F7D55
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
