member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
4	bitmap	mobiles_table1_a_0_0_0	0			bitmaps/00004_mobiles_table1_a_0_0_0.png
4	bitmap	mobiles_table1_a_0_0_0	0	605	BITD	raw_chunks/00004_mobiles_table1_a_0_0_0_605_BITD.bin
5	bitmap	chrome_blockhilite	0			bitmaps/00005_chrome_blockhilite.png
5	bitmap	chrome_blockhilite	0	601	BITD	raw_chunks/00005_chrome_blockhilite_601_BITD.bin
62	bitmap	mobiles_disco_backround3	0			bitmaps/00062_mobiles_disco_backround3.png
62	bitmap	mobiles_disco_backround3	0	642	BITD	raw_chunks/00062_mobiles_disco_backround3_642_BITD.bin
132	bitmap	exitshapers	0			bitmaps/00132_exitshapers.png
132	bitmap	exitshapers	0	762	BITD	raw_chunks/00132_exitshapers_762_BITD.bin
152	text	mobiles_chair1.props	0	764	STXT	text/00152_mobiles_chair1.props_stxt_0.txt
152	text	mobiles_chair1.props	0	764	STXT	raw_chunks/00152_mobiles_chair1.props_764_STXT.bin
161	bitmap	jou	0			bitmaps/00161_jou.png
161	bitmap	jou	0	776	BITD	raw_chunks/00161_jou_776_BITD.bin
164	bitmap	mob_statue1	0			bitmaps/00164_mob_statue1.png
164	bitmap	mob_statue1	0	772	BITD	raw_chunks/00164_mob_statue1_772_BITD.bin
224	bitmap	lightspot_1	0			bitmaps/00224_lightspot_1.png
224	bitmap	lightspot_1	0	760	BITD	raw_chunks/00224_lightspot_1_760_BITD.bin
225	bitmap	firstfloorlight3	0			bitmaps/00225_firstfloorlight3.png
225	bitmap	firstfloorlight3	0	758	BITD	raw_chunks/00225_firstfloorlight3_758_BITD.bin
227	bitmap	firstfloorlight2	0			bitmaps/00227_firstfloorlight2.png
227	bitmap	firstfloorlight2	0	753	BITD	raw_chunks/00227_firstfloorlight2_753_BITD.bin
229	bitmap	firstfloorlight1	0			bitmaps/00229_firstfloorlight1.png
229	bitmap	firstfloorlight1	0	748	BITD	raw_chunks/00229_firstfloorlight1_748_BITD.bin
231	bitmap	discoballo3	0			bitmaps/00231_discoballo3.png
231	bitmap	discoballo3	0	743	BITD	raw_chunks/00231_discoballo3_743_BITD.bin
232	bitmap	discoballo2	0			bitmaps/00232_discoballo2.png
232	bitmap	discoballo2	0	741	BITD	raw_chunks/00232_discoballo2_741_BITD.bin
233	bitmap	discoballo1	0			bitmaps/00233_discoballo1.png
233	bitmap	discoballo1	0	739	BITD	raw_chunks/00233_discoballo1_739_BITD.bin
235	bitmap	mobiles_chair2_sd	0			bitmaps/00235_mobiles_chair2_sd.png
235	bitmap	mobiles_chair2_sd	0	737	BITD	raw_chunks/00235_mobiles_chair2_sd_737_BITD.bin
236	bitmap	mobiles_chair1_sd	0			bitmaps/00236_mobiles_chair1_sd.png
236	bitmap	mobiles_chair1_sd	0	735	BITD	raw_chunks/00236_mobiles_chair1_sd_735_BITD.bin
241	bitmap	mobiles_chair2_b_0_2_0	0			bitmaps/00241_mobiles_chair2_b_0_2_0.png
241	bitmap	mobiles_chair2_b_0_2_0	0	729	BITD	raw_chunks/00241_mobiles_chair2_b_0_2_0_729_BITD.bin
242	bitmap	mobiles_chair2_b_0_4_0	0			bitmaps/00242_mobiles_chair2_b_0_4_0.png
242	bitmap	mobiles_chair2_b_0_4_0	0	727	BITD	raw_chunks/00242_mobiles_chair2_b_0_4_0_727_BITD.bin
243	bitmap	mobiles_chair2_a_0_0_0	0			bitmaps/00243_mobiles_chair2_a_0_0_0.png
243	bitmap	mobiles_chair2_a_0_0_0	0	725	BITD	raw_chunks/00243_mobiles_chair2_a_0_0_0_725_BITD.bin
244	bitmap	mobiles_chair2_b_0_0_0	0			bitmaps/00244_mobiles_chair2_b_0_0_0.png
244	bitmap	mobiles_chair2_b_0_0_0	0	723	BITD	raw_chunks/00244_mobiles_chair2_b_0_0_0_723_BITD.bin
245	bitmap	mobiles_chair2_a_0_6_0	0			bitmaps/00245_mobiles_chair2_a_0_6_0.png
245	bitmap	mobiles_chair2_a_0_6_0	0	721	BITD	raw_chunks/00245_mobiles_chair2_a_0_6_0_721_BITD.bin
246	bitmap	mobiles_chair2_b_0_6_0	0			bitmaps/00246_mobiles_chair2_b_0_6_0.png
246	bitmap	mobiles_chair2_b_0_6_0	0	719	BITD	raw_chunks/00246_mobiles_chair2_b_0_6_0_719_BITD.bin
249	bitmap	mobiles_chair1_b_0_4_0	0			bitmaps/00249_mobiles_chair1_b_0_4_0.png
249	bitmap	mobiles_chair1_b_0_4_0	0	711	BITD	raw_chunks/00249_mobiles_chair1_b_0_4_0_711_BITD.bin
251	bitmap	mobiles_chair1_b_0_0_0	0			bitmaps/00251_mobiles_chair1_b_0_0_0.png
251	bitmap	mobiles_chair1_b_0_0_0	0	707	BITD	raw_chunks/00251_mobiles_chair1_b_0_0_0_707_BITD.bin
252	bitmap	mobiles_chair1_a_0_0_0	0			bitmaps/00252_mobiles_chair1_a_0_0_0.png
252	bitmap	mobiles_chair1_a_0_0_0	0	709	BITD	raw_chunks/00252_mobiles_chair1_a_0_0_0_709_BITD.bin
253	bitmap	lamp1	0			bitmaps/00253_lamp1.png
253	bitmap	lamp1	0	599	BITD	raw_chunks/00253_lamp1_599_BITD.bin
255	bitmap	mobiles_chair1_a_0_6_0	0			bitmaps/00255_mobiles_chair1_a_0_6_0.png
255	bitmap	mobiles_chair1_a_0_6_0	0	705	BITD	raw_chunks/00255_mobiles_chair1_a_0_6_0_705_BITD.bin
257	text	mobiles_chair2.props	0	766	STXT	text/00257_mobiles_chair2.props_stxt_0.txt
257	text	mobiles_chair2.props	0	766	STXT	raw_chunks/00257_mobiles_chair2.props_766_STXT.bin
259	bitmap	mobiles_table3_a_0_0_0	0			bitmaps/00259_mobiles_table3_a_0_0_0.png
259	bitmap	mobiles_table3_a_0_0_0	0	609	BITD	raw_chunks/00259_mobiles_table3_a_0_0_0_609_BITD.bin
260	bitmap	mobiles_chair1_b_0_6_0	0			bitmaps/00260_mobiles_chair1_b_0_6_0.png
260	bitmap	mobiles_chair1_b_0_6_0	0	703	BITD	raw_chunks/00260_mobiles_chair1_b_0_6_0_703_BITD.bin
261	bitmap	lightlight2	0			bitmaps/00261_lightlight2.png
261	bitmap	lightlight2	0	701	BITD	raw_chunks/00261_lightlight2_701_BITD.bin
262	bitmap	ad_pixel	0			bitmaps/00262_ad_pixel.png
262	bitmap	ad_pixel	0	587	BITD	raw_chunks/00262_ad_pixel_587_BITD.bin
263	bitmap	lightlight1	0			bitmaps/00263_lightlight1.png
263	bitmap	lightlight1	0	699	BITD	raw_chunks/00263_lightlight1_699_BITD.bin
264	bitmap	light_discoball	0			bitmaps/00264_light_discoball.png
264	bitmap	light_discoball	0	697	BITD	raw_chunks/00264_light_discoball_697_BITD.bin
268	bitmap	adframe_chromide1_left	0			bitmaps/00268_adframe_chromide1_left.png
268	bitmap	adframe_chromide1_left	0	585	BITD	raw_chunks/00268_adframe_chromide1_left_585_BITD.bin
274	bitmap	railing3	0			bitmaps/00274_railing3.png
274	bitmap	railing3	0	692	BITD	raw_chunks/00274_railing3_692_BITD.bin
276	bitmap	railing2	0			bitmaps/00276_railing2.png
276	bitmap	railing2	0	690	BITD	raw_chunks/00276_railing2_690_BITD.bin
277	bitmap	railing1	0			bitmaps/00277_railing1.png
277	bitmap	railing1	0	688	BITD	raw_chunks/00277_railing1_688_BITD.bin
279	bitmap	mobiles_table5_a_0_0_0	0			bitmaps/00279_mobiles_table5_a_0_0_0.png
279	bitmap	mobiles_table5_a_0_0_0	0	674	BITD	raw_chunks/00279_mobiles_table5_a_0_0_0_674_BITD.bin
280	bitmap	mobiles_chair3_a_0_0_0	0			bitmaps/00280_mobiles_chair3_a_0_0_0.png
280	bitmap	mobiles_chair3_a_0_0_0	0	615	BITD	raw_chunks/00280_mobiles_chair3_a_0_0_0_615_BITD.bin
282	bitmap	glass6	0			bitmaps/00282_glass6.png
282	bitmap	glass6	0	686	BITD	raw_chunks/00282_glass6_686_BITD.bin
284	bitmap	glass5	0			bitmaps/00284_glass5.png
284	bitmap	glass5	0	684	BITD	raw_chunks/00284_glass5_684_BITD.bin
