index	r	g	b	hex
0	255	255	255	#FFFFFF
1	255	166	53	#FFA635
2	140	86	3	#8C5603
3	138	84	3	#8A5403
4	135	83	3	#875303
5	132	81	3	#845103
6	131	80	3	#835003
7	128	78	3	#804E03
8	127	78	2	#7F4E02
9	125	76	2	#7D4C02
10	121	74	2	#794A02
11	118	72	2	#764802
12	114	69	2	#724502
13	111	68	2	#6F4402
14	109	67	2	#6D4302
15	105	65	2	#694102
16	102	62	2	#663E02
17	100	61	2	#643D02
18	98	60	2	#623C02
19	97	59	2	#613B02
20	93	57	2	#5D3902
21	89	54	2	#593602
22	86	52	2	#563402
23	84	51	2	#543302
24	81	50	2	#513202
25	79	48	2	#4F3002
26	77	47	2	#4D2F02
27	73	45	1	#492D01
28	69	42	1	#452A01
29	67	41	1	#432901
30	65	40	1	#412801
31	62	38	1	#3E2601
32	61	37	1	#3D2501
33	59	36	1	#3B2401
34	56	34	1	#382201
35	54	33	1	#362101
36	52	32	1	#342001
37	49	30	1	#311E01
38	48	29	1	#301D01
39	46	28	1	#2E1C01
40	44	27	1	#2C1B01
41	41	25	1	#291901
42	39	24	1	#271801
43	36	22	1	#241601
44	34	21	1	#221501
45	31	19	1	#1F1301
46	29	18	1	#1D1201
47	27	17	1	#1B1101
48	25	15	0	#190F00
49	22	13	0	#160D00
50	19	12	0	#130C00
51	16	10	0	#100A00
52	14	9	0	#0E0900
53	11	7	0	#0B0700
54	8	5	0	#080500
55	6	4	0	#060400
56	3	2	0	#030200
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
