index	r	g	b	hex
0	255	255	255	#FFFFFF
1	93	236	93	#5DEC5D
2	240	241	242	#F0F1F2
3	112	182	217	#70B6D9
4	87	147	174	#5793AE
5	81	132	155	#51849B
6	53	83	97	#355361
7	98	152	177	#6298B1
8	71	115	134	#477386
9	61	92	104	#3D5C68
10	34	48	52	#223034
11	46	70	76	#2E464C
12	25	38	41	#192629
13	36	52	56	#243438
14	133	179	187	#85B3BB
15	1	2	2	#010202
16	3	4	4	#030404
17	40	44	44	#282C2C
18	39	43	43	#272B2B
19	65	67	67	#414343
20	59	107	105	#3B6B69
21	109	141	137	#6D8D89
22	206	219	216	#CEDBD8
23	25	185	140	#19B98C
24	69	132	114	#458472
25	117	162	144	#75A290
26	179	199	191	#B3C7BF
27	147	179	164	#93B3A4
28	85	156	122	#559C7A
29	44	218	131	#2CDA83
30	127	173	150	#7FAD96
31	213	225	219	#D5E1DB
32	190	196	193	#BEC4C1
33	115	126	120	#737E78
34	160	186	170	#A0BAAA
35	0	178	61	#00B23D
36	61	64	62	#3D403E
37	0	21	0	#001500
38	1	11	1	#010B01
39	23	102	24	#176618
40	9	10	9	#090A09
41	252	253	252	#FCFDFC
42	27	55	23	#1B3717
43	22	38	18	#162612
44	60	119	42	#3C772A
45	19	23	17	#131711
46	45	79	16	#2D4F10
47	155	206	104	#9BCE68
48	6	7	5	#060705
49	37	38	36	#252624
50	145	146	144	#919290
51	85	88	81	#555851
52	11	15	5	#0B0F05
53	79	83	73	#4F5349
54	82	84	78	#52544E
55	79	80	76	#4F504C
56	71	73	64	#474940
57	77	79	69	#4D4F45
58	76	78	68	#4C4E44
59	46	47	42	#2E2F2A
60	119	129	66	#778142
61	147	155	93	#939B5D
62	77	78	71	#4D4E47
63	71	72	63	#47483F
64	70	71	62	#46473E
65	76	77	67	#4C4D43
66	75	76	66	#4B4C42
67	157	160	84	#9DA054
68	161	164	87	#A1A457
69	54	55	30	#36371E
70	171	174	107	#ABAE6B
71	174	177	110	#AEB16E
72	156	159	99	#9C9F63
73	179	182	117	#B3B675
74	170	172	127	#AAAC7F
75	89	90	50	#595A32
76	215	217	152	#D7D998
77	74	74	65	#4A4A41
78	77	77	70	#4D4D46
79	78	78	71	#4E4E47
80	77	77	73	#4D4D49
81	40	40	38	#282826
82	52	52	50	#343432
83	39	39	38	#272726
84	38	38	37	#262625
85	102	102	100	#666664
86	47	47	46	#2F2F2E
87	124	124	122	#7C7C7A
88	38	36	4	#262404
89	58	54	11	#3A360B
90	47	45	22	#2F2D16
91	239	232	147	#EFE893
92	192	187	132	#C0BB84
93	178	161	11	#B2A10B
94	150	136	9	#968809
95	116	105	10	#74690A
96	88	80	10	#58500A
97	181	166	32	#B5A620
98	74	68	16	#4A4410
99	172	162	70	#ACA246
100	162	153	67	#A29943
101	141	133	59	#8D853B
102	73	72	63	#49483F
103	243	212	0	#F3D400
104	237	218	91	#EDDA5B
105	145	129	29	#91811D
106	188	176	99	#BCB063
107	230	228	216	#E6E4D8
108	205	183	65	#CDB741
109	72	67	42	#48432A
110	61	57	37	#3D3925
111	70	69	65	#464541
112	74	73	69	#4A4945
113	175	156	84	#AF9C54
114	114	99	54	#726336
115	37	28	3	#251C03
116	141	121	76	#8D794C
117	192	129	0	#C08100
118	42	29	3	#2A1D03
119	110	80	18	#6E5012
120	57	48	30	#39301E
121	33	32	30	#21201E
122	37	36	34	#252422
123	42	41	39	#2A2927
124	158	157	155	#9E9D9B
125	228	145	0	#E49100
126	190	124	0	#BE7C00
127	186	122	0	#BA7A00
128	134	87	1	#865701
129	88	61	14	#583D0E
130	32	23	6	#201706
131	187	140	53	#BB8C35
132	84	64	28	#54401C
133	99	77	39	#634D27
134	28	22	11	#1C160B
135	44	35	18	#2C2312
136	148	110	46	#946E2E
137	57	43	20	#392B14
138	77	58	28	#4D3A1C
139	66	50	25	#423219
140	83	52	8	#533408
141	23	15	3	#170F03
142	57	40	15	#39280F
143	116	84	35	#745423
144	50	37	18	#322512
145	74	55	27	#4A371B
146	52	39	19	#342713
147	40	30	15	#281E0F
148	110	85	47	#6E552F
149	149	94	20	#955E14
150	47	37	24	#2F2518
151	188	105	0	#BC6900
152	176	97	0	#B06100
153	172	93	0	#AC5D00
154	118	67	2	#764302
155	10	6	1	#0A0601
156	162	113	52	#A27134
157	77	66	52	#4D4234
158	185	99	0	#B96300
159	131	70	0	#834600
160	102	53	0	#663500
161	102	67	28	#66431C
162	76	50	22	#4C3216
163	82	53	24	#523518
164	35	24	13	#23180D
165	114	92	69	#725C45
166	94	46	3	#5E2E03
167	49	30	13	#311E0D
168	60	38	17	#3C2611
169	80	63	48	#503F30
170	159	74	0	#9F4A00
171	155	71	0	#9B4700
172	111	50	0	#6F3200
173	79	37	1	#4F2501
174	182	166	153	#B6A699
175	155	69	0	#9B4500
176	60	28	4	#3C1C04
177	27	17	9	#1B1109
178	75	54	38	#4B3626
179	134	100	75	#86644B
180	78	59	44	#4E3B2C
181	71	49	33	#473121
182	110	80	59	#6E503B
183	112	84	64	#705440
184	44	24	12	#2C180C
185	115	66	36	#734224
186	38	25	17	#261911
187	56	39	28	#38271C
188	168	125	99	#A87D63
189	77	39	18	#4D2712
190	114	61	31	#723D1F
191	145	79	41	#914F29
192	123	70	39	#7B4627
193	84	42	20	#542A14
194	103	55	29	#67371D
195	34	19	11	#22130B
196	44	28	20	#2C1C14
197	222	164	133	#DEA485
198	27	13	7	#1B0D07
199	17	6	3	#110603
200	33	7	1	#210701
201	119	20	0	#771400
202	97	16	0	#611000
203	64	11	0	#400B00
204	115	22	2	#731602
205	111	22	2	#6F1602
206	88	18	2	#581202
207	105	22	3	#691603
208	101	21	3	#651503
209	96	20	3	#601403
210	40	9	2	#280902
211	120	43	27	#782B1B
212	104	67	59	#68433B
213	79	12	0	#4F0C00
214	69	11	0	#450B00
215	61	9	0	#3D0900
216	108	18	1	#6C1201
217	107	18	1	#6B1201
218	73	12	1	#490C01
219	118	20	2	#761402
220	101	18	2	#651202
221	68	12	2	#440C02
222	56	10	2	#380A02
223	78	27	17	#4E1B11
224	94	32	21	#5E2015
225	230	92	69	#E65C45
226	64	52	50	#403432
227	109	13	3	#6D0D03
228	110	14	4	#6E0E04
229	120	16	5	#781005
230	119	16	5	#771005
231	76	10	3	#4C0A03
232	82	12	4	#520C04
233	97	14	5	#610E05
234	66	10	4	#420A04
235	77	12	5	#4D0C05
236	199	64	48	#C74030
237	136	16	4	#881004
238	110	16	7	#6E1007
239	110	15	7	#6E0F07
240	109	15	7	#6D0F07
241	71	11	5	#470B05
242	90	14	7	#5A0E07
243	207	40	25	#CF2819
244	119	21	18	#771512
245	104	18	16	#681210
246	47	43	43	#2F2B2B
247	16	15	15	#100F0F
248	28	27	27	#1C1B1B
249	42	42	42	#2A2A2A
250	11	11	11	#0B0B0B
251	7	7	7	#070707
252	81	95	40	#515F28
253	119	161	65	#77A141
254	152	204	85	#98CC55
255	0	0	0	#000000
