member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
100	text	park_a.room	0	1191	STXT	text/00100_park_a.room_stxt_0.txt
100	text	park_a.room	0	1191	STXT	raw_chunks/00100_park_a.room_1191_STXT.bin
138	text	hubu_bus_notopen.window	0	1189	STXT	text/00138_hubu_bus_notopen.window_stxt_0.txt
138	text	hubu_bus_notopen.window	0	1189	STXT	raw_chunks/00138_hubu_bus_notopen.window_1189_STXT.bin
177	bitmap	park_pensasmaski12	0			bitmaps/00177_park_pensasmaski12.png
177	bitmap	park_pensasmaski12	0	1053	BITD	raw_chunks/00177_park_pensasmaski12_1053_BITD.bin
203	text	hubu_poll.window	0	1187	STXT	text/00203_hubu_poll.window_stxt_0.txt
203	text	hubu_poll.window	0	1187	STXT	raw_chunks/00203_hubu_poll.window_1187_STXT.bin
214	bitmap	cornerchair2_a_0_4_0	0			bitmaps/00214_cornerchair2_a_0_4_0.png
214	bitmap	cornerchair2_a_0_4_0	0	1123	BITD	raw_chunks/00214_cornerchair2_a_0_4_0_1123_BITD.bin
263	bitmap	hubu_time_bar	0			bitmaps/00263_hubu_time_bar.png
263	bitmap	hubu_time_bar	0	1173	BITD	raw_chunks/00263_hubu_time_bar_1173_BITD.bin
264	bitmap	hubu_button_f	0			bitmaps/00264_hubu_button_f.png
264	bitmap	hubu_button_f	0	1185	BITD	raw_chunks/00264_hubu_button_f_1185_BITD.bin
265	bitmap	hubu_button_e	0			bitmaps/00265_hubu_button_e.png
265	bitmap	hubu_button_e	0	1183	BITD	raw_chunks/00265_hubu_button_e_1183_BITD.bin
266	bitmap	hubu_button_d	0			bitmaps/00266_hubu_button_d.png
266	bitmap	hubu_button_d	0	1181	BITD	raw_chunks/00266_hubu_button_d_1181_BITD.bin
267	bitmap	hubu_button_c	0			bitmaps/00267_hubu_button_c.png
267	bitmap	hubu_button_c	0	1179	BITD	raw_chunks/00267_hubu_button_c_1179_BITD.bin
268	bitmap	hubu_button_b	0			bitmaps/00268_hubu_button_b.png
268	bitmap	hubu_button_b	0	1177	BITD	raw_chunks/00268_hubu_button_b_1177_BITD.bin
269	bitmap	hubu_button_a	0			bitmaps/00269_hubu_button_a.png
269	bitmap	hubu_button_a	0	1175	BITD	raw_chunks/00269_hubu_button_a_1175_BITD.bin
270	bitmap	hubu_dialog_close	0			bitmaps/00270_hubu_dialog_close.png
270	bitmap	hubu_dialog_close	0	1167	BITD	raw_chunks/00270_hubu_dialog_close_1167_BITD.bin
271	bitmap	hubu_bar	0			bitmaps/00271_hubu_bar.png
271	bitmap	hubu_bar	0	1171	BITD	raw_chunks/00271_hubu_bar_1171_BITD.bin
272	bitmap	hubu_question_bg	0			bitmaps/00272_hubu_question_bg.png
272	bitmap	hubu_question_bg	0	1169	BITD	raw_chunks/00272_hubu_question_bg_1169_BITD.bin
311	text	hubu.index	0	1196	STXT	text/00311_hubu.index_stxt_0.txt
311	text	hubu.index	0	1196	STXT	raw_chunks/00311_hubu.index_1196_STXT.bin
330	bitmap	park_pensasmaski8	0			bitmaps/00330_park_pensasmaski8.png
330	bitmap	park_pensasmaski8	0	1045	BITD	raw_chunks/00330_park_pensasmaski8_1045_BITD.bin
339	bitmap	park_pensasmaski2	0			bitmaps/00339_park_pensasmaski2.png
339	bitmap	park_pensasmaski2	0	1030	BITD	raw_chunks/00339_park_pensasmaski2_1030_BITD.bin
348	bitmap	blockhilite_park	0			bitmaps/00348_blockhilite_park.png
348	bitmap	blockhilite_park	0	1157	BITD	raw_chunks/00348_blockhilite_park_1157_BITD.bin
349	bitmap	hiliter_park	0			bitmaps/00349_hiliter_park.png
349	bitmap	hiliter_park	0	1155	BITD	raw_chunks/00349_hiliter_park_1155_BITD.bin
350	bitmap	stand_bgblend	0			bitmaps/00350_stand_bgblend.png
350	bitmap	stand_bgblend	0	1153	BITD	raw_chunks/00350_stand_bgblend_1153_BITD.bin
351	bitmap	hububar_sd	0			bitmaps/00351_hububar_sd.png
351	bitmap	hububar_sd	0	1151	BITD	raw_chunks/00351_hububar_sd_1151_BITD.bin
352	bitmap	hububar_a_0_2_1	0			bitmaps/00352_hububar_a_0_2_1.png
352	bitmap	hububar_a_0_2_1	0	1149	BITD	raw_chunks/00352_hububar_a_0_2_1_1149_BITD.bin
353	bitmap	hububar_a_0_2_0	0			bitmaps/00353_hububar_a_0_2_0.png
353	bitmap	hububar_a_0_2_0	0	1147	BITD	raw_chunks/00353_hububar_a_0_2_0_1147_BITD.bin
354	bitmap	getout	0			bitmaps/00354_getout.png
