member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
395	bitmap	park_hubukiosk_a_0_4_0	0			bitmaps/00395_park_hubukiosk_a_0_4_0.png
395	bitmap	park_hubukiosk_a_0_4_0	0	725	BITD	raw_chunks/00395_park_hubukiosk_a_0_4_0_725_BITD.bin
615	bitmap	park_bussi	0			bitmaps/00615_park_bussi.png
615	bitmap	park_bussi	0	707	BITD	raw_chunks/00615_park_bussi_707_BITD.bin
635	bitmap	bus_frontmask3	0			bitmaps/00635_bus_frontmask3.png
635	bitmap	bus_frontmask3	0	723	BITD	raw_chunks/00635_bus_frontmask3_723_BITD.bin
636	bitmap	bus_frontmask2	0			bitmaps/00636_bus_frontmask2.png
636	bitmap	bus_frontmask2	0	721	BITD	raw_chunks/00636_bus_frontmask2_721_BITD.bin
638	bitmap	bus_frontmask1	0			bitmaps/00638_bus_frontmask1.png
638	bitmap	bus_frontmask1	0	719	BITD	raw_chunks/00638_bus_frontmask1_719_BITD.bin
639	bitmap	bussi_tyhja128	0			bitmaps/00639_bussi_tyhja128.png
639	bitmap	bussi_tyhja128	0	717	BITD	raw_chunks/00639_bussi_tyhja128_717_BITD.bin
658	bitmap	park_bussi_ovi	0			bitmaps/00658_park_bussi_ovi.png
658	bitmap	park_bussi_ovi	0	711	BITD	raw_chunks/00658_park_bussi_ovi_711_BITD.bin
659	bitmap	park_bussi_varjo	0			bitmaps/00659_park_bussi_varjo.png
659	bitmap	park_bussi_varjo	0	709	BITD	raw_chunks/00659_park_bussi_varjo_709_BITD.bin
664	bitmap	park_bussimaski	0			bitmaps/00664_park_bussimaski.png
664	bitmap	park_bussimaski	0	713	BITD	raw_chunks/00664_park_bussimaski_713_BITD.bin
689	bitmap	park_bussioviopen	0			bitmaps/00689_park_bussioviopen.png
689	bitmap	park_bussioviopen	0	715	BITD	raw_chunks/00689_park_bussioviopen_715_BITD.bin
