index	r	g	b	hex
0	255	255	255	#FFFFFF
1	20	18	19	#141213
2	93	91	92	#5D5B5C
3	187	186	187	#BBBABB
4	57	55	58	#39373A
5	15	11	32	#0F0B20
6	20	14	139	#140E8B
7	0	153	255	#0099FF
8	0	100	167	#0064A7
9	58	159	224	#3A9FE0
10	51	166	229	#33A6E5
11	51	159	220	#339FDC
12	52	187	255	#34BBFF
13	23	25	26	#17191A
14	190	195	197	#BEC3C5
15	65	204	255	#41CCFF
16	79	209	255	#4FD1FF
17	103	220	255	#67DCFF
18	16	24	24	#101818
19	100	114	107	#64726B
20	71	81	76	#47514C
21	124	140	132	#7C8C84
22	108	123	115	#6C7B73
23	145	158	151	#919E97
24	15	31	15	#0F1F0F
25	57	74	57	#394A39
26	225	220	122	#E1DC7A
27	255	231	0	#FFE700
28	180	171	147	#B4AB93
29	255	150	0	#FF9600
30	255	153	0	#FF9900
31	255	126	0	#FF7E00
32	204	102	0	#CC6600
33	153	102	51	#996633
34	248	104	0	#F86800
35	228	96	0	#E46000
36	163	154	148	#A39A94
37	131	126	125	#837E7D
38	204	0	0	#CC0000
39	102	0	0	#660000
40	51	0	0	#330000
41	42	37	37	#2A2525
42	88	80	80	#585050
43	149	139	139	#958B8B
44	100	94	94	#645E5E
45	140	132	132	#8C8484
46	58	55	55	#3A3737
47	166	160	160	#A6A0A0
48	209	204	204	#D1CCCC
49	184	182	182	#B8B6B6
50	137	134	135	#898687
51	230	230	230	#E6E6E6
52	229	229	229	#E5E5E5
53	204	204	204	#CCCCCC
54	153	153	153	#999999
55	255	255	255	#FFFFFF
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	255	255	255	#FFFFFF
65	89	85	85	#595555
66	26	108	193	#1A6CC1
67	58	57	57	#3A3939
68	137	136	135	#898887
69	237	107	0	#ED6B00
70	102	0	0	#660000
71	99	90	84	#635A54
72	201	200	200	#C9C8C8
73	231	166	46	#E7A62E
74	145	158	151	#919E97
75	51	46	40	#332E28
76	21	21	21	#151515
77	218	217	217	#DAD9D9
78	244	243	243	#F4F3F3
79	166	160	160	#A6A0A0
80	151	111	42	#976F2A
81	155	2	2	#9B0202
82	108	108	107	#6C6C6B
83	229	229	229	#E5E5E5
84	183	181	181	#B7B5B5
85	249	250	249	#F9FAF9
86	123	123	123	#7B7B7B
87	236	236	236	#ECECEC
88	79	79	79	#4F4F4F
89	169	82	85	#A95255
90	71	71	71	#474747
91	186	135	44	#BA872C
92	190	188	188	#BEBCBC
93	237	226	226	#EDE2E2
94	118	89	40	#765928
95	148	141	141	#948D8D
96	51	0	0	#330000
97	208	205	202	#D0CDCA
98	76	63	47	#4C3F2F
99	254	254	254	#FEFEFE
100	42	37	37	#2A2525
101	132	126	126	#847E7E
102	3	3	3	#030303
103	220	159	45	#DC9F2D
104	159	154	154	#9F9A9A
105	116	111	110	#746F6E
106	107	31	34	#6B1F22
107	177	174	171	#B1AEAB
108	162	160	160	#A2A0A0
109	28	27	31	#1C1B1F
110	71	81	76	#47514C
111	100	114	107	#64726B
112	155	69	71	#9B4547
113	147	136	123	#93887B
114	252	251	251	#FCFBFB
115	191	195	196	#BFC3C4
116	222	3	3	#DE0303
117	183	102	104	#B76668
118	255	150	0	#FF9600
119	124	140	132	#7C8C84
120	35	35	35	#232323
121	108	123	115	#6C7B73
122	9	9	9	#090909
123	154	38	41	#9A2629
124	107	16	18	#6B1012
125	51	51	51	#333333
126	207	150	45	#CF962D
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
148	0	0	0	#000000
149	0	0	0	#000000
150	0	0	0	#000000
151	0	0	0	#000000
152	0	0	0	#000000
153	0	0	0	#000000
154	0	0	0	#000000
155	0	0	0	#000000
156	0	0	0	#000000
157	0	0	0	#000000
158	0	0	0	#000000
159	0	0	0	#000000
160	0	0	0	#000000
161	0	0	0	#000000
162	0	0	0	#000000
163	0	0	0	#000000
164	0	0	0	#000000
165	0	0	0	#000000
166	0	0	0	#000000
167	0	0	0	#000000
168	0	0	0	#000000
169	0	0	0	#000000
170	0	0	0	#000000
171	0	0	0	#000000
172	0	0	0	#000000
173	0	0	0	#000000
174	0	0	0	#000000
175	0	0	0	#000000
176	0	0	0	#000000
177	0	0	0	#000000
178	0	0	0	#000000
179	0	0	0	#000000
180	0	0	0	#000000
181	0	0	0	#000000
182	0	0	0	#000000
183	0	0	0	#000000
184	0	0	0	#000000
185	0	0	0	#000000
186	0	0	0	#000000
187	0	0	0	#000000
188	0	0	0	#000000
189	0	0	0	#000000
190	0	0	0	#000000
191	0	0	0	#000000
192	0	0	0	#000000
193	0	0	0	#000000
194	0	0	0	#000000
195	0	0	0	#000000
196	0	0	0	#000000
197	0	0	0	#000000
198	0	0	0	#000000
199	0	0	0	#000000
200	0	0	0	#000000
201	0	0	0	#000000
202	0	0	0	#000000
203	0	0	0	#000000
204	0	0	0	#000000
205	0	0	0	#000000
206	0	0	0	#000000
207	0	0	0	#000000
208	0	0	0	#000000
209	0	0	0	#000000
210	0	0	0	#000000
211	0	0	0	#000000
212	0	0	0	#000000
213	0	0	0	#000000
214	0	0	0	#000000
215	0	0	0	#000000
216	0	0	0	#000000
217	0	0	0	#000000
218	0	0	0	#000000
219	0	0	0	#000000
220	0	0	0	#000000
221	0	0	0	#000000
222	0	0	0	#000000
223	0	0	0	#000000
