member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
395	bitmap	park_hubukiosk_a_0_4_0	0			bitmaps/00395_park_hubukiosk_a_0_4_0.png
395	bitmap	park_hubukiosk_a_0_4_0	0	762	BITD	raw_chunks/00395_park_hubukiosk_a_0_4_0_762_BITD.bin
463	bitmap	park_bussi_varjo	0			bitmaps/00463_park_bussi_varjo.png
463	bitmap	park_bussi_varjo	0	746	BITD	raw_chunks/00463_park_bussi_varjo_746_BITD.bin
632	bitmap	park_bussi_ovi	0			bitmaps/00632_park_bussi_ovi.png
632	bitmap	park_bussi_ovi	0	748	BITD	raw_chunks/00632_park_bussi_ovi_748_BITD.bin
654	bitmap	park_bussimaski	0			bitmaps/00654_park_bussimaski.png
654	bitmap	park_bussimaski	0	750	BITD	raw_chunks/00654_park_bussimaski_750_BITD.bin
666	bitmap	bus_frontmask1	0			bitmaps/00666_bus_frontmask1.png
666	bitmap	bus_frontmask1	0	756	BITD	raw_chunks/00666_bus_frontmask1_756_BITD.bin
685	bitmap	park_bussioviopen	0			bitmaps/00685_park_bussioviopen.png
685	bitmap	park_bussioviopen	0	752	BITD	raw_chunks/00685_park_bussioviopen_752_BITD.bin
689	bitmap	bus_frontmask2	0			bitmaps/00689_bus_frontmask2.png
689	bitmap	bus_frontmask2	0	758	BITD	raw_chunks/00689_bus_frontmask2_758_BITD.bin
693	bitmap	bussi_tyhja128	0			bitmaps/00693_bussi_tyhja128.png
693	bitmap	bussi_tyhja128	0	754	BITD	raw_chunks/00693_bussi_tyhja128_754_BITD.bin
723	bitmap	bus_frontmask3	0			bitmaps/00723_bus_frontmask3.png
723	bitmap	bus_frontmask3	0	760	BITD	raw_chunks/00723_bus_frontmask3_760_BITD.bin
726	bitmap	park_bussi	0			bitmaps/00726_park_bussi.png
726	bitmap	park_bussi	0	744	BITD	raw_chunks/00726_park_bussi_744_BITD.bin
