index	r	g	b	hex
0	255	255	255	#FFFFFF
1	139	0	7	#8B0007
2	0	74	154	#004A9A
3	0	93	192	#005DC0
4	190	195	197	#BEC3C5
5	16	24	24	#101818
6	100	114	107	#64726B
7	71	81	76	#47514C
8	124	140	132	#7C8C84
9	108	123	115	#6C7B73
10	145	158	151	#919E97
11	238	217	117	#EED975
12	194	179	132	#C2B384
13	178	164	126	#B2A47E
14	234	229	215	#EAE5D7
15	227	218	198	#E3DAC6
16	200	143	26	#C88F1A
17	225	165	40	#E1A528
18	240	237	231	#F0EDE7
19	218	207	186	#DACFBA
20	245	242	237	#F5F2ED
21	255	150	0	#FF9600
22	255	199	120	#FFC778
23	192	176	154	#C0B09A
24	255	126	0	#FF7E00
25	251	250	249	#FBFAF9
26	222	196	176	#DEC4B0
27	228	96	0	#E46000
28	192	110	74	#C06E4A
29	255	119	109	#FF776D
30	255	0	0	#FF0000
31	255	18	18	#FF1212
32	42	37	37	#2A2525
33	88	80	80	#585050
34	101	93	93	#655D5D
35	149	139	139	#958B8B
36	140	132	132	#8C8484
37	103	97	97	#676161
38	58	55	55	#3A3737
39	161	154	154	#A19A9A
40	132	126	126	#847E7E
41	166	160	160	#A6A0A0
42	209	204	204	#D1CCCC
43	184	182	182	#B8B6B6
44	222	0	7	#DE0007
45	230	230	230	#E6E6E6
46	215	215	215	#D7D7D7
47	155	155	155	#9B9B9B
48	62	62	62	#3E3E3E
49	255	255	255	#FFFFFF
50	0	0	0	#000000
51	0	0	0	#000000
52	0	0	0	#000000
53	0	0	0	#000000
54	0	0	0	#000000
55	0	0	0	#000000
56	0	0	0	#000000
57	0	0	0	#000000
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
