index	r	g	b	hex
0	255	255	255	#FFFFFF
1	31	31	31	#1F1F1F
2	35	137	204	#2389CC
3	51	159	224	#339FE0
4	58	159	224	#3A9FE0
5	51	153	204	#3399CC
6	83	177	224	#53B1E0
7	98	199	249	#62C7F9
8	102	204	255	#66CCFF
9	10	31	41	#0A1F29
10	122	214	255	#7AD6FF
11	112	214	255	#70D6FF
12	107	193	230	#6BC1E6
13	190	195	197	#BEC3C5
14	97	193	230	#61C1E6
15	82	173	204	#52ADCC
16	92	184	214	#5CB8D6
17	143	229	255	#8FE5FF
18	107	229	255	#6BE5FF
19	102	194	214	#66C2D6
20	95	229	255	#5FE5FF
21	180	239	249	#B4EFF9
22	100	234	255	#64EAFF
23	133	235	245	#85EBF5
24	0	51	51	#003333
25	153	255	255	#99FFFF
26	31	51	51	#1F3333
27	163	255	255	#A3FFFF
28	16	24	24	#101818
29	194	255	255	#C2FFFF
30	204	255	255	#CCFFFF
31	122	214	204	#7AD6CC
32	133	224	214	#85E0D6
33	163	214	204	#A3D6CC
34	173	224	214	#ADE0D6
35	143	235	214	#8FEBD6
36	184	235	214	#B8EBD6
37	51	153	102	#339966
38	31	92	51	#1F5C33
39	35	92	51	#235C33
40	0	102	0	#006600
41	0	51	0	#003300
42	0	46	0	#002E00
43	0	10	0	#000A00
44	30	131	30	#1E831E
45	51	153	51	#339933
46	102	204	102	#66CC66
47	51	102	51	#336633
48	10	20	10	#0A140A
49	57	74	57	#394A39
50	63	137	51	#3F8933
51	71	137	51	#478933
52	20	31	10	#141F0A
53	102	153	51	#669933
54	153	204	102	#99CC66
55	255	255	153	#FFFF99
56	255	255	204	#FFFFCC
57	251	234	36	#FBEA24
58	230	190	4	#E6BE04
59	255	218	41	#FFDA29
60	246	223	108	#F6DF6C
61	238	217	117	#EED975
62	255	239	163	#FFEFA3
63	255	204	0	#FFCC00
64	204	153	0	#CC9900
65	214	162	3	#D6A203
66	255	204	51	#FFCC33
67	178	164	126	#B2A47E
68	153	102	0	#996600
69	204	153	51	#CC9933
70	255	204	102	#FFCC66
71	255	150	0	#FF9600
72	255	153	0	#FF9900
73	166	113	37	#A67125
74	203	147	64	#CB9340
75	255	126	0	#FF7E00
76	204	102	0	#CC6600
77	102	51	0	#663300
78	255	153	51	#FF9933
79	153	102	51	#996633
80	122	82	41	#7A5229
81	204	153	102	#CC9966
82	163	122	82	#A37A52
83	255	102	0	#FF6600
84	228	96	0	#E46000
85	153	51	0	#993300
86	55	42	35	#372A23
87	204	51	0	#CC3300
88	255	102	51	#FF6633
89	255	0	0	#FF0000
90	204	0	0	#CC0000
91	153	0	0	#990000
92	102	0	0	#660000
93	51	0	0	#330000
94	15	12	12	#0F0C0C
95	30	25	25	#1E1919
96	42	37	37	#2A2525
97	88	80	80	#585050
98	149	139	139	#958B8B
99	94	88	88	#5E5858
100	103	97	97	#676161
101	58	55	55	#3A3737
102	144	137	137	#908989
103	122	116	116	#7A7474
104	161	154	154	#A19A9A
105	132	126	126	#847E7E
106	166	160	160	#A6A0A0
