member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
46	bitmap	picnic_bowerfront	0			bitmaps/00046_picnic_bowerfront.png
46	bitmap	picnic_bowerfront	0	800	BITD	raw_chunks/00046_picnic_bowerfront_800_BITD.bin
58	bitmap	picnic_table_a_0_2_0	0			bitmaps/00058_picnic_table_a_0_2_0.png
58	bitmap	picnic_table_a_0_2_0	0	886	BITD	raw_chunks/00058_picnic_table_a_0_2_0_886_BITD.bin
64	bitmap	picnic_firewood3_a_0_0_0	0			bitmaps/00064_picnic_firewood3_a_0_0_0.png
64	bitmap	picnic_firewood3_a_0_0_0	0	838	BITD	raw_chunks/00064_picnic_firewood3_a_0_0_0_838_BITD.bin
103	bitmap	hiliter_pub	0			bitmaps/00103_hiliter_pub.png
103	bitmap	hiliter_pub	0	790	BITD	raw_chunks/00103_hiliter_pub_790_BITD.bin
105	bitmap	one_pixel	0			bitmaps/00105_one_pixel.png
105	bitmap	one_pixel	0	772	BITD	raw_chunks/00105_one_pixel_772_BITD.bin
203	bitmap	exitshape	0			bitmaps/00203_exitshape.png
203	bitmap	exitshape	0	774	BITD	raw_chunks/00203_exitshape_774_BITD.bin
207	bitmap	picnic_lemonade_a_0_0_0	0			bitmaps/00207_picnic_lemonade_a_0_0_0.png
207	bitmap	picnic_lemonade_a_0_0_0	0	786	BITD	raw_chunks/00207_picnic_lemonade_a_0_0_0_786_BITD.bin
224	bitmap	picnic_stump_a_0_0_0	0			bitmaps/00224_picnic_stump_a_0_0_0.png
224	bitmap	picnic_stump_a_0_0_0	0	782	BITD	raw_chunks/00224_picnic_stump_a_0_0_0_782_BITD.bin
226	bitmap	picnic_cabbage_a_0_0_0	0			bitmaps/00226_picnic_cabbage_a_0_0_0.png
226	bitmap	picnic_cabbage_a_0_0_0	0	792	BITD	raw_chunks/00226_picnic_cabbage_a_0_0_0_792_BITD.bin
230	bitmap	picnic_bowerside1	0			bitmaps/00230_picnic_bowerside1.png
230	bitmap	picnic_bowerside1	0	802	BITD	raw_chunks/00230_picnic_bowerside1_802_BITD.bin
231	bitmap	picnic_bowerside2	0			bitmaps/00231_picnic_bowerside2.png
231	bitmap	picnic_bowerside2	0	804	BITD	raw_chunks/00231_picnic_bowerside2_804_BITD.bin
252	bitmap	picnic_bench1_a_0_0_0	0			bitmaps/00252_picnic_bench1_a_0_0_0.png
252	bitmap	picnic_bench1_a_0_0_0	0	880	BITD	raw_chunks/00252_picnic_bench1_a_0_0_0_880_BITD.bin
259	bitmap	hedge4_a_0_4_0	0			bitmaps/00259_hedge4_a_0_4_0.png
259	bitmap	hedge4_a_0_4_0	0	816	BITD	raw_chunks/00259_hedge4_a_0_4_0_816_BITD.bin
294	bitmap	picnic_fireplace1_a_0_0_0	0			bitmaps/00294_picnic_fireplace1_a_0_0_0.png
294	bitmap	picnic_fireplace1_a_0_0_0	0	848	BITD	raw_chunks/00294_picnic_fireplace1_a_0_0_0_848_BITD.bin
296	bitmap	picnic_redflower_a_0_0_0	0			bitmaps/00296_picnic_redflower_a_0_0_0.png
296	bitmap	picnic_redflower_a_0_0_0	0	872	BITD	raw_chunks/00296_picnic_redflower_a_0_0_0_872_BITD.bin
303	bitmap	picnic_firewood2_a_0_0_0	0			bitmaps/00303_picnic_firewood2_a_0_0_0.png
303	bitmap	picnic_firewood2_a_0_0_0	0	836	BITD	raw_chunks/00303_picnic_firewood2_a_0_0_0_836_BITD.bin
318	bitmap	hedge9_a_0_4_0	0			bitmaps/00318_hedge9_a_0_4_0.png
318	bitmap	hedge9_a_0_4_0	0	826	BITD	raw_chunks/00318_hedge9_a_0_4_0_826_BITD.bin
322	bitmap	hedge8_a_0_4_0	0			bitmaps/00322_hedge8_a_0_4_0.png
