index	r	g	b	hex
0	255	255	255	#FFFFFF
1	166	34	16	#A62210
2	51	153	0	#339900
3	102	204	51	#66CC33
4	111	191	53	#6FBF35
5	36	110	1	#246E01
6	28	149	48	#1C9530
7	123	12	14	#7B0C0E
8	249	115	119	#F97377
9	11	112	32	#0B7020
10	12	112	33	#0C7021
11	14	123	37	#0E7B25
12	13	113	34	#0D7122
13	15	125	38	#0F7D26
14	14	114	35	#0E7223
15	14	112	36	#0E7024
16	16	125	39	#107D27
17	15	117	36	#0F7524
18	17	126	40	#117E28
19	25	141	49	#198D31
20	23	130	45	#17822D
21	14	114	34	#0E7222
22	16	127	38	#107F26
23	15	117	35	#0F7523
24	17	130	38	#118226
25	17	128	39	#118027
26	18	132	39	#128427
27	16	120	35	#107823
28	16	118	36	#107624
29	18	131	39	#128327
30	18	129	40	#128128
31	19	132	40	#138428
32	19	129	39	#138127
33	18	122	38	#127A26
34	20	131	42	#14832A
35	22	137	45	#16892D
36	22	134	43	#16862B
37	25	145	47	#19912F
38	25	143	48	#198F30
39	23	132	44	#17842C
40	26	146	48	#1A9230
41	26	144	49	#1A9031
42	26	143	49	#1A8F31
43	27	145	50	#1B9132
44	28	148	50	#1C9432
45	28	146	51	#1C9233
46	29	147	52	#1D9334
47	30	150	52	#1E9634
48	19	110	34	#136E22
49	25	135	44	#19872C
50	26	137	45	#1A892D
51	29	150	48	#1D9630
52	30	151	49	#1E9731
53	30	151	50	#1E9732
54	30	149	50	#1E9532
55	30	148	49	#1E9431
56	24	120	41	#187829
57	31	152	51	#1F9833
58	0	149	19	#009513
59	23	132	35	#178423
60	30	146	42	#1E922A
61	29	124	37	#1D7C25
62	38	137	42	#26892A
63	24	123	27	#187B1B
64	31	137	34	#1F8922
65	0	1	0	#000100
66	35	150	36	#239624
67	57	163	51	#39A333
68	33	140	22	#218C16
69	33	127	21	#217F15
70	41	151	23	#299717
71	68	169	53	#44A935
72	42	146	14	#2A920E
73	35	115	7	#237307
74	48	152	7	#309807
75	89	183	51	#59B733
76	70	142	39	#468E27
77	51	152	0	#339800
78	50	150	0	#329600
79	49	147	0	#319300
80	48	144	0	#309000
81	47	140	0	#2F8C00
82	46	138	0	#2E8A00
83	46	137	0	#2E8900
84	45	136	0	#2D8800
85	45	134	0	#2D8600
86	44	133	0	#2C8500
87	43	132	0	#2B8400
88	43	130	0	#2B8200
89	43	129	0	#2B8100
90	41	124	0	#297C00
91	27	81	0	#1B5100
92	15	45	0	#0F2D00
93	2	6	0	#020600
94	1	3	0	#010300
95	52	154	1	#349A01
96	44	131	1	#2C8301
97	42	127	1	#2A7F01
98	41	125	1	#297D01
99	40	122	1	#287A01
100	39	119	1	#277701
101	38	115	1	#267301
102	37	112	1	#257001
103	36	111	1	#246F01
104	36	109	1	#246D01
105	35	108	1	#236C01
106	36	107	1	#246B01
107	34	106	1	#226A01
108	34	104	1	#226801
109	33	102	1	#216601
110	33	101	1	#216501
111	32	99	1	#206301
112	31	96	1	#1F6001
113	31	94	1	#1F5E01
114	30	93	1	#1E5D01
115	29	89	1	#1D5901
116	50	153	2	#329902
117	54	156	3	#369C03
118	43	126	2	#2B7E02
119	55	157	4	#379D04
120	40	115	4	#287304
121	57	159	6	#399F06
122	9	26	1	#091A01
123	55	148	8	#379408
124	60	162	9	#3CA209
125	44	121	7	#2C7907
126	50	130	11	#32820B
127	66	168	15	#42A80F
128	54	136	14	#36880E
