member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
64	bitmap	picnic_firewood3_a_0_0_0	0			bitmaps/00064_picnic_firewood3_a_0_0_0.png
64	bitmap	picnic_firewood3_a_0_0_0	0	922	BITD	raw_chunks/00064_picnic_firewood3_a_0_0_0_922_BITD.bin
103	bitmap	hiliter_pub	0			bitmaps/00103_hiliter_pub.png
103	bitmap	hiliter_pub	0	882	BITD	raw_chunks/00103_hiliter_pub_882_BITD.bin
105	bitmap	one_pixel	0			bitmaps/00105_one_pixel.png
105	bitmap	one_pixel	0	864	BITD	raw_chunks/00105_one_pixel_864_BITD.bin
203	bitmap	exitshape	0			bitmaps/00203_exitshape.png
203	bitmap	exitshape	0	866	BITD	raw_chunks/00203_exitshape_866_BITD.bin
207	bitmap	picnic_lemonade_a_0_0_0	0			bitmaps/00207_picnic_lemonade_a_0_0_0.png
207	bitmap	picnic_lemonade_a_0_0_0	0	880	BITD	raw_chunks/00207_picnic_lemonade_a_0_0_0_880_BITD.bin
224	bitmap	picnic_stump_a_0_0_0	0			bitmaps/00224_picnic_stump_a_0_0_0.png
224	bitmap	picnic_stump_a_0_0_0	0	876	BITD	raw_chunks/00224_picnic_stump_a_0_0_0_876_BITD.bin
226	bitmap	picnic_cabbage_a_0_0_0	0			bitmaps/00226_picnic_cabbage_a_0_0_0.png
226	bitmap	picnic_cabbage_a_0_0_0	0	884	BITD	raw_chunks/00226_picnic_cabbage_a_0_0_0_884_BITD.bin
230	text	variable.index	0	858	STXT	text/00230_variable.index_stxt_0.txt
230	text	variable.index	0	858	STXT	raw_chunks/00230_variable.index_858_STXT.bin
252	bitmap	picnic_bench1_a_0_0_0	0			bitmaps/00252_picnic_bench1_a_0_0_0.png
252	bitmap	picnic_bench1_a_0_0_0	0	954	BITD	raw_chunks/00252_picnic_bench1_a_0_0_0_954_BITD.bin
259	bitmap	hedge4_a_0_4_0	0			bitmaps/00259_hedge4_a_0_4_0.png
259	bitmap	hedge4_a_0_4_0	0	900	BITD	raw_chunks/00259_hedge4_a_0_4_0_900_BITD.bin
296	bitmap	picnic_redflower_a_0_0_0	0			bitmaps/00296_picnic_redflower_a_0_0_0.png
296	bitmap	picnic_redflower_a_0_0_0	0	946	BITD	raw_chunks/00296_picnic_redflower_a_0_0_0_946_BITD.bin
303	bitmap	picnic_firewood2_a_0_0_0	0			bitmaps/00303_picnic_firewood2_a_0_0_0.png
303	bitmap	picnic_firewood2_a_0_0_0	0	920	BITD	raw_chunks/00303_picnic_firewood2_a_0_0_0_920_BITD.bin
318	bitmap	hedge9_a_0_4_0	0			bitmaps/00318_hedge9_a_0_4_0.png
318	bitmap	hedge9_a_0_4_0	0	910	BITD	raw_chunks/00318_hedge9_a_0_4_0_910_BITD.bin
322	bitmap	hedge8_a_0_4_0	0			bitmaps/00322_hedge8_a_0_4_0.png
322	bitmap	hedge8_a_0_4_0	0	908	BITD	raw_chunks/00322_hedge8_a_0_4_0_908_BITD.bin
333	bitmap	adframe_theatre_left	0			bitmaps/00333_adframe_theatre_left.png
333	bitmap	adframe_theatre_left	0	926	BITD	raw_chunks/00333_adframe_theatre_left_926_BITD.bin
334	bitmap	hedge7_a_0_4_0	0			bitmaps/00334_hedge7_a_0_4_0.png
334	bitmap	hedge7_a_0_4_0	0	906	BITD	raw_chunks/00334_hedge7_a_0_4_0_906_BITD.bin
344	bitmap	picnic_bench2_a_0_0_0	0			bitmaps/00344_picnic_bench2_a_0_0_0.png
