index	r	g	b	hex
0	255	255	255	#FFFFFF
1	17	17	17	#111111
2	49	97	156	#31619C
3	234	242	252	#EAF2FC
4	31	75	122	#1F4B7A
5	0	51	102	#003366
6	24	73	123	#18497B
7	51	102	153	#336699
8	102	153	204	#6699CC
9	153	204	255	#99CCFF
10	156	207	255	#9CCFFF
11	99	158	206	#639ECE
12	240	248	255	#F0F8FF
13	51	153	102	#339966
14	0	68	0	#004400
15	51	153	51	#339933
16	49	99	49	#316331
17	102	204	102	#66CC66
18	51	102	51	#336633
19	99	156	49	#639C31
20	102	153	51	#669933
21	153	204	102	#99CC66
22	204	255	153	#CCFF99
23	255	255	153	#FFFF99
24	255	255	204	#FFFFCC
25	255	204	0	#FFCC00
26	231	200	113	#E7C871
27	222	186	99	#DEBA63
28	231	202	125	#E7CA7D
29	206	181	115	#CEB573
30	214	176	88	#D6B058
31	153	102	0	#996600
32	204	153	51	#CC9933
33	255	204	102	#FFCC66
34	255	153	0	#FF9900
35	162	104	36	#A26824
36	33	21	7	#211507
37	104	66	23	#684217
38	220	165	101	#DCA565
39	204	102	0	#CC6600
40	102	51	0	#663300
41	255	204	153	#FFCC99
42	255	206	156	#FFCE9C
43	90	57	41	#5A3929
44	66	33	24	#422118
45	238	238	238	#EEEEEE
46	204	204	204	#CCCCCC
47	189	189	189	#BDBDBD
48	153	153	153	#999999
49	136	136	136	#888888
50	119	119	119	#777777
51	115	115	115	#737373
52	102	102	102	#666666
53	85	85	85	#555555
54	82	82	82	#525252
55	68	68	68	#444444
56	51	51	51	#333333
57	34	34	34	#222222
58	0	0	0	#000000
59	0	0	0	#000000
60	0	0	0	#000000
61	0	0	0	#000000
62	0	0	0	#000000
63	0	0	0	#000000
64	0	0	0	#000000
65	0	0	0	#000000
66	0	0	0	#000000
67	0	0	0	#000000
68	0	0	0	#000000
69	0	0	0	#000000
70	0	0	0	#000000
71	0	0	0	#000000
72	0	0	0	#000000
73	0	0	0	#000000
74	0	0	0	#000000
75	0	0	0	#000000
76	0	0	0	#000000
77	0	0	0	#000000
78	0	0	0	#000000
79	0	0	0	#000000
80	0	0	0	#000000
81	0	0	0	#000000
82	0	0	0	#000000
83	0	0	0	#000000
84	0	0	0	#000000
85	0	0	0	#000000
86	0	0	0	#000000
87	0	0	0	#000000
88	0	0	0	#000000
89	0	0	0	#000000
90	0	0	0	#000000
91	0	0	0	#000000
92	0	0	0	#000000
93	0	0	0	#000000
94	0	0	0	#000000
95	0	0	0	#000000
96	0	0	0	#000000
97	0	0	0	#000000
98	0	0	0	#000000
99	0	0	0	#000000
100	0	0	0	#000000
101	0	0	0	#000000
102	0	0	0	#000000
103	0	0	0	#000000
104	0	0	0	#000000
105	0	0	0	#000000
106	0	0	0	#000000
107	0	0	0	#000000
108	0	0	0	#000000
109	0	0	0	#000000
110	0	0	0	#000000
111	0	0	0	#000000
112	0	0	0	#000000
113	0	0	0	#000000
114	0	0	0	#000000
115	0	0	0	#000000
116	0	0	0	#000000
117	0	0	0	#000000
118	0	0	0	#000000
119	0	0	0	#000000
120	0	0	0	#000000
121	0	0	0	#000000
122	0	0	0	#000000
123	0	0	0	#000000
124	0	0	0	#000000
125	0	0	0	#000000
126	0	0	0	#000000
127	0	0	0	#000000
128	0	0	0	#000000
129	0	0	0	#000000
130	0	0	0	#000000
131	0	0	0	#000000
132	0	0	0	#000000
133	0	0	0	#000000
134	0	0	0	#000000
135	0	0	0	#000000
136	0	0	0	#000000
137	0	0	0	#000000
138	0	0	0	#000000
139	0	0	0	#000000
140	0	0	0	#000000
141	0	0	0	#000000
142	0	0	0	#000000
143	0	0	0	#000000
144	0	0	0	#000000
145	0	0	0	#000000
146	0	0	0	#000000
147	0	0	0	#000000
