member_id	member_type	member_name	script_id	chunk_id	fourcc	asset_path
746	text	ph_swimsuit.window	0	2831	STXT	text/00746_ph_swimsuit.window_stxt_0.txt
746	text	ph_swimsuit.window	0	2831	STXT	raw_chunks/00746_ph_swimsuit.window_2831_STXT.bin
1663	text	thread.pelle	0	2802	STXT	text/01663_thread.pelle_stxt_0.txt
1663	text	thread.pelle	0	2802	STXT	raw_chunks/01663_thread.pelle_2802_STXT.bin
2061	bitmap	pool_tabo2_a_0_0_0	0			bitmaps/02061_pool_tabo2_a_0_0_0.png
2061	bitmap	pool_tabo2_a_0_0_0	0	3193	BITD	raw_chunks/02061_pool_tabo2_a_0_0_0_3193_BITD.bin
2082	bitmap	vesimask2	0			bitmaps/02082_vesimask2.png
2082	bitmap	vesimask2	0	2931	BITD	raw_chunks/02082_vesimask2_2931_BITD.bin
2087	bitmap	pool_chairp_a_0_6_0	0			bitmaps/02087_pool_chairp_a_0_6_0.png
2087	bitmap	pool_chairp_a_0_6_0	0	3185	BITD	raw_chunks/02087_pool_chairp_a_0_6_0_3185_BITD.bin
2091	bitmap	pool_tablep_a_0_0_0	0			bitmaps/02091_pool_tablep_a_0_0_0.png
2091	bitmap	pool_tablep_a_0_0_0	0	3179	BITD	raw_chunks/02091_pool_tablep_a_0_0_0_3179_BITD.bin
2095	bitmap	pool_tabley_a_0_0_0	0			bitmaps/02095_pool_tabley_a_0_0_0.png
2095	bitmap	pool_tabley_a_0_0_0	0	3149	BITD	raw_chunks/02095_pool_tabley_a_0_0_0_3149_BITD.bin
2097	bitmap	umbrellap_b_0_0_0	0			bitmaps/02097_umbrellap_b_0_0_0.png
2097	bitmap	umbrellap_b_0_0_0	0	3177	BITD	raw_chunks/02097_umbrellap_b_0_0_0_3177_BITD.bin
2098	bitmap	pool_chairp_b_0_4_0	0			bitmaps/02098_pool_chairp_b_0_4_0.png
2098	bitmap	pool_chairp_b_0_4_0	0	3189	BITD	raw_chunks/02098_pool_chairp_b_0_4_0_3189_BITD.bin
2099	bitmap	pool_tablg2_a_0_0_0	0			bitmaps/02099_pool_tablg2_a_0_0_0.png
