index	r	g	b	hex
0	255	255	255	#FFFFFF
1	33	33	33	#212121
2	102	153	204	#6699CC
3	0	51	102	#003366
4	231	200	113	#E7C871
5	222	186	99	#DEBA63
6	214	176	88	#D6B058
7	141	212	22	#8DD416
8	255	8	17	#FF0811
9	253	222	224	#FDDEE0
10	245	150	172	#F596AC
11	212	20	68	#D41444
12	220	89	121	#DC5979
13	190	4	68	#BE0444
14	140	4	76	#8C044C
15	230	94	171	#E65EAB
16	255	153	218	#FF99DA
17	248	204	255	#F8CCFF
18	174	182	193	#AEB6C1
19	51	102	153	#336699
20	153	204	255	#99CCFF
21	63	72	78	#3F484E
22	64	74	79	#404A4F
23	0	53	68	#003544
24	111	222	225	#6FDEE1
25	204	255	255	#CCFFFF
26	108	152	134	#6C9886
27	12	81	48	#0C5130
28	51	153	102	#339966
29	81	148	86	#519456
30	51	153	51	#339933
31	50	101	50	#326532
32	102	204	102	#66CC66
33	46	92	46	#2E5C2E
34	153	255	153	#99FF99
35	250	253	250	#FAFDFA
36	253	254	253	#FDFEFD
37	169	207	163	#A9CFA3
38	54	132	27	#36841B
39	67	127	42	#437F2A
40	102	185	49	#66B931
41	73	163	0	#49A300
42	51	102	0	#336600
43	2	4	0	#020400
44	18	36	1	#122401
45	92	138	46	#5C8A2E
46	153	204	102	#99CC66
47	204	255	153	#CCFF99
48	103	105	101	#676965
49	123	185	56	#7BB938
50	203	233	171	#CBE9AB
51	113	212	0	#71D400
52	100	174	11	#64AE0B
53	111	166	45	#6FA62D
54	140	224	38	#8CE026
55	106	150	48	#6A9630
56	123	184	36	#7BB824
57	163	255	15	#A3FF0F
58	134	200	28	#86C81C
59	172	255	45	#ACFF2D
60	135	198	37	#87C625
61	66	98	9	#426209
62	141	210	22	#8DD216
63	124	186	19	#7CBA13
64	138	207	25	#8ACF19
65	120	169	38	#78A926
66	200	204	193	#C8CCC1
67	128	198	0	#80C600
68	64	95	4	#405F04
69	187	231	107	#BBE76B
70	2	3	0	#020300
71	16	23	1	#101701
72	137	184	25	#89B819
73	137	182	27	#89B61B
74	135	179	27	#87B31B
75	168	223	38	#A8DF26
76	193	255	53	#C1FF35
77	232	253	183	#E8FDB7
78	144	190	19	#90BE13
79	117	155	18	#759B12
80	63	84	11	#3F540B
81	154	204	31	#9ACC1F
82	191	231	92	#BFE75C
83	221	242	168	#DDF2A8
84	167	212	38	#A7D426
85	189	236	59	#BDEC3B
86	215	243	137	#D7F389
87	45	56	6	#2D3806
88	160	193	44	#A0C12C
89	135	166	8	#87A608
90	98	121	6	#627906
91	202	245	26	#CAF51A
92	137	161	44	#89A12C
93	86	102	28	#56661C
94	192	220	88	#C0DC58
95	223	249	118	#DFF976
96	224	248	126	#E0F87E
97	179	198	101	#B3C665
98	162	177	101	#A2B165
99	235	255	153	#EBFF99
100	216	234	146	#D8EA92
101	221	223	213	#DDDFD5
102	222	251	91	#DEFB5B
103	254	255	249	#FEFFF9
104	211	224	26	#D3E01A
105	230	240	57	#E6F039
106	247	253	119	#F7FD77
107	246	252	121	#F6FC79
108	220	221	194	#DCDDC2
109	208	213	36	#D0D524
110	1	1	0	#010100
111	196	196	4	#C4C404
112	102	102	51	#666633
113	255	255	153	#FFFF99
114	14	14	11	#0E0E0B
115	255	255	204	#FFFFCC
116	18	18	17	#121211
117	255	242	52	#FFF234
118	255	237	53	#FFED35
119	251	242	168	#FBF2A8
120	200	170	0	#C8AA00
121	199	196	181	#C7C4B5
122	255	204	0	#FFCC00
123	212	185	92	#D4B95C
124	255	204	51	#FFCC33
125	172	140	44	#AC8C2C
126	108	102	84	#6C6654
127	198	147	2	#C69302
128	243	198	73	#F3C649
129	198	167	79	#C6A74F
130	204	175	93	#CCAF5D
131	213	184	104	#D5B868
132	206	178	101	#CEB265
133	211	183	106	#D3B76A
134	216	188	111	#D8BC6F
135	218	190	113	#DABE71
136	216	165	43	#D8A52B
137	33	26	9	#211A09
138	191	157	74	#BF9D4A
139	197	164	82	#C5A452
140	202	169	90	#CAA95A
141	231	202	125	#E7CA7D
142	213	186	115	#D5BA73
143	247	222	156	#F7DE9C
144	255	234	182	#FFEAB6
145	252	236	196	#FCECC4
146	255	175	1	#FFAF01
147	132	101	31	#84651F
148	191	157	78	#BF9D4E
149	197	162	81	#C5A251
150	196	162	83	#C4A253
151	205	171	91	#CDAB5B
152	201	167	89	#C9A759
153	255	212	114	#FFD472
154	153	102	0	#996600
155	204	153	51	#CC9933
156	255	197	75	#FFC54B
157	255	204	102	#FFCC66
158	231	189	107	#E7BD6B
159	156	99	0	#9C6300
160	101	80	41	#655029
161	212	148	38	#D49426
162	189	148	82	#BD9452
163	180	174	164	#B4AEA4
164	255	153	0	#FF9900
165	191	116	0	#BF7400
166	190	114	0	#BE7200
167	70	49	17	#463111
168	214	124	5	#D67C05
169	240	164	58	#F0A43A
