index	r	g	b	hex
0	255	255	255	#FFFFFF
1	35	23	15	#23170F
2	35	23	15	#23170F
3	34	22	14	#22160E
4	34	22	14	#22160E
5	34	22	14	#22160E
6	34	22	14	#22160E
7	34	22	14	#22160E
8	34	22	14	#22160E
9	34	22	14	#22160E
10	33	22	14	#21160E
11	33	22	14	#21160E
12	33	22	14	#21160E
13	33	22	14	#21160E
14	33	21	14	#21150E
15	33	21	14	#21150E
16	33	21	14	#21150E
17	32	21	14	#20150E
18	32	21	14	#20150E
19	32	21	14	#20150E
20	32	21	14	#20150E
21	32	21	13	#20150D
22	32	21	13	#20150D
23	32	21	13	#20150D
24	32	21	13	#20150D
25	31	20	13	#1F140D
26	31	20	13	#1F140D
27	31	20	13	#1F140D
28	31	20	13	#1F140D
29	31	20	13	#1F140D
30	31	20	13	#1F140D
31	31	20	13	#1F140D
32	30	20	13	#1E140D
33	30	20	13	#1E140D
34	30	20	13	#1E140D
35	30	20	13	#1E140D
36	30	20	13	#1E140D
37	30	19	13	#1E130D
38	30	19	13	#1E130D
39	30	19	12	#1E130C
40	29	19	12	#1D130C
41	29	19	12	#1D130C
42	29	19	12	#1D130C
43	29	19	12	#1D130C
44	29	19	12	#1D130C
45	29	19	12	#1D130C
46	29	19	12	#1D130C
47	28	19	12	#1C130C
48	28	18	12	#1C120C
49	28	18	12	#1C120C
50	28	18	12	#1C120C
51	28	18	12	#1C120C
52	28	18	12	#1C120C
53	28	18	12	#1C120C
54	27	18	12	#1B120C
55	27	18	12	#1B120C
56	27	18	12	#1B120C
57	27	18	11	#1B120B
58	27	18	11	#1B120B
59	27	18	11	#1B120B
60	27	17	11	#1B110B
61	27	17	11	#1B110B
62	26	17	11	#1A110B
63	26	17	11	#1A110B
64	26	17	11	#1A110B
65	26	17	11	#1A110B
66	26	17	11	#1A110B
67	26	17	11	#1A110B
68	26	17	11	#1A110B
69	25	17	11	#19110B
70	25	17	11	#19110B
71	25	16	11	#19100B
72	25	16	11	#19100B
73	25	16	11	#19100B
74	25	16	11	#19100B
75	25	16	10	#19100A
76	25	16	10	#19100A
77	24	16	10	#18100A
78	24	16	10	#18100A
79	24	16	10	#18100A
80	24	16	10	#18100A
81	24	16	10	#18100A
82	24	16	10	#18100A
83	24	15	10	#180F0A
84	23	15	10	#170F0A
85	23	15	10	#170F0A
86	23	15	10	#170F0A
87	23	15	10	#170F0A
88	23	15	10	#170F0A
89	23	15	10	#170F0A
90	23	15	10	#170F0A
91	22	15	10	#160F0A
92	22	15	10	#160F0A
93	22	15	9	#160F09
94	22	14	9	#160E09
95	22	14	9	#160E09
96	22	14	9	#160E09
97	22	14	9	#160E09
98	22	14	9	#160E09
99	21	14	9	#150E09
100	21	14	9	#150E09
101	21	14	9	#150E09
102	21	14	9	#150E09
103	21	14	9	#150E09
104	21	14	9	#150E09
105	21	14	9	#150E09
