index	r	g	b	hex
0	255	255	255	#FFFFFF
1	173	93	107	#AD5D6B
2	255	189	200	#FFBDC8
3	133	72	96	#854860
4	85	36	56	#552438
5	108	51	74	#6C334A
6	188	109	142	#BC6D8E
7	155	77	110	#9B4D6E
8	182	64	124	#B6407C
9	255	157	206	#FF9DCE
10	201	6	117	#C90675
11	255	92	185	#FF5CB9
12	82	50	72	#523248
13	115	93	163	#735DA3
14	204	185	243	#CCB9F3
15	241	240	243	#F1F0F3
16	65	65	167	#4141A7
17	151	151	237	#9797ED
18	7	17	176	#0711B0
19	81	90	224	#515AE0
20	97	116	141	#61748D
21	115	118	120	#737678
22	186	196	202	#BAC4CA
23	111	174	202	#6FAECA
24	132	204	232	#84CCE8
25	146	149	150	#929596
26	110	114	115	#6E7273
27	116	169	169	#74A9A9
28	170	220	220	#AADCDC
29	204	255	255	#CCFFFF
30	111	124	124	#6F7C7C
31	179	199	199	#B3C7C7
32	126	140	140	#7E8C8C
33	138	151	151	#8A9797
34	157	168	168	#9DA8A8
35	183	193	193	#B7C1C1
36	245	253	250	#F5FDFA
37	14	74	14	#0E4A0E
38	49	99	49	#316331
39	30	74	0	#1E4A00
40	51	122	0	#337A00
41	93	144	57	#5D9039
42	77	117	49	#4D7531
43	63	92	42	#3F5C2A
44	123	168	91	#7BA85B
45	149	209	71	#95D147
46	183	183	61	#B7B73D
47	255	255	153	#FFFF99
48	148	148	107	#94946B
49	255	255	204	#FFFFCC
50	241	241	239	#F1F1EF
51	174	172	50	#AEAC32
52	254	247	169	#FEF7A9
53	253	249	206	#FDF9CE
54	250	226	54	#FAE236
55	225	212	137	#E1D489
56	255	254	248	#FFFEF8
57	174	150	54	#AE9636
58	250	206	54	#FACE36
59	204	153	0	#CC9900
60	249	215	100	#F9D764
61	240	237	228	#F0EDE4
62	165	125	8	#A57D08
63	218	156	23	#DA9C17
64	237	173	37	#EDAD25
65	180	143	64	#B48F40
66	158	128	58	#9E803A
67	176	142	65	#B08E41
